,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,614468273.83,174087318.25,50721253.96,-9694002.19
Repayment Of Debt,-62373090.16,-77518400.0,-82119795.1,-3149100.0
Issuance Of Debt,424813100.14,74085322.54,141444061.77,
Capital Expenditure,-72186697.12,-97153595.19,-216461081.0,-112276191.31
End Cash Position,1341954449.61,600759211.18,701362596.23,311316789.16
Beginning Cash Position,600759211.18,701362596.23,311316789.16,383652282.16
Effect Of Exchange Rate Changes,-12314075.75,14440628.34,-5911236.04,11721233.82
Changes In Cash,753509314.18,-115044013.39,395957043.11,-84056726.82
Financing Cash Flow,-241262915.39,578284056.93,-34775348.64,-57712246.13
Net Other Financing Charges,-452421989.8,696595989.25,-24412637.07,-19290919.95
Cash Dividends Paid,-151280935.57,-114878854.86,-69686978.24,-35272226.18
Net Issuance Payments Of Debt,362440009.98,-3433077.46,59324266.67,-3149100.0
Net Long Term Debt Issuance,362440009.98,-3433077.46,59324266.67,-3149100.0
Long Term Debt Payments,-62373090.16,-77518400.0,-82119795.1,-3149100.0
Long Term Debt Issuance,424813100.14,74085322.54,141444061.77,
Investing Cash Flow,308117258.62,-964568983.76,163550056.79,-128926669.81
Net Other Investing Changes,363005099.0,-878000000.0,336000000.0,-34000000.0
Net Investment Purchase And Sale,13612371.01,9404770.93,12476478.36,16434936.62
Sale Of Investment,13612371.01,9404770.93,12476478.36,16434936.62
Net Business Purchase And Sale,,,,
Purchase Of Business,,,,
Net PPE Purchase And Sale,-68500211.39,-95973754.69,-184926421.57,-111361606.43
Sale Of PPE,3686485.73,1179840.5,31534659.43,914584.88
Purchase Of PPE,-72186697.12,-97153595.19,-216461081.0,-112276191.31
Operating Cash Flow,686654970.95,271240913.44,267182334.96,102582189.12
Change In Working Capital,31100091.45,-324390296.57,-115312278.46,-180848502.86
Change In Other Current Assets,3131377.36,-5184465.71,-1499529.6,12204493.55
Change In Payable,172137228.74,106853033.21,37119406.28,53547169.65
Change In Inventory,-48143301.25,-116498250.9,62011707.81,-122207817.02
Change In Receivables,-96025213.4,-309560613.17,-212943862.95,-124392349.04
Other Non Cash Items,26667149.67,-3645882.01,8706699.31,-9952501.96
Depreciation And Amortization,78739919.77,66356322.78,61519711.96,61262309.92
Amortization Cash Flow,2040665.89,1659404.26,1649809.57,1683060.28
Depreciation,76699253.88,64696918.52,59869902.39,59579249.64
Gain Loss On Investment Securities,-15410651.41,-8728442.99,-13942200.39,-16419491.42
Gain Loss On Sale Of PPE,293835.92,33459.27,-683943.46,-4171226.61
Net Income From Continuing Operations,533609827.65,455801328.36,281629322.41,192989038.43
Cash Flowsfromusedin Operating Activities Direct,686654970.95,271240913.44,267182334.96,102582189.12
Taxes Refund Paid Direct,-72948319.37,3142475.76,-19000664.87,19119514.15
Classesof Cash Payments,-2213601811.78,-2041464107.49,-1415582954.68,-1391734090.73
Other Cash Paymentsfrom Operating Activities,-52088372.42,-33009250.54,-39703988.98,-33326475.41
Paymentson Behalfof Employees,-351894002.97,-335902969.15,-284031410.51,-233209029.35
Paymentsto Suppliersfor Goodsand Services,-1809619436.39,-1672551887.8,-1091847555.19,-1125198585.97
Classesof Cash Receiptsfrom Operating Activities,2973205102.1,2309562545.17,1701765954.51,1475196765.7
Other Cash Receiptsfrom Operating Activities,57040919.44,33887772.5,14679818.1,13194005.15
Receiptsfrom Customers,2916164182.66,2275674772.67,1687086136.41,1462002760.55
