,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,8000408035.0,7976149966.0,7946555760.0,7912664696.0
Share Issued,8000408035.0,7975539838.0,7946555760.0,7912664696.0
Net Debt,6715350000.0,5205528000.0,3934988000.0,1652314000.0
Total Debt,12596181000.0,11595997000.0,10208666000.0,8694432000.0
Tangible Book Value,21052446000.0,20589541000.0,19666433000.0,18680209000.0
Invested Capital,34027520000.0,32183526000.0,30266148000.0,27734877000.0
Working Capital,8807965000.0,6024028000.0,6033581000.0,9569273000.0
Net Tangible Assets,21052446000.0,20589541000.0,19666433000.0,18680209000.0
Capital Lease Obligations,8331000.0,26280000.0,58620000.0,109531000.0
Common Stock Equity,21439670000.0,20613809000.0,20116102000.0,19149976000.0
Total Capitalization,31434443000.0,28651957000.0,29049865000.0,26466659000.0
Total Equity Gross Minority Interest,35020523000.0,31869658000.0,30845616000.0,28961421000.0
Minority Interest,13580853000.0,11255849000.0,10729514000.0,9811445000.0
Stockholders Equity,21439670000.0,20613809000.0,20116102000.0,19149976000.0
Other Equity Interest,12369000.0,,120981000.0,142754000.0
Retained Earnings,6858206000.0,6173075000.0,5680327000.0,4777801000.0
Additional Paid In Capital,14394785000.0,14266359000.0,14117072000.0,13963465000.0
Capital Stock,32002000.0,31905000.0,31786000.0,31651000.0
Common Stock,32002000.0,31905000.0,31786000.0,31651000.0
Total Liabilities Net Minority Interest,17250785000.0,17291590000.0,16941696000.0,14846363000.0
Total Non Current Liabilities Net Minority Interest,10433721000.0,8531903000.0,9340114000.0,7821434000.0
Derivative Product Liabilities,0.0,37576000.0,34547000.0,15286000.0
Non Current Deferred Revenue,377903000.0,374801000.0,306611000.0,396803000.0
Non Current Deferred Taxes Liabilities,60207000.0,73627000.0,38913000.0,34980000.0
Long Term Debt And Capital Lease Obligation,9995611000.0,8045899000.0,8960043000.0,7374365000.0
Long Term Capital Lease Obligation,838000.0,7751000.0,26280000.0,57682000.0
Long Term Debt,9994773000.0,8038148000.0,8933763000.0,7316683000.0
Current Liabilities,6817064000.0,8759687000.0,7601582000.0,7024929000.0
Current Debt And Capital Lease Obligation,2600570000.0,3550098000.0,1248623000.0,1320067000.0
Current Capital Lease Obligation,7493000.0,18529000.0,32340000.0,51849000.0
Current Debt,2593077000.0,3531569000.0,1216283000.0,1268218000.0
Pensionand Other Post Retirement Benefit Plans Current,325200000.0,278700000.0,201400000.0,185600000.0
Payables,2999443000.0,3365193000.0,3738438000.0,3219592000.0
Other Payable,2116638000.0,2490840000.0,3027280000.0,2634453000.0
Total Tax Payable,33462000.0,84828000.0,10516000.0,2591000.0
Accounts Payable,849343000.0,789525000.0,700642000.0,582548000.0
Total Assets,52271308000.0,49161248000.0,47787312000.0,43807784000.0
Total Non Current Assets,36646279000.0,34377533000.0,34152149000.0,27213582000.0
Other Non Current Assets,5521000.0,327000.0,209000.0,52877000.0
Non Current Deferred Taxes Assets,35212000.0,29212000.0,13194000.0,14244000.0
Financial Assets,,0.0,12087000.0,32958000.0
Investmentin Financial Assets,2342766000.0,4174507000.0,7373202000.0,5761752000.0
Available For Sale Securities,1532265000.0,3747134000.0,6891233000.0,5553445000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,810501000.0,427373000.0,481969000.0,208307000.0
Long Term Equity Investment,1309649000.0,1252520000.0,2044966000.0,1921093000.0
Investmentsin Joint Venturesat Cost,79000.0,13000.0,2295000.0,9051000.0
Investmentsin Associatesat Cost,1309570000.0,1252507000.0,2042671000.0,1912042000.0
Goodwill And Other Intangible Assets,387224000.0,430543000.0,449669000.0,469767000.0
Other Intangible Assets,387224000.0,,449669000.0,469767000.0
Net PPE,32565907000.0,28524185000.0,24002751000.0,18960891000.0
Accumulated Depreciation,-24250144000.0,-20648773000.0,-17598551000.0,-15062868000.0
Gross PPE,56816051000.0,48766683000.0,41601302000.0,34023759000.0
Construction In Progress,13186676000.0,12293207000.0,10889732000.0,6582695000.0
Other Properties,6533000.0,28524185000.0,55454000.0,103729000.0
Machinery Furniture Equipment,41489080000.0,34438190000.0,29143641000.0,25852654000.0
Buildings And Improvements,2133762000.0,,1512475000.0,1484681000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,15625029000.0,14783715000.0,13635163000.0,16594202000.0
Hedging Assets Current,87151000.0,66054000.0,42836000.0,146669000.0
Assets Held For Sale Current,3917000.0,19392000.0,22030000.0,22030000.0
Restricted Cash,,0.0,179536000.0,676937000.0
Prepaid Assets,85332000.0,56394000.0,114858000.0,128520000.0
Inventory,3629802000.0,2958350000.0,2735921000.0,1911487000.0
Finished Goods,353146000.0,,401343000.0,201932000.0
Work In Process,1490075000.0,,1068664000.0,945529000.0
Raw Materials,1786581000.0,1520167000.0,1265914000.0,764026000.0
Other Receivables,68297000.0,77334000.0,102188000.0,189662000.0
Taxes Receivable,469813000.0,,564772000.0,397605000.0
Accounts Receivable,876760000.0,840153000.0,494344000.0,690223000.0
Allowance For Doubtful Accounts Receivable,,-1034000.0,,
Gross Accounts Receivable,881991000.0,,495102000.0,691783000.0
Cash Cash Equivalents And Short Term Investments,10403957000.0,10843372000.0,9378678000.0,12431069000.0
Other Short Term Investments,4531457000.0,4479183000.0,3163620000.0,5498482000.0
Cash And Cash Equivalents,5872500000.0,6364189000.0,6215058000.0,6932587000.0
