,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-123771423.91,-124547478.4,44118915.88,29471593.82
Repayment Of Debt,,,-100000000.0,-30000000.0
Issuance Of Debt,1363776.07,1796437.68,32100000.0,45900000.0
Capital Expenditure,-173869038.47,-149210141.4,-41757104.72,-54210444.65
End Cash Position,880542306.85,989041331.96,1158393696.35,245954395.82
Beginning Cash Position,989041331.96,1158393696.35,245954395.82,202577848.22
Effect Of Exchange Rate Changes,81885.37,-93686.45,,
Changes In Cash,-108580910.48,-169258677.94,912439300.53,43376547.6
Financing Cash Flow,11805447.3,-56136764.78,859416596.56,9144290.15
Net Other Financing Charges,10441671.23,2661433.94,928705989.07,-3286796.84
Cash Dividends Paid,,-60594636.4,-1389392.51,-3468913.01
Net Issuance Payments Of Debt,1363776.07,1796437.68,-67900000.0,15900000.0
Net Long Term Debt Issuance,1363776.07,1796437.68,-67900000.0,15900000.0
Long Term Debt Payments,,,-100000000.0,-30000000.0
Long Term Debt Issuance,1363776.07,1796437.68,32100000.0,45900000.0
Investing Cash Flow,-170483972.34,-137784576.16,-32853316.63,-49449781.02
Net Other Investing Changes,,271000.0,5690000.0,-133400.0
Net Investment Purchase And Sale,3385066.13,11081565.24,3057788.09,4044869.57
Sale Of Investment,3575521566.13,2349081565.24,752147788.09,1107344869.57
Purchase Of Investment,-3572136500.0,-2338000000.0,-749090000.0,-1103300000.0
Net PPE Purchase And Sale,-173869038.47,-149137141.4,-41601104.72,-53361250.59
Sale Of PPE,,73000.0,156000.0,849194.06
Purchase Of PPE,-173869038.47,-149210141.4,-41757104.72,-54210444.65
Operating Cash Flow,50097614.56,24662663.0,85876020.6,83682038.47
Change In Working Capital,-32719240.92,-114154830.32,-76265519.79,-119637155.3
Change In Other Current Assets,-3651471.65,-3606030.46,-2222181.29,-1312908.66
Change In Payable,35421166.57,-35480157.16,2238306.96,-12562460.76
Change In Inventory,-49377916.14,-8009305.75,6713521.91,-5809798.01
Change In Receivables,-15111019.7,-67059336.95,-82995167.37,-99951987.87
Other Non Cash Items,5808761.45,-682339.46,8438709.59,6388521.89
Depreciation And Amortization,38207001.14,35830106.16,33161673.84,36691920.48
Amortization Cash Flow,5266694.48,3396792.72,1868134.77,1322923.17
Depreciation,32940306.66,32433313.44,31293539.07,35368997.31
Gain Loss On Investment Securities,-8348086.65,-11049530.86,-3011140.91,-355437.18
Gain Loss On Sale Of PPE,4371974.31,416242.35,-7187.34,2311466.22
Net Income From Continuing Operations,43970423.11,87891214.38,111300830.69,156305872.31
Cash Flowsfromusedin Operating Activities Direct,50097614.56,24662663.0,85876020.6,83682038.47
Taxes Refund Paid Direct,-37069482.22,-76687014.45,-66036060.96,-68406515.41
Classesof Cash Payments,-642283615.57,-646594512.64,-601675944.6,-591898109.39
Other Cash Paymentsfrom Operating Activities,-33187292.9,-18316211.96,-23734245.27,-30444354.93
Paymentson Behalfof Employees,-70929516.27,-77686473.33,-83731377.14,-82860289.58
Paymentsto Suppliersfor Goodsand Services,-538166806.4,-550591827.35,-494210322.19,-478593464.88
Classesof Cash Receiptsfrom Operating Activities,729450712.35,747944190.09,753588026.16,743986663.27
Other Cash Receiptsfrom Operating Activities,18984126.0,9237881.76,13616940.71,16121969.61
Receiptsfrom Customers,710466586.35,738706308.33,739971085.45,727864693.66
