,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,670208597.0,670208597.0,670208597.0,670208597.0
Share Issued,670208597.0,670208597.0,670208597.0,670208597.0
Total Debt,264978280.15,115684813.52,99428241.54,77562456.31
Tangible Book Value,1788743859.15,1748891861.36,1566252137.28,1484033447.79
Invested Capital,2287101434.55,2267469548.5,2106266804.77,2070848784.74
Working Capital,958841036.05,1036087736.62,595368607.45,480559428.5
Net Tangible Assets,1788743859.15,1748891861.36,1566252137.28,1484033447.79
Capital Lease Obligations,227357798.28,86020967.8,77694347.84,37786087.54
Common Stock Equity,2287101434.55,2267469548.5,2106266804.77,2045978484.37
Total Capitalization,2287101434.55,2267469548.5,2106266804.77,2045978484.37
Total Equity Gross Minority Interest,2312248508.48,2295895569.43,2132360738.29,2058975132.47
Minority Interest,25147073.93,28426020.93,26093933.52,12996648.1
Stockholders Equity,2287101434.55,2267469548.5,2106266804.77,2045978484.37
Retained Earnings,122117742.31,106549919.21,-33554474.93,-107931190.37
Additional Paid In Capital,1108862244.11,1108862244.11,1114426547.21,1114426547.21
Capital Stock,670208597.0,670208597.0,670208597.0,670208597.0
Common Stock,670208597.0,670208597.0,670208597.0,670208597.0
Total Liabilities Net Minority Interest,1559525299.73,1394350776.35,1262891818.43,939328682.0
Total Non Current Liabilities Net Minority Interest,373035616.17,191912315.8,178415184.64,138339048.74
Other Non Current Liabilities,596807.95,596807.95,596807.95,596807.95
Tradeand Other Payables Non Current,58909789.79,56263288.55,59969217.63,63459320.67
Non Current Deferred Revenue,1442922.37,1208606.57,600000.0,1016666.78
Non Current Deferred Taxes Liabilities,84728297.78,47822644.93,39554811.22,35480165.8
Long Term Debt And Capital Lease Obligation,227357798.28,86020967.8,77694347.84,37786087.54
Long Term Capital Lease Obligation,227357798.28,86020967.8,77694347.84,37786087.54
Current Liabilities,1186489683.56,1202438460.55,1084476633.79,800989633.26
Other Current Liabilities,26456052.61,27447757.25,19981231.47,10890220.97
Current Debt And Capital Lease Obligation,37620481.87,29663845.72,21733893.7,39776368.77
Current Debt,,,,24870300.37
Payables,733799848.26,724629319.55,705984914.18,560546247.42
Other Payable,333536125.91,336932349.48,348151953.57,297140648.86
Total Tax Payable,16508580.15,22745956.47,11962200.12,5933814.61
Accounts Payable,383755142.2,364951013.6,345870760.49,257471783.95
Total Assets,3871773808.21,3690246345.78,3395252556.72,2998303814.47
Total Non Current Assets,1726443088.6,1451720148.61,1715407315.48,1716754752.71
Other Non Current Assets,4199143.1,8355052.95,213932533.5,208770961.6
Non Current Deferred Assets,342000093.83,216485429.04,224786153.44,192778519.63
Non Current Deferred Taxes Assets,114753290.88,99471086.46,124072650.45,136787709.33
Investmentin Financial Assets,77510772.43,73515312.92,51451733.69,70205931.39
Available For Sale Securities,77510772.43,73515312.92,51451733.69,70205931.39
Long Term Equity Investment,16485664.67,2620656.75,1902832.47,4394096.28
Investment Properties,5823681.83,6152459.03,6489900.77,5401179.71
Goodwill And Other Intangible Assets,498357575.4,518577687.14,540014667.49,561945036.58
Other Intangible Assets,448012082.84,465755867.54,482529416.32,501527979.38
Goodwill,50345492.56,52821819.6,57485251.17,60417057.2
Net PPE,667312866.46,526542464.32,552756843.67,536471318.19
Accumulated Depreciation,-1483210241.74,-1487675182.01,-1495840575.28,-1467355729.65
Gross PPE,2150523108.2,2014217646.33,2048597418.95,2003827047.84
Construction In Progress,8497665.73,7835635.79,13264105.05,3105170.65
Other Properties,442643415.34,298168786.94,282481699.56,239097138.89
Machinery Furniture Equipment,596937737.41,598645099.4,595249870.38,595614948.37
Buildings And Improvements,,,,
Properties,1102444289.72,1109568124.2,1157601743.96,1166009789.93
Current Assets,2145330719.61,2238526197.17,1679845241.24,1281549061.76
Other Current Assets,30313616.16,237263234.23,22466314.96,25437515.09
Hedging Assets Current,,,130326.1,
Prepaid Assets,106491209.62,98987660.39,87424082.93,29841509.85
Inventory,11020130.17,11372701.99,12665656.0,15764748.24
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,71045.57,55999.93,2572716.25,7194171.8
Finished Goods,8599831.13,8531154.48,6653797.15,5711639.41
Raw Materials,2349253.47,2785547.58,3439142.6,2858937.03
Other Receivables,66761478.1,69913487.93,79948121.98,36266471.55
Accounts Receivable,120863504.27,137894519.7,126443656.96,73410479.58
Allowance For Doubtful Accounts Receivable,-10852897.08,-16906673.69,-15654339.05,-19355349.43
Gross Accounts Receivable,131716401.35,154801193.39,142097996.01,92765829.01
Cash Cash Equivalents And Short Term Investments,1809880781.29,1683094592.93,1350767082.31,1100828337.45
Other Short Term Investments,486584.11,457012.7,368298.47,500025.66
Cash And Cash Equivalents,1809394197.18,1682637580.23,1350398783.84,1100328311.79
Cash Equivalents,36563896.95,31566813.48,28661218.71,16033574.97
Cash Financial,1772830300.23,1651070766.75,1316451856.05,1084294736.82
