,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,17789943.28,278644922.07,299723633.74,-121561240.76
Repayment Of Debt,,,-24870300.37,-510000.0
Issuance Of Debt,,,,24870300.37
Capital Expenditure,-222408014.48,-94858966.83,-117281657.15,-72871518.93
End Cash Position,1753961326.41,1643303282.53,1333855845.83,1086140814.32
Beginning Cash Position,1643303282.53,1333855845.83,1089890376.39,1393618943.13
Effect Of Exchange Rate Changes,-1537573.04,-2950839.7,247825.26,1338500.2
Changes In Cash,112195616.92,312398276.4,243717644.18,-308816629.01
Financing Cash Flow,-103075635.83,-48897872.74,-58301125.17,3073589.01
Net Other Financing Charges,-41663362.09,-38411056.74,-33430824.8,-21286711.36
Cash Dividends Paid,-53616687.76,,,
Net Issuance Payments Of Debt,,,-24870300.37,24360300.37
Net Long Term Debt Issuance,,,-24870300.37,24360300.37
Long Term Debt Payments,,,-24870300.37,-510000.0
Long Term Debt Issuance,,,,24870300.37
Investing Cash Flow,-24926705.01,-12207739.76,-114986521.54,-263200496.19
Net Other Investing Changes,2803077.63,4882300.9,394610.61,
Net Investment Purchase And Sale,192854359.96,74917534.23,343000.0,-195495182.61
Sale Of Investment,220606159.96,75717534.23,343000.0,4504817.39
Purchase Of Investment,-27751800.0,-800000.0,,-200000000.0
Net Business Purchase And Sale,,,,1947397.52
Sale Of Business,,,,
Purchase Of Business,,,,1947397.52
Net PPE Purchase And Sale,-220584142.6,-92007574.89,-115724132.15,-69652711.1
Sale Of PPE,1823871.88,2851391.94,1557525.0,3218807.83
Purchase Of PPE,-222408014.48,-94858966.83,-117281657.15,-72871518.93
Operating Cash Flow,240197957.76,373503888.9,417005290.89,-48689721.83
Change In Working Capital,-24890751.5,95009034.43,165275617.44,-26318893.95
Change In Other Current Assets,20515252.08,27353502.9,21553597.94,-10540799.16
Change In Payable,-87212018.39,261569497.48,285548153.89,121024015.99
Change In Inventory,617600.86,1527609.0,2562928.28,-1005300.06
Change In Receivables,41188413.95,-195441574.95,-144389062.67,-135796810.72
Other Non Cash Items,61410247.96,59519344.28,47319024.55,49164327.09
Depreciation And Amortization,123287032.81,120386812.45,120486814.37,110418187.94
Amortization Cash Flow,27047349.4,28124858.83,28817129.34,27102351.98
Depreciation,96239683.41,92261953.62,91669685.03,83315835.96
Gain Loss On Investment Securities,2878868.18,-74491261.33,1948930.62,-3190101.25
Gain Loss On Sale Of PPE,1941500.28,4182917.42,-30908.65,-552299.27
Net Income From Continuing Operations,74801448.62,161965843.83,82216695.01,-190713546.76
Cash Flowsfromusedin Operating Activities Direct,240197957.76,373503888.9,417005290.89,-48689721.83
Taxes Refund Paid Direct,-110558155.79,-92788691.93,-75288500.78,-23459906.96
Classesof Cash Payments,-4461011672.21,-4174656125.68,-4389135836.21,-1397168820.24
Other Cash Paymentsfrom Operating Activities,-157936869.92,-87986068.99,-160025499.96,-42715057.86
Paymentson Behalfof Employees,-872890686.49,-829705805.66,-679560974.35,-549744486.72
Paymentsto Suppliersfor Goodsand Services,-3430184115.8,-3256964251.03,-3549549361.9,-804709275.66
Classesof Cash Receiptsfrom Operating Activities,4811767785.76,4640948706.51,4881429627.88,1371939005.37
Other Cash Receiptsfrom Operating Activities,172822952.43,102117784.24,91493588.69,122624467.08
Receiptsfrom Customers,4638944833.33,4538830922.27,4789936039.19,1249314538.29
