,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-38709255.536988,-56238276.879244,-1994945440.828315,-1001129073.910504
Tax Rate For Calcs,0.217435,0.215862,0.227932,0.25248
Normalized EBITDA,43475652000.0,48260308000.0,55963433000.0,44756828000.0
Total Unusual Items,-178027000.0,-260529000.0,-8752364000.0,-3965180000.0
Total Unusual Items Excluding Goodwill,-178027000.0,-260529000.0,-8752364000.0,-3965180000.0
Net Income From Continuing Operation Net Minority Interest,18155988000.0,20183598000.0,18259055000.0,13739271000.0
Reconciled Depreciation,10431579000.0,11239583000.0,10456874000.0,10626913000.0
Reconciled Cost Of Revenue,151477197000.0,151385837000.0,155141509000.0,187060597000.0
EBITDA,43297625000.0,47999779000.0,47211069000.0,40791648000.0
EBIT,32866046000.0,36760196000.0,36754195000.0,30164735000.0
Net Interest Income,-2413726000.0,-2969762000.0,-3729517000.0,-3980227000.0
Interest Expense,2549562000.0,3064810000.0,3856932000.0,4093691000.0
Interest Income,146547000.0,104991000.0,135135000.0,114599000.0
Normalized Income,18295305744.463013,20387888723.120754,25016473559.171684,16703321926.089497
Net Income From Continuing And Discontinued Operation,18155988000.0,20183598000.0,18259055000.0,13739271000.0
Total Expenses,159187408000.0,159146890000.0,179709613000.0,209413959000.0
Rent Expense Supplemental,,108267000.0,99115000.0,77176000.0
Total Operating Income As Reported,30152884000.0,33514114000.0,33165752000.0,26008097000.0
Diluted Average Shares,13258663400.0,13258663000.0,13231199275.0,13210837500.0
Basic Average Shares,13258663400.0,13258663000.0,13231199275.0,13210837500.0
Diluted EPS,1.37,1.52,1.38,1.04
Basic EPS,1.37,1.52,1.38,1.04
Diluted NI Availto Com Stockholders,18155988000.0,20183598000.0,,
Net Income Common Stockholders,18155988000.0,20183598000.0,18259055000.0,13739271000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,18155988000.0,20183598000.0,18259055000.0,13739271000.0
Minority Interests,-5568639000.0,-6238239000.0,-7139863000.0,-5749353000.0
Net Income Including Noncontrolling Interests,23724627000.0,26421837000.0,25398918000.0,19488624000.0
Net Income Continuous Operations,23724627000.0,26421837000.0,25398918000.0,19488624000.0
Tax Provision,6591857000.0,7273549000.0,7498345000.0,6582420000.0
Pretax Income,30316484000.0,33695386000.0,32897263000.0,26071044000.0
Other Income Expense,,,-4240466000.0,-363209000.0
Other Non Operating Income Expenses,119565000.0,-47300000.0,-268489000.0,59888000.0
Special Income Charges,-178027000.0,-260529000.0,-9008851000.0,-3993983000.0
Gain On Sale Of Ppe,,,8774000.0,-13510000.0
Other Special Charges,-8550000.0,9138000.0,-8774000.0,13510000.0
Write Off,174379000.0,69326000.0,216461000.0,17953000.0
Impairment Of Capital Assets,12198000.0,182065000.0,8801164000.0,3962520000.0
Earnings From Equity Interest,,,4780387000.0,3542083000.0
Gain On Sale Of Security,,,256487000.0,28803000.0
Net Non Operating Interest Income Expense,-2413726000.0,-2969762000.0,-3729517000.0,-3980227000.0
Total Other Finance Cost,10711000.0,9943000.0,7720000.0,1135000.0
Interest Expense Non Operating,2549562000.0,3064810000.0,3856932000.0,4093691000.0
Interest Income Non Operating,146547000.0,104991000.0,135135000.0,114599000.0
Operating Income,30211346000.0,33821943000.0,40867246000.0,30414480000.0
Operating Expense,7710211000.0,7761053000.0,14551174000.0,12182259000.0
Other Operating Expenses,,7815606000.0,-252225000.0,-210712000.0
Other Taxes,,,7856727000.0,6434774000.0
Depreciation Amortization Depletion Income Statement,,,439944000.0,455810000.0
Depreciation And Amortization In Income Statement,,452421000.0,439944000.0,455810000.0
Depreciation Income Statement,,452421000.0,439944000.0,455810000.0
Research And Development,,916187000.0,771490000.0,665662000.0
Selling General And Administration,8014825000.0,8079314000.0,5735238000.0,4259086000.0
Selling And Marketing Expense,1077843000.0,1049523000.0,362744000.0,356186000.0
General And Administrative Expense,6936982000.0,7029791000.0,5372494000.0,4480539000.0
Other Gand A,,,4677455000.0,3902900000.0
Rent And Landing Fees,,108267000.0,99115000.0,77176000.0
Salaries And Wages,,,595924000.0,500463000.0
Gross Profit,37921557000.0,41582996000.0,55418420000.0,42596739000.0
Cost Of Revenue,151477197000.0,151385837000.0,165158439000.0,197231700000.0
Total Revenue,189398754000.0,192968833000.0,220576859000.0,239828439000.0
Operating Revenue,189398754000.0,192968833000.0,220576859000.0,239828439000.0
