,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,3481035016.0,3481035016.0,2749327699.0,2749327699.0
Share Issued,3481035016.0,3481035016.0,2749327699.0,2749327699.0
Net Debt,17611111054.44,19734664056.15,20238433281.15,14816781326.19
Total Debt,23281186198.08,22561611444.2,23862836846.77,17301079980.56
Tangible Book Value,11671304394.68,11950413799.82,8431407673.65,8124485723.71
Invested Capital,31074542209.83,33572561264.21,30800256849.15,24696578702.02
Working Capital,-10968131916.45,-5114649081.8,-7349100562.94,-6863891369.59
Net Tangible Assets,11671304394.68,11950413799.82,8431407673.65,8124485723.71
Capital Lease Obligations,583199108.88,570860301.55,575402185.57,304163710.36
Common Stock Equity,13320801398.81,13607442805.32,9954786999.91,9594656211.69
Total Capitalization,24956831509.87,29341576899.42,24566017478.51,19221251016.92
Total Equity Gross Minority Interest,13638155736.71,13963479453.04,10294060370.09,9853069116.88
Minority Interest,317354337.9,356036647.72,339273370.18,258412905.19
Stockholders Equity,13320801398.81,13607442805.32,9954786999.91,9594656211.69
Retained Earnings,3928754028.15,4285411105.51,3695779152.68,3388237891.07
Additional Paid In Capital,5254809359.64,5254809359.64,2996376988.91,2996376988.91
Capital Stock,3481035016.0,3481035016.0,2749327699.0,2749327699.0
Common Stock,3481035016.0,3481035016.0,2749327699.0,2749327699.0
Total Liabilities Net Minority Interest,27548053570.46,26398988981.31,27307770070.52,20981118650.2
Total Non Current Liabilities Net Minority Interest,12461925104.43,16522575519.29,15394214372.9,10136098067.18
Tradeand Other Payables Non Current,5772267.48,7911768.42,10008218.72,11603046.54
Non Current Deferred Revenue,208409065.49,193240838.73,179746917.28,157294530.74
Non Current Deferred Taxes Liabilities,28514551.52,16428516.49,17826572.73,36441974.31
Long Term Debt And Capital Lease Obligation,12219229219.94,16304994395.65,15186632664.17,9930758515.59
Long Term Capital Lease Obligation,583199108.88,570860301.55,575402185.57,304163710.36
Long Term Debt,11636030111.06,15734134094.1,14611230478.6,9626594805.23
Current Liabilities,15086128466.03,9876413462.02,11913555697.62,10845020583.02
Other Current Liabilities,13296942.63,16726058.41,23053000.96,6327384.66
Current Debt And Capital Lease Obligation,11061956978.14,6256617048.55,8676204182.6,7370321464.97
Current Debt,6117710699.96,4230984364.79,6234239370.64,5475327685.1
Payables,3947505350.22,3556059244.23,3151170050.38,3421837176.8
Other Payable,752696225.92,783430661.12,702360154.47,640980763.35
Dividends Payable,351162.29,351162.29,351162.29,676156.12
Total Tax Payable,94005329.28,273993997.2,153980160.83,209021515.27
Accounts Payable,3100452632.73,2498283423.62,2294478572.79,2571158742.06
Total Assets,41186209307.17,40362468434.35,37601830440.61,30834187767.08
Total Non Current Assets,37068212757.59,35600704054.13,33037375305.93,26853058553.65
Other Non Current Assets,74424538.0,1360940103.06,2715216428.32,1763547587.33
Non Current Deferred Assets,51415192.51,57682359.34,63356200.2,47014635.39
Non Current Deferred Taxes Assets,143194929.6,96050864.65,113865108.7,153235971.26
Investmentin Financial Assets,47592267.13,47434417.62,46858913.47,45666892.87
Available For Sale Securities,47592267.13,47434417.62,46858913.47,45666892.87
Long Term Equity Investment,284679431.7,303407901.0,312928537.97,285653125.08
Investment Properties,122572090.87,128422232.66,134272374.49,107216172.56
Goodwill And Other Intangible Assets,1649497004.13,1657029005.5,1523379326.26,1470170487.98
Other Intangible Assets,810972053.5,818504054.87,684854375.63,631645537.35
Goodwill,838524950.63,838524950.63,838524950.63,838524950.63
Net PPE,34694837303.65,31949737170.3,28127498416.52,22980553681.18
Accumulated Depreciation,-20829536901.12,-19133164434.63,-17804009012.97,-16633736267.42
Gross PPE,55524374204.77,51082901604.93,45931507429.49,39614289948.6
Construction In Progress,2491257371.01,3908071475.49,2276317480.36,7607428321.19
Other Properties,1135943789.66,1105046556.78,1108628884.41,726622380.44
Machinery Furniture Equipment,38845990781.73,34248247762.57,31467206515.48,21870696569.56
Properties,13051182262.37,11821535810.09,11079354549.24,9409542677.41
Current Assets,4117996549.58,4761764380.22,4564455134.68,3981129213.43
Other Current Assets,1101340778.71,775140549.84,521726934.97,435143187.5
Prepaid Assets,288186760.2,465169850.02,651288626.16,474434883.33
Inventory,1091293341.08,953381654.15,725864348.94,566837393.3
Inventories Adjustments Allowances,,0.0,0.0,
Raw Materials,1091293341.08,953381654.15,725864348.94,566837393.3
Other Receivables,28667252.17,41284008.68,50837096.49,260020667.45
Accounts Receivable,1465878660.84,2296333914.79,2007701560.03,1959551917.71
Allowance For Doubtful Accounts Receivable,,-46135292.94,-26476427.84,-14845531.49
Gross Accounts Receivable,,2342469207.73,2034177987.87,1974397449.2
Cash Cash Equivalents And Short Term Investments,142629756.58,230454402.74,607036568.09,285141164.14
Cash And Cash Equivalents,142629756.58,230454402.74,607036568.09,285141164.14
Cash Equivalents,142381061.45,161016320.7,606985189.98,12000.0
Cash Financial,248695.13,69438082.04,51378.11,285129164.14
