,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-542405.449616,-154034.482487,-63598.706692,139249.043081
Tax Rate For Calcs,0.083641,0.100519,0.104688,0.097926
Normalized EBITDA,428725615.65,472680030.32,450566057.35,406844314.8
Total Unusual Items,-6484910.48,-1532398.01,-607504.88,1421983.61
Total Unusual Items Excluding Goodwill,-6484910.48,-1532398.01,-607504.88,1421983.61
Net Income From Continuing Operation Net Minority Interest,228195368.96,284450452.67,237145288.03,224458809.21
Reconciled Depreciation,162824397.86,144620109.65,132953620.57,122358305.15
Reconciled Cost Of Revenue,1417119900.18,1414272034.68,1569605560.37,1479091493.98
EBITDA,422240705.17,471147632.31,449958552.47,408266298.41
EBIT,259416307.31,326527522.66,317004931.9,285907993.26
Net Interest Income,30750210.43,35604120.86,39704016.15,13239596.73
Interest Expense,9494297.4,6990487.07,7581255.25,2084138.59
Interest Income,40632517.76,42899769.93,47536876.41,17151344.23
Normalized Income,234137873.990384,285828816.197513,237689194.203308,223176074.643081
Net Income From Continuing And Discontinued Operation,228195368.96,284450452.67,237145288.03,224458809.21
Total Expenses,1669937502.56,1625652100.54,1780667351.83,1697501018.26
Total Operating Income As Reported,256537101.71,322267079.99,310635670.52,295237117.63
Diluted Average Shares,361125762.0,361758175.0,360074838.0,319969792.0
Basic Average Shares,361125762.0,361758175.0,360074838.0,312225357.0
Diluted EPS,0.6319,0.7863,0.6586,0.7015
Basic EPS,0.6319,0.7863,0.6586,0.7189
Net Income Common Stockholders,228195368.96,284450452.67,237145288.03,224458809.21
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,228195368.96,284450452.67,237145288.03,224458809.21
Minority Interests,-822873.57,-2967171.65,-39885322.65,-31571335.4
Net Income Including Noncontrolling Interests,229018242.53,287417624.32,277030610.68,256030144.61
Net Income Continuous Operations,229018242.53,287417624.32,277030610.68,256030144.61
Tax Provision,20903767.38,32119411.27,32393065.97,27793710.06
Pretax Income,249922009.91,319537035.59,309423676.65,283823854.67
Other Non Operating Income Expenses,-6615091.8,-2730044.4,-1211993.87,-11413262.96
Special Income Charges,-6484910.48,-1532398.01,-607504.88,1421983.61
Other Special Charges,-235356.1,-104820.38,41370.97,24665.17
Write Off,6720266.58,1637218.39,566133.91,-1446648.78
Impairment Of Capital Assets,0.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,30750210.43,35604120.86,39704016.15,13239596.73
Total Other Finance Cost,388009.93,305162.0,251605.01,1827608.91
Interest Expense Non Operating,9494297.4,6990487.07,7581255.25,2084138.59
Interest Income Non Operating,40632517.76,42899769.93,47536876.41,17151344.23
Operating Income,234341502.81,257316463.01,234785946.03,253493850.41
Operating Expense,252817602.38,211380065.86,211061791.46,218409524.28
Other Operating Expenses,15824103.01,15350240.74,14219049.15,12854417.13
Depreciation And Amortization In Income Statement,20883759.33,18166259.93,19236245.6,17094132.38
Amortization,588038.16,588038.16,1578791.76,1329415.32
Depreciation Income Statement,20295721.17,17578221.77,17657453.84,15764717.06
Research And Development,91548034.84,75435222.02,71913035.62,64996648.21
Selling General And Administration,71826851.14,71247566.54,70655795.95,68353031.48
Selling And Marketing Expense,34583707.46,34822050.34,30257669.48,26913350.24
General And Administrative Expense,37243143.68,36425516.2,40398126.47,41439681.24
Gross Profit,487159105.19,468696528.87,445847737.49,471903374.69
Cost Of Revenue,1417119900.18,1414272034.68,1569605560.37,1479091493.98
Total Revenue,1904279005.37,1882968563.55,2015453297.86,1950994868.67
Operating Revenue,1904279005.37,1882968563.55,2015453297.86,1950994868.67
