,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-2754495.56799,142356.1825,-2931970.2775,23715.067918
Tax Rate For Calcs,0.114997,0.25,0.25,0.153062
Total Unusual Items,-23952691.49,569424.73,-11727881.11,154938.12
Total Unusual Items Excluding Goodwill,-23952691.49,569424.73,-11727881.11,154938.12
Net Income From Continuing Operation Net Minority Interest,903629183.85,330655551.54,400810788.88,745310120.95
Reconciled Depreciation,220885211.78,227202855.99,220893083.62,175374230.91
Net Interest Income,103686955.02,78701532.03,208543244.67,198696555.44
Interest Expense,516701725.44,644495028.91,622705771.31,633070706.85
Interest Income,620388680.46,723196560.94,831249015.98,831767262.29
Normalized Income,924827379.77201,330228482.9925,409606699.7125,745178897.897918
Net Income From Continuing And Discontinued Operation,903629183.85,330655551.54,400810788.88,745310120.95
Diluted Average Shares,4107405381.0,4133194394.0,4008107889.0,4140611783.0
Basic Average Shares,4107405381.0,4133194394.0,4008107889.0,4140611783.0
Diluted EPS,0.22,0.08,0.1,0.18
Basic EPS,0.22,0.08,0.1,0.18
Net Income Common Stockholders,903629183.85,330655551.54,400810788.88,745310120.95
Net Income,903629183.85,330655551.54,400810788.88,745310120.95
Minority Interests,-59687148.25,-56892417.92,-64153492.64,-78519676.3
Net Income Including Noncontrolling Interests,963316332.1,387547969.46,464964281.52,823829797.25
Net Income Continuous Operations,963316332.1,387547969.46,464964281.52,823829797.25
Tax Provision,125173414.62,-23413328.81,-1143723.38,148885270.42
Pretax Income,1088489746.72,364134640.65,463820558.14,972715067.67
Other Non Operating Income Expenses,-2970711.06,-3138212.66,-6929213.78,-5248057.2
Special Income Charges,-23952691.49,569424.73,-11727881.11,154938.12
Other Special Charges,-387308.51,-569424.73,-226468.11,-154938.12
Write Off,24340000.0,,11954349.22,
Gain On Sale Of Security,1440784625.93,592251343.61,186634196.75,927250682.69
Operating Expense,2351504537.0,2116211125.96,2118630541.8,2198990533.9
Other Operating Expenses,37324140.44,32591389.18,32576088.84,34975363.51
Depreciation And Amortization In Income Statement,152546658.03,106250426.32,98385198.82,78929375.91
Amortization,74978130.65,63430782.04,59269542.88,47579403.37
Depreciation Income Statement,77568527.38,42819644.28,39115655.94,31349972.54
Selling General And Administration,693574833.9,725607951.43,688423666.68,719463532.07
Selling And Marketing Expense,124564117.86,111987182.56,112376929.24,123066625.65
General And Administrative Expense,569010716.04,613620768.87,576046737.44,596396906.42
Rent And Landing Fees,,,28158807.77,
Total Revenue,3370500022.23,2328069611.5,2380169057.86,3000340477.52
Operating Revenue,3370500022.23,2328069611.5,2380169057.86,3000340477.52
