,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,3537525227.0,3482554227.0,3487452967.0,3487452967.0
Share Issued,3537525227.0,3482554227.0,3487452967.0,3487452967.0
Total Debt,2013702982.65,2434601336.28,2479663810.42,1686455384.59
Tangible Book Value,5826726026.47,5818875890.25,5648348123.65,5698530722.26
Invested Capital,9402395230.64,9773652741.17,9838863015.65,11000371672.62
Working Capital,2565015204.16,3299166166.1,3178861873.75,3314334254.53
Net Tangible Assets,5826726026.47,5818875890.25,5648348123.65,5698530722.26
Capital Lease Obligations,129102335.19,176185139.4,24876181.44,30077428.38
Common Stock Equity,7590329971.13,7583052793.05,7423385808.65,9402913497.69
Total Capitalization,8074006647.68,8333925213.58,8159069339.97,9402913497.69
Total Equity Gross Minority Interest,7582817036.04,7578928230.71,7416875183.83,9403144405.43
Minority Interest,-7512935.09,-4124562.34,-6510624.82,230907.74
Stockholders Equity,7590329971.13,7583052793.05,7423385808.65,9402913497.69
Treasury Stock,,,19889701.89,150061494.07
Retained Earnings,1082050900.1,1389396411.88,1277166090.52,3557322887.9
Additional Paid In Capital,3440537289.08,3310176989.08,3325818680.21,3352532840.08
Capital Stock,2526803734.0,2487538734.0,2491037834.0,2491037834.0
Common Stock,2526803734.0,2487538734.0,2491037834.0,2491037834.0
Total Liabilities Net Minority Interest,14788307198.56,14142065510.76,10752538549.75,8530761604.04
Total Non Current Liabilities Net Minority Interest,774477994.42,1118201772.51,953845364.31,299319953.9
Other Non Current Liabilities,,-426851282.5,-692477715.32,-418968628.64
Tradeand Other Payables Non Current,,17895049.99,17529090.14,
Non Current Deferred Revenue,227400.0,231700.0,450000.0,329000.0
Non Current Deferred Taxes Liabilities,161471582.68,173017462.59,175306561.41,268913525.52
Long Term Debt And Capital Lease Obligation,612779011.74,927057559.93,760559712.76,30077428.38
Long Term Capital Lease Obligation,129102335.19,176185139.4,24876181.44,30077428.38
Long Term Debt,483676676.55,750872420.53,735683531.32,
Current Liabilities,14013829204.14,13023863738.25,9798693185.44,8231441650.14
Other Current Liabilities,14723733.76,13760287.87,8586371.03,7771904.81
Current Debt And Capital Lease Obligation,1400923970.91,1507543776.35,1719104097.66,1656377956.21
Current Debt,1328388582.96,1439727527.59,1679793675.68,1597458174.93
Payables,11552330457.99,11075708391.53,7378525001.43,6148323160.48
Other Payable,214526304.77,250612028.35,256623613.01,282108060.96
Dividends Payable,13355431.26,13335729.17,14385729.17,11038306.11
Total Tax Payable,128261733.11,110344197.0,179515988.1,270171001.76
Accounts Payable,11196186988.85,10701416437.01,6927999671.15,5585005791.65
Total Assets,22371124234.6,21720993741.47,18169413733.58,17933906009.47
Total Non Current Assets,5792279826.3,5397963837.12,5191858674.39,6388130104.8
Other Non Current Assets,22640040.1,25725927.25,25386880.71,24305432.06
Non Current Deferred Assets,9151612.02,8121618.2,9982077.62,25534538.81
Non Current Deferred Taxes Assets,676317991.83,603063482.33,380343157.52,287270848.37
Investmentin Financial Assets,1470559613.46,855656872.99,959296667.53,729962553.12
Held To Maturity Securities,621080300.52,42558809.23,36927338.08,
Available For Sale Securities,849479312.94,813098063.76,922369329.45,729962553.12
Long Term Equity Investment,1577346430.02,1807770861.18,1880414371.37,1506099865.0
Goodwill And Other Intangible Assets,1763603944.66,1764176902.8,1775037685.0,3704382775.43
Other Intangible Assets,7413364.69,7986322.83,18847105.03,666630409.11
Goodwill,1756190579.97,1756190579.97,1756190579.97,3037752366.32
Net PPE,272660194.21,333448172.37,161397834.64,110574092.01
Accumulated Depreciation,-74061211.49,-77145827.07,-66416529.56,-58172677.28
Gross PPE,346721405.7,410593999.44,227814364.2,168746769.29
Other Properties,263121308.45,326718390.19,144712329.52,149896277.48
Machinery Furniture Equipment,17957540.57,19198276.85,19503160.06,18850491.81
Properties,65642556.68,64677332.4,63598874.62,
Current Assets,16578844408.3,16323029904.35,12977555059.19,11545775904.67
Other Current Assets,206943345.51,98719540.51,173388039.76,94762355.48
Prepaid Assets,203815950.08,117632192.99,139916186.34,103933254.75
Inventory,12985522.5,6091959.95,9973592.33,1247868.12
Inventories Adjustments Allowances,0.0,0.0,0.0,
Other Inventories,12985522.5,6091959.95,4429165.01,1089535.53
Finished Goods,,0.0,5544427.32,158332.59
Other Receivables,313446433.84,337962970.89,284074538.01,450098464.67
Accounts Receivable,11379949576.53,10379733008.77,7317148755.29,6826410403.12
Allowance For Doubtful Accounts Receivable,-849636448.98,-894443158.06,-563145998.23,-336981293.74
Gross Accounts Receivable,12229586025.51,11274176166.83,7880294753.52,7163391696.86
Cash Cash Equivalents And Short Term Investments,4461703579.84,5382890231.24,5053053947.46,4069323558.53
Other Short Term Investments,269754381.28,1268968988.22,1207070020.95,1290138477.89
Cash And Cash Equivalents,4191949198.56,4113921243.02,3845983926.51,2779185080.64
Cash Equivalents,600000.0,603395.5,1023586.55,135764.78
Cash Financial,4191349198.56,4113317847.52,3844960339.96,2779049315.86
