,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,559788885000.0,36056584000.0,210941008000.0,-4661003000.0
Repayment Of Debt,-983820000000.0,-1034430000000.0,-844614429000.0,-638860000000.0
Issuance Of Debt,982839355000.0,1276689507000.0,770750359000.0,674414169000.0
Capital Expenditure,-862223000.0,-789057000.0,-2657862000.0,-848041000.0
End Cash Position,242948950000.0,67759047000.0,69569121000.0,63953659000.0
Beginning Cash Position,67759047000.0,69569121000.0,63953659000.0,90356190000.0
Effect Of Exchange Rate Changes,-227407000.0,-473418000.0,80654000.0,950002000.0
Changes In Cash,175417310000.0,-1336656000.0,5534808000.0,-27352533000.0
Financing Cash Flow,-6940753000.0,257755614000.0,-85974612000.0,24546975000.0
Net Other Financing Charges,9338266000.0,29465769000.0,95739000.0,-441917000.0
Cash Dividends Paid,-15298374000.0,-13969662000.0,-12206281000.0,-10565277000.0
Net Issuance Payments Of Debt,-980645000.0,242259507000.0,-73864070000.0,35554169000.0
Net Long Term Debt Issuance,-980645000.0,242259507000.0,-73864070000.0,35554169000.0
Long Term Debt Payments,-983820000000.0,-1034430000000.0,-844614429000.0,-638860000000.0
Long Term Debt Issuance,982839355000.0,1276689507000.0,770750359000.0,674414169000.0
Investing Cash Flow,-378293045000.0,-295937911000.0,-122089450000.0,-48086546000.0
Net Investment Purchase And Sale,-377495567000.0,-295307515000.0,-119517737000.0,-47456497000.0
Sale Of Investment,3568128256000.0,2918827304000.0,2325788180000.0,1148594496000.0
Purchase Of Investment,-3945623823000.0,-3214134819000.0,-2445305917000.0,-1196050993000.0
Net Business Purchase And Sale,-11262000.0,,,
Purchase Of Business,-11262000.0,,,
Net PPE Purchase And Sale,-786216000.0,-630396000.0,-2571713000.0,-630049000.0
Sale Of PPE,76007000.0,158661000.0,86149000.0,217992000.0
Purchase Of PPE,-862223000.0,-789057000.0,-2657862000.0,-848041000.0
Operating Cash Flow,560651108000.0,36845641000.0,213598870000.0,-3812962000.0
Change In Working Capital,535189869000.0,11655467000.0,189266288000.0,-26164450000.0
Change In Other Current Assets,,,2498223000.0,-1721989000.0
Change In Payable,934430990000.0,237749984000.0,466250946000.0,283100012000.0
Change In Receivables,-399241121000.0,-226094517000.0,-276984658000.0,-307542473000.0
Other Non Cash Items,-19970654000.0,-14502811000.0,-12994709000.0,-12301792000.0
Provisionand Write Offof Assets,22104769000.0,18376651000.0,16739504000.0,19676225000.0
Deferred Tax,-2636197000.0,1800516000.0,2498223000.0,
Depreciation And Amortization,1667443000.0,1563779000.0,1429582000.0,1336373000.0
Depreciation,1667443000.0,1563779000.0,1429582000.0,1336373000.0
Gain Loss On Investment Securities,-11225106000.0,-15803909000.0,-13027129000.0,-12064598000.0
Net Foreign Currency Exchange Gain Loss,-735332000.0,515241000.0,-306596000.0,-577442000.0
Gain Loss On Sale Of PPE,-27445000.0,-65696000.0,-19433000.0,-69266000.0
Net Income From Continuing Operations,36283761000.0,33306403000.0,30013140000.0,26351988000.0
Cash Flowsfromusedin Operating Activities Direct,560651108000.0,36845641000.0,213598870000.0,-3812962000.0
Classesof Cash Payments,-515371698000.0,-454661380000.0,-361147011000.0,-381028366000.0
Other Cash Paymentsfrom Operating Activities,-10174705000.0,-60481918000.0,-61576168000.0,-84814694000.0
Paymentson Behalfof Employees,-11883461000.0,-11185045000.0,-8996330000.0,-8204845000.0
Classesof Cash Receiptsfrom Operating Activities,1076022806000.0,491507021000.0,574745881000.0,377215404000.0
Other Cash Receiptsfrom Operating Activities,174032652000.0,57779611000.0,52339662000.0,80488095000.0
