,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,257600791.0,257600791.0,267184734.0,267184734.0
Share Issued,257600791.0,257600791.0,267184734.0,267184734.0
Total Debt,1158535477.8,1230071904.9,921670356.43,938671888.32
Tangible Book Value,1908938163.08,1672083769.3,1524421867.16,1197479922.3
Invested Capital,3895254982.13,3339532243.38,3153184404.58,2889951292.8
Working Capital,1354560046.12,973414580.14,1175978704.81,894484690.8
Net Tangible Assets,1908938163.08,1672083769.3,1524421867.16,1197479922.3
Capital Lease Obligations,74656592.97,88196959.42,81450381.04,64538393.52
Common Stock Equity,2939498046.9,2665869873.27,2347692942.21,2063897698.31
Total Capitalization,3235465070.0,2714605701.58,2747064751.27,2482691745.41
Total Equity Gross Minority Interest,2976856664.09,2689499092.05,2368997407.25,2101532622.14
Minority Interest,37358617.19,23629218.78,21304465.04,37634923.83
Stockholders Equity,2939498046.9,2665869873.27,2347692942.21,2063897698.31
Treasury Stock,,,169600445.27,169600445.27
Retained Earnings,2045191920.95,1743512548.67,1427444465.83,1166939762.83
Additional Paid In Capital,518240485.15,520167533.67,680764568.84,689848078.62
Capital Stock,257600791.0,257600791.0,267184734.0,267184734.0
Common Stock,257600791.0,257600791.0,267184734.0,267184734.0
Total Liabilities Net Minority Interest,5848380421.8,6409098016.38,6635248004.82,5539679340.63
Total Non Current Liabilities Net Minority Interest,532941090.01,338211161.83,636503021.82,649394810.8
Other Non Current Liabilities,,61291915.22,36354020.36,38707564.43
Tradeand Other Payables Non Current,37477240.96,41223517.13,32557717.08,42209802.71
Non Current Deferred Revenue,118346131.33,88846101.17,69623549.2,73241391.34
Non Current Deferred Taxes Liabilities,6494101.65,9916840.58,17145545.08,11903611.7
Long Term Debt And Capital Lease Obligation,370623616.07,136932787.73,480822190.1,483332440.62
Long Term Capital Lease Obligation,74656592.97,88196959.42,81450381.04,64538393.52
Long Term Debt,295967023.1,48735828.31,399371809.06,418794047.1
Current Liabilities,5315439331.79,6070886854.55,5998744983.0,4890284529.83
Other Current Liabilities,70668316.72,36947324.67,36816819.7,55386952.3
Current Debt And Capital Lease Obligation,787911861.73,1093139117.17,440848166.33,455339447.7
Current Debt,659789912.13,624926541.8,406119653.31,407259547.39
Payables,2667084833.09,2748531486.32,2874720660.57,2399779224.99
Other Payable,270389862.84,245139923.67,218912788.29,315059474.76
Total Tax Payable,91038597.58,100676033.17,120958050.2,122546393.55
Accounts Payable,2305656372.67,2402715529.48,2534849822.08,1962173356.68
Total Assets,8825237085.89,9098597108.43,9004245412.07,7641211962.77
Total Non Current Assets,2155237707.98,2054295673.74,1829521724.26,1856442742.14
Other Non Current Assets,3603202.74,1271438.91,1271438.91,1271438.91
Non Current Deferred Assets,24698908.18,28118112.78,14722385.87,14530047.29
Non Current Deferred Taxes Assets,78874449.52,65872343.39,63000682.54,65846508.24
Investmentin Financial Assets,205519207.78,227245226.13,227697784.08,211771650.02
Available For Sale Securities,205519207.78,227245226.13,227697784.08,211771650.02
Long Term Equity Investment,1902939.22,11483076.84,11095929.27,20816829.83
Goodwill And Other Intangible Assets,1030559883.82,993786103.97,823271075.05,866417776.01
Other Intangible Assets,444074149.37,359055203.84,188540174.92,193482906.28
Goodwill,586485734.45,634730900.13,634730900.13,672934869.73
Net PPE,810079116.72,726519371.72,688462428.54,675788491.84
Accumulated Depreciation,-634138243.86,-590351138.58,-522495755.23,-472330937.66
Gross PPE,1444217360.58,1316870510.3,1210958183.77,1148119429.5
Construction In Progress,185814272.45,77045085.9,25792410.95,17394721.24
Other Properties,680366127.31,646406163.81,613547238.1,577402550.37
Machinery Furniture Equipment,43605847.78,44679222.32,42677789.13,39885932.29
Properties,534431113.04,548740038.27,528940745.59,513436225.6
Current Assets,6669999377.91,7044301434.69,7174723687.81,5784769220.63
Other Current Assets,100551973.54,69563370.95,44512327.42,45656887.14
Prepaid Assets,169860642.92,160222849.6,184347683.58,176720229.49
Inventory,2905896689.07,3592894771.11,3361752809.8,2304607221.01
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,1668376097.08,2465520151.13,2340371276.96,1447420530.76
Finished Goods,715323027.97,534346880.59,435824382.26,367219675.88
Work In Process,89021249.18,70830730.06,73758952.65,121214414.41
Raw Materials,433176314.84,522197009.33,511798197.93,368752599.96
Other Receivables,429726742.77,623306734.46,994729923.86,871346747.93
Accounts Receivable,1648056105.56,1375528388.01,1247299857.66,1155481039.01
Allowance For Doubtful Accounts Receivable,-208797580.76,-189473528.05,-178021743.31,-169499760.24
Gross Accounts Receivable,1856853686.32,1565001916.06,1425321600.97,1324980799.25
Cash Cash Equivalents And Short Term Investments,1415907224.05,1222785320.56,1342081085.49,1230957096.05
Other Short Term Investments,251496834.65,62409994.35,37888786.22,228279725.39
Cash And Cash Equivalents,1164410389.4,1160375326.21,1304192299.27,1002677370.66
Cash Equivalents,158664349.23,178716454.17,188849422.92,186980247.07
Cash Financial,1005746040.17,981658872.04,1115342876.35,815697123.59
