,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,89199253.48,66367129.28,289197724.87,437604855.52
Repayment Of Debt,-335790287.75,-167079058.48,-68152723.07,-240325270.56
Issuance Of Debt,135444968.68,330053515.37,126463501.13,9207518.48
Capital Expenditure,-513905545.5,-368631170.94,-150527611.35,-257277913.71
End Cash Position,497474566.85,308473032.64,495509679.83,512158541.2
Beginning Cash Position,308473032.64,495509679.83,512158541.2,902660504.14
Effect Of Exchange Rate Changes,-2292011.48,5872495.7,2273918.63,8109386.64
Changes In Cash,191293545.69,-192909142.89,-18922780.0,-398611349.58
Financing Cash Flow,-237471973.51,44850730.11,-51368484.36,-284090879.21
Net Other Financing Charges,71117007.37,-34094070.23,2674520.13,408113.8
Cash Dividends Paid,-103966041.95,-84029656.55,-112353782.55,-53381240.93
Net Issuance Payments Of Debt,-200345319.07,162974456.89,58310778.06,-231117752.08
Net Long Term Debt Issuance,-200345319.07,162974456.89,58310778.06,-231117752.08
Long Term Debt Payments,-335790287.75,-167079058.48,-68152723.07,-240325270.56
Long Term Debt Issuance,135444968.68,330053515.37,126463501.13,9207518.48
Investing Cash Flow,-174339279.78,-672758173.22,-407279631.86,-809403239.6
Net Other Investing Changes,336068262.81,-317955105.27,-175898507.71,-555000000.0
Net Investment Purchase And Sale,2225048.47,13687284.18,-81005750.44,2805599.41
Sale Of Investment,25082192.96,13687284.18,13994249.56,2805599.41
Purchase Of Investment,-22857144.49,,-95000000.0,
Net PPE Purchase And Sale,-512632591.06,-368490352.13,-150375373.71,-257208839.01
Sale Of PPE,1272954.44,140818.81,152237.64,69074.7
Purchase Of PPE,-513905545.5,-368631170.94,-150527611.35,-257277913.71
Operating Cash Flow,603104798.98,434998300.22,439725336.22,694882769.23
Change In Working Capital,-86994282.86,-226474163.64,-160061453.59,204910907.14
Change In Other Current Assets,-3296832.27,2221254.66,-5367932.39,-5152073.15
Change In Payable,258029239.37,79437466.86,-36736129.98,-12877169.51
Change In Inventory,-149413627.38,-64508617.24,-1586513.68,117740480.42
Change In Receivables,-192313062.58,-243624267.92,-116370877.54,105199669.38
Other Non Cash Items,11292601.1,12449184.14,17579221.9,-8181225.51
Depreciation And Amortization,298944745.65,251904679.68,248183285.37,212221510.74
Amortization Cash Flow,13128691.19,9624299.56,8649973.95,7673219.08
Depreciation,285816054.46,242280380.12,239533311.42,204548291.66
Gain Loss On Investment Securities,-8640199.88,-14410763.91,-9151683.72,-3827314.54
Gain Loss On Sale Of PPE,12630.76,1039725.28,-360366.43,1406733.39
Net Income From Continuing Operations,317275340.77,340769520.06,280926541.45,219209564.33
Cash Flowsfromusedin Operating Activities Direct,603104798.98,434998300.22,439725336.22,694882769.23
Taxes Refund Paid Direct,18959459.57,-6959576.58,-81963931.37,-39863971.5
Classesof Cash Payments,-3346124370.99,-2583466408.98,-2539657417.49,-2452243187.61
Other Cash Paymentsfrom Operating Activities,-177081053.41,-120341696.6,-99714992.28,-95470803.18
Paymentson Behalfof Employees,-591364975.39,-479256197.38,-401642223.39,-412942498.69
Paymentsto Suppliersfor Goodsand Services,-2577678342.19,-1983868515.0,-2038300201.82,-1943829885.74
Classesof Cash Receiptsfrom Operating Activities,3930269710.4,3025424285.78,3061346685.08,3186989928.34
Other Cash Receiptsfrom Operating Activities,136237161.25,78280287.27,134962859.84,173132902.62
Receiptsfrom Customers,3794032549.15,2947143998.51,2926383825.24,3013857025.72
