,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-172681155.54,-69382046.18,-71208214.84,64276629.76
Capital Expenditure,-296122796.16,-211496625.05,-178474971.53,-84180194.73
End Cash Position,99646317.1,105585367.47,188536438.14,875298498.68
Beginning Cash Position,105585367.47,188536438.14,875298498.68,481763380.06
Effect Of Exchange Rate Changes,-19.81,31.32,,
Changes In Cash,-5939030.56,-82951101.99,-686762060.54,393535118.62
Financing Cash Flow,-40413537.49,-40733428.64,-54318802.29,618116145.53
Net Other Financing Charges,-889269.79,-1209160.94,-1619778.69,692578868.03
Cash Dividends Paid,-39524267.7,-39524267.7,-52699023.6,-74462722.5
Investing Cash Flow,-88967133.69,-184332252.22,-739710014.94,-373037851.4
Net Investment Purchase And Sale,207155662.47,27163957.83,-561287793.41,-288858214.19
Sale Of Investment,1104035227.53,2445084208.8,1478474758.27,1714137359.36
Purchase Of Investment,-896879565.06,-2417920250.97,-2039762551.68,-2002995573.55
Net Business Purchase And Sale,,,,
Sale Of Business,,,,
Net PPE Purchase And Sale,-296122796.16,-211496210.05,-178422221.53,-84179637.21
Sale Of PPE,,415.0,52750.0,557.52
Purchase Of PPE,-296122796.16,-211496625.05,-178474971.53,-84180194.73
Operating Cash Flow,123441640.62,142114578.87,107266756.69,148456824.49
Change In Working Capital,12955990.49,51409329.7,25818971.73,29010284.73
Change In Other Current Assets,-7268453.26,-413257.52,-2057702.35,-162506.86
Change In Payable,46768949.89,38185835.12,-23055054.18,17987638.98
Change In Inventory,-128272.65,-7376816.69,11710591.68,1914395.33
Change In Receivables,-26416233.49,21013568.79,39221136.58,9270757.28
Other Non Cash Items,-18547735.26,-22426194.57,-19422067.39,-1391599.84
Depreciation And Amortization,33719106.09,26154016.66,20336548.63,18046180.85
Amortization Cash Flow,2807900.78,2074005.0,2704248.79,2231688.66
Depreciation,30911205.31,24080011.66,17632299.84,15814492.19
Gain Loss On Investment Securities,-3800335.59,-5591435.51,-7384521.5,-9340499.05
Gain Loss On Sale Of PPE,17695.68,-338756.29,-32816.82,10640.46
Net Income From Continuing Operations,94519402.43,94356080.46,93479909.0,109891164.01
Cash Flowsfromusedin Operating Activities Direct,123441640.62,142114578.87,107266756.69,148456824.49
Taxes Refund Paid Direct,-21848946.35,-25726242.08,-45638642.74,-30187456.1
Classesof Cash Payments,-276884379.07,-235147271.29,-216702422.91,-265521550.78
Other Cash Paymentsfrom Operating Activities,-53738078.02,-51727610.24,-48200017.39,-33166083.88
Paymentson Behalfof Employees,-72920595.71,-64319532.18,-59441600.84,-52402714.31
Paymentsto Suppliersfor Goodsand Services,-150225705.34,-119100128.87,-109060804.68,-179952752.59
Classesof Cash Receiptsfrom Operating Activities,422174966.04,402988092.24,369607822.34,444165831.37
Other Cash Receiptsfrom Operating Activities,30531315.08,31429551.43,17964411.78,8587650.28
Receiptsfrom Customers,391643650.96,371558540.81,351643410.56,435578181.09
