,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-89894223.391428,13074274.922901,44075506.960334,-246692342.901981
Tax Rate For Calcs,0.18689,0.195138,0.205002,0.208004
Total Unusual Items,-481000000.0,67000000.0,215000000.0,-1186000000.0
Total Unusual Items Excluding Goodwill,-481000000.0,67000000.0,215000000.0,-1186000000.0
Net Income From Continuing Operation Net Minority Interest,44508000000.0,46455000000.0,45516000000.0,36336000000.0
Reconciled Depreciation,4667000000.0,5177000000.0,5339000000.0,5197000000.0
Net Interest Income,93427000000.0,117991000000.0,130130000000.0,120336000000.0
Interest Expense,104954000000.0,109626000000.0,98748000000.0,93200000000.0
Interest Income,198381000000.0,227617000000.0,228878000000.0,213536000000.0
Normalized Income,44899105776.608574,46401074274.9229,45345075506.960335,37275307657.09802
Net Income From Continuing And Discontinued Operation,44508000000.0,46455000000.0,45516000000.0,36336000000.0
Diluted Average Shares,20701395349.0,20646666667.0,20689090909.0,21003468208.0
Basic Average Shares,20701395349.0,20646666667.0,20689090909.0,21003468208.0
Diluted EPS,2.15,2.25,2.2,1.73
Basic EPS,2.15,2.25,2.2,1.73
Net Income Common Stockholders,44508000000.0,46455000000.0,45516000000.0,36336000000.0
Net Income,44508000000.0,46455000000.0,45516000000.0,36336000000.0
Net Income Including Noncontrolling Interests,44508000000.0,46455000000.0,45516000000.0,36336000000.0
Net Income Extraordinary,,,,0.0
Net Income Continuous Operations,44508000000.0,46455000000.0,45516000000.0,36336000000.0
Tax Provision,10230000000.0,11263000000.0,11737000000.0,9543000000.0
Pretax Income,54738000000.0,57718000000.0,57253000000.0,45879000000.0
Other Non Operating Income Expenses,-468000000.0,-210000000.0,-222000000.0,-106000000.0
Special Income Charges,-481000000.0,67000000.0,215000000.0,-1186000000.0
Other Special Charges,-8000000.0,-144000000.0,-180000000.0,-12000000.0
Write Off,489000000.0,77000000.0,-35000000.0,1198000000.0
Gain On Sale Of Security,27708000000.0,15700000000.0,14483000000.0,14323000000.0
Operating Expense,42061000000.0,47677000000.0,51114000000.0,49581000000.0
Other Operating Expenses,1479000000.0,1718000000.0,1727000000.0,1644000000.0
Depreciation And Amortization In Income Statement,2405000000.0,2668000000.0,2665000000.0,2732000000.0
Amortization,814000000.0,789000000.0,732000000.0,959000000.0
Depreciation Income Statement,1591000000.0,1879000000.0,1933000000.0,1773000000.0
Selling General And Administration,18449000000.0,21749000000.0,23891000000.0,22902000000.0
General And Administrative Expense,18449000000.0,21749000000.0,23891000000.0,22902000000.0
Rent And Landing Fees,602000000.0,633000000.0,614000000.0,615000000.0
Total Revenue,146687000000.0,164555000000.0,179715000000.0,169371000000.0
Operating Revenue,146687000000.0,164555000000.0,179715000000.0,169371000000.0
