,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-209248692.71,-201224336.94,-64677734.17,34087308.54
Repayment Of Debt,-95361000.0,-55420000.0,-126995000.0,-85368699.0
Issuance Of Debt,253720084.63,42000000.0,59820000.0,91800000.0
Capital Expenditure,-96408270.99,-81189735.44,-83306516.09,-30415530.29
End Cash Position,233646584.8,355584664.18,641600831.15,1149088600.86
Beginning Cash Position,355584664.18,641600831.15,1149088600.86,106454547.3
Changes In Cash,-121938079.38,-286016166.97,-507487769.71,1042634053.56
Financing Cash Flow,119928571.18,-55207016.63,-231015889.09,1007647219.65
Net Other Financing Charges,-33923465.94,-24425066.28,-143640069.41,1008159365.07
Cash Dividends Paid,-4507047.51,-16572365.13,-20200819.68,-5197725.88
Net Issuance Payments Of Debt,158359084.63,-13420000.0,-67175000.0,6431301.0
Net Long Term Debt Issuance,158359084.63,-13420000.0,-67175000.0,6431301.0
Long Term Debt Payments,-95361000.0,-55420000.0,-126995000.0,-85368699.0
Long Term Debt Issuance,253720084.63,42000000.0,59820000.0,91800000.0
Investing Cash Flow,-129026228.84,-110774548.84,-295100662.54,-29516004.92
Net Other Investing Changes,,,578511.35,
Net Investment Purchase And Sale,-33799377.78,-32144755.21,-212680646.54,
Sale Of Investment,482200622.22,935075347.01,1376332416.47,
Purchase Of Investment,-516000000.0,-967220102.22,-1589013063.01,
Net Business Purchase And Sale,,-531986.03,,
Purchase Of Business,,-531986.03,,
Net PPE Purchase And Sale,-95226851.06,-78097807.6,-82998527.35,-29516004.92
Sale Of PPE,1181419.93,3091927.84,307988.74,899525.37
Purchase Of PPE,-96408270.99,-81189735.44,-83306516.09,-30415530.29
Operating Cash Flow,-112840421.72,-120034601.5,18628781.92,64502838.83
Change In Working Capital,-171604077.79,-210711043.03,-100257924.97,-64442375.87
Change In Other Current Assets,-10825313.04,-10769971.21,-5507865.69,-3917375.18
Change In Payable,43864548.72,17763230.97,31642958.45,45849872.53
Change In Inventory,-33590950.08,-32077228.28,-27562885.79,-30125118.48
Change In Receivables,-171052363.39,-185627074.51,-98830131.94,-76249754.74
Other Non Cash Items,5918676.58,3856481.61,6068111.89,9526233.87
Depreciation And Amortization,32947701.41,36283605.65,37973247.1,38983605.39
Amortization Cash Flow,5081002.47,2802216.69,1840781.49,3863376.84
Depreciation,27866698.94,33481388.96,36132465.61,35120228.55
Gain Loss On Investment Securities,-4362424.4,-4041750.4,-7859972.64,7213.81
Gain Loss On Sale Of PPE,-714210.81,-27512.38,-42131.74,-206191.5
Net Income From Continuing Operations,-68719160.82,-11497613.64,49958113.55,53338512.87
Cash Flowsfromusedin Operating Activities Direct,-112840421.72,-120034601.5,18628781.92,64502838.83
Taxes Refund Paid Direct,-10525105.24,-13230093.43,-6607237.36,-20177312.31
Classesof Cash Payments,-510206429.34,-547942339.43,-432346751.01,-387784045.68
Other Cash Paymentsfrom Operating Activities,-68692465.36,-64685123.62,-64797278.39,-63536941.75
Paymentson Behalfof Employees,-269855946.71,-279340735.99,-205157232.15,-194309164.36
Paymentsto Suppliersfor Goodsand Services,-171658017.27,-203916479.82,-162392240.47,-129937939.57
Classesof Cash Receiptsfrom Operating Activities,407891112.86,441137831.36,457582770.29,472464196.82
Other Cash Receiptsfrom Operating Activities,16548415.97,29214648.42,36908378.28,19929386.18
Receiptsfrom Customers,391342696.89,411923182.94,420674392.01,452534810.64
