,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-11162519.103885,-26107965.141739,-7577945.5,-1845508.269615
Tax Rate For Calcs,0.123741,0.390982,0.25,0.06813
Normalized EBITDA,49595346.69,87012959.77,120348152.82,133022409.31
Total Unusual Items,-90208415.14,-66775366.55,-30311782.0,-27087977.42
Total Unusual Items Excluding Goodwill,-90208415.14,-66775366.55,-30311782.0,-27087977.42
Net Income From Continuing Operation Net Minority Interest,-64055198.97,-10680423.3,47106109.62,55618852.01
Reconciled Depreciation,32947701.41,36283605.65,37973247.1,38983605.39
Reconciled Cost Of Revenue,336201465.27,337692684.98,292193035.87,251755065.99
EBITDA,-40613068.45,20237593.22,90036370.82,105934431.89
EBIT,-73560769.86,-16046012.43,52063123.72,66950826.5
Net Interest Income,-142023.8,8403042.03,8816994.66,-8577180.63
Interest Expense,4862613.24,2832925.95,5787154.03,9712668.71
Interest Income,4842436.92,11323726.3,14766099.75,1336530.69
Normalized Income,14990697.066115,29986978.108261,69839946.12,80861321.160385
Net Income From Continuing And Discontinued Operation,-64055198.97,-10680423.3,47106109.62,55618852.01
Total Expenses,513022059.13,511835455.32,436995423.87,377878281.85
Rent Expense Supplemental,850009.51,1924370.79,1203489.13,
Total Operating Income As Reported,-78696043.86,-18680619.58,46335335.33,57453128.35
Diluted Average Shares,112377542.0,118671370.0,112157404.0,84270988.0
Basic Average Shares,112377542.0,118671370.0,112157404.0,84270988.0
Diluted EPS,-0.57,-0.09,0.42,0.66
Basic EPS,-0.57,-0.09,0.42,0.66
Net Income Common Stockholders,-64055198.97,-10680423.3,47106109.62,55618852.01
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-64055198.97,-10680423.3,47106109.62,55618852.01
Minority Interests,4663961.85,817190.34,-2852003.93,2280339.14
Net Income Including Noncontrolling Interests,-68719160.82,-11497613.64,49958113.55,53338512.87
Net Income Continuous Operations,-68719160.82,-11497613.64,49958113.55,53338512.87
Tax Provision,-9704222.28,-7381324.74,-3682143.86,3899644.92
Pretax Income,-78423383.1,-18878938.38,46275969.69,57238157.79
Other Non Operating Income Expenses,272660.76,-198318.8,-59365.64,-214970.56
Special Income Charges,-89958591.23,-65554237.95,-31852401.18,-27087977.42
Other Special Charges,-883546.33,-107385.89,-56998.21,-207862.84
Write Off,76062974.95,47800298.98,28138951.32,19033594.4
Impairment Of Capital Assets,14779162.61,17861324.86,3770448.07,8262245.86
Net Non Operating Interest Income Expense,-142023.8,8403042.03,8816994.66,-8577180.63
Total Other Finance Cost,121847.48,87758.32,161951.06,201042.61
Interest Expense Non Operating,4862613.24,2832925.95,5787154.03,9712668.71
Interest Income Non Operating,4842436.92,11323726.3,14766099.75,1336530.69
Operating Income,6985781.08,34428825.94,61510769.21,93125500.21
Operating Expense,176820593.86,174142770.34,144802388.0,126123215.86
Other Operating Expenses,1447949.56,2017943.29,1406059.54,2527831.91
Depreciation And Amortization In Income Statement,11189953.33,13816259.07,10145290.54,9579028.82
Depreciation Income Statement,11189953.33,13816259.07,10145290.54,9579028.82
Research And Development,61338490.52,62451492.12,53315496.51,45664556.68
Selling General And Administration,43022148.32,44459787.35,44143223.42,41092408.37
Selling And Marketing Expense,15264270.8,16772826.01,17132451.01,16709873.9
General And Administrative Expense,27757877.52,27686961.34,27010772.41,24382534.47
Rent And Landing Fees,850009.51,1924370.79,1203489.13,
Gross Profit,183806374.94,208571596.28,206313157.21,219248716.07
Cost Of Revenue,336201465.27,337692684.98,292193035.87,251755065.99
Total Revenue,520007840.21,546264281.26,498506193.08,471003782.06
Operating Revenue,520007840.21,546264281.26,498506193.08,471003782.06
