,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,2869284202.39,5322665907.51,-805633640.33,518824553.75
Repayment Of Debt,-5000000000.0,-3630000000.0,-5000000000.0,-5470000000.0
Issuance Of Debt,4993500000.0,5498000000.0,5982488207.55,4984433962.26
Capital Expenditure,-79250209.75,-77566559.92,-130110989.86,-99165383.21
End Cash Position,22170440954.69,20092817425.16,13610569995.37,13943117935.58
Beginning Cash Position,20092817425.16,13610569995.37,13943117935.58,14646739987.44
Effect Of Exchange Rate Changes,-620955.36,456709.05,423850.49,2200878.91
Changes In Cash,2078244484.89,6481790720.74,-332971790.7,-705822930.77
Financing Cash Flow,-793158660.75,1207313118.49,472320699.88,-1226090416.62
Net Other Financing Charges,-43082633.35,-42106881.51,-46398007.67,-61629592.52
Cash Dividends Paid,-743576027.4,-618580000.0,-463769500.0,-678894786.36
Net Issuance Payments Of Debt,-6500000.0,1868000000.0,982488207.55,-485566037.74
Net Long Term Debt Issuance,-6500000.0,1868000000.0,982488207.55,-485566037.74
Long Term Debt Payments,-5000000000.0,-3630000000.0,-5000000000.0,-5470000000.0
Long Term Debt Issuance,4993500000.0,5498000000.0,5982488207.55,4984433962.26
Investing Cash Flow,-77131266.5,-125754865.18,-129769840.11,-97722451.11
Net Investment Purchase And Sale,1932156.68,-48313305.91,,
Sale Of Investment,1932156.68,,,
Purchase Of Investment,,-48313305.91,,
Net PPE Purchase And Sale,-79063423.18,-77441559.27,-129769840.11,-97722451.11
Sale Of PPE,186786.57,125000.65,341149.75,1442932.1
Purchase Of PPE,-79250209.75,-77566559.92,-130110989.86,-99165383.21
Operating Cash Flow,2948534412.14,5400232467.43,-675522650.47,617989936.96
Change In Working Capital,1650618099.19,4346996015.26,-1509711419.63,-617028638.01
Change In Other Current Assets,-6655098.89,10802728.18,33170475.08,-85951699.27
Change In Payable,1946101865.78,3272489848.84,1329207695.98,-936461526.81
Change In Inventory,-7752896.34,-22698627.74,-3351575.49,-2001172.92
Change In Receivables,-1939732987.31,-87832507.45,-422413042.62,1535423749.39
Other Non Cash Items,305620758.09,306679829.78,352545394.05,402958012.85
Provisionand Write Offof Assets,-959387.85,41413318.31,-21170662.83,75920006.68
Depreciation And Amortization,151285226.23,144785240.08,128530895.09,119764001.68
Amortization Cash Flow,52253601.29,49363912.92,39196876.62,34015047.59
Depreciation,99031624.94,95421327.16,89334018.47,85748954.09
Gain Loss On Investment Securities,94044246.43,-125820463.29,-231206511.45,336735498.94
Net Foreign Currency Exchange Gain Loss,620955.36,-456709.05,-423850.49,-2200878.91
Gain Loss On Sale Of PPE,44121.65,-55228.99,-88815.02,-911347.16
Net Income From Continuing Operations,747260393.04,686690465.33,606002319.81,302753280.89
Cash Flowsfromusedin Operating Activities Direct,2948534412.14,5400232467.43,-675522650.47,617989936.96
Taxes Refund Paid Direct,,,,-303252957.75
Classesof Cash Payments,-4947804621.69,-6374160583.56,-4401282833.59,-3387144444.69
Other Cash Paymentsfrom Operating Activities,-920642628.25,-846117617.33,-2373367420.51,-1713697125.83
Paymentson Behalfof Employees,-1048110182.43,-964651014.51,-870597785.0,-870466486.89
Classesof Cash Receiptsfrom Operating Activities,7896339033.83,11774393050.99,3725760183.12,4005134381.65
Other Cash Receiptsfrom Operating Activities,2449026246.37,3611740132.1,71930570.7,254622812.69
