,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1024980896.0,1001993713.0,1001709414.0,863419773.0
Share Issued,1024980896.0,1001993713.0,1001709414.0,863419773.0
Net Debt,,1619601371.51,608065517.11,1254004885.45
Total Debt,6083672319.37,5746829486.47,5891066125.2,5279218991.13
Tangible Book Value,7958603604.53,6902906876.05,6133538954.76,4625082692.47
Invested Capital,12664404487.94,14177073444.04,13343337973.63,11213488343.3
Working Capital,1879282063.23,4687685206.98,5262094768.2,3856058016.56
Net Tangible Assets,7958603604.53,6902906876.05,6133538954.76,4625082692.47
Capital Lease Obligations,11391488.3,16701073.52,25978858.15,34983225.06
Common Stock Equity,9458689738.39,8465428013.71,7754325454.91,6212420236.08
Total Capitalization,11694113924.4,13273347619.46,12588926638.34,10569010629.17
Total Equity Gross Minority Interest,10218024298.01,9294842331.64,8557893101.34,6841907047.99
Minority Interest,759334559.62,829414317.93,803567646.43,629486811.91
Stockholders Equity,9458689738.39,8465428013.71,7754325454.91,6212420236.08
Other Equity Interest,91698077.7,136962070.64,137529307.56,137594675.82
Retained Earnings,6327344780.21,5393115166.2,4540461777.69,3970478800.23
Additional Paid In Capital,2045228163.14,1893447634.8,1891542106.02,952116867.51
Capital Stock,1024980896.0,1001993713.0,1001709414.0,774483509.0
Common Stock,1024980896.0,1001993713.0,1001709414.0,774483509.0
Total Liabilities Net Minority Interest,14233308387.0,14464699687.16,13522111330.98,12501904125.91
Total Non Current Liabilities Net Minority Interest,2356957015.57,4962652114.72,4999121432.91,4581516088.56
Other Non Current Liabilities,46162256.62,56886723.11,12636761.13,10641722.14
Tradeand Other Payables Non Current,,53726619.29,90758577.1,109096724.09
Non Current Deferred Revenue,6544914.69,4326381.85,5666919.96,8233489.98
Non Current Deferred Taxes Liabilities,57434169.95,23091711.2,29479133.14,61970534.2
Long Term Debt And Capital Lease Obligation,2246815674.31,4824620679.27,4860580041.58,4391573618.15
Long Term Capital Lease Obligation,11391488.3,16701073.52,25978858.15,34983225.06
Long Term Debt,2235424186.01,4807919605.75,4834601183.43,4356590393.09
Current Liabilities,11876351371.43,9502047572.44,8522989898.07,7920388037.35
Other Current Liabilities,14774499.07,15859857.93,39822945.74,29278951.99
Current Debt And Capital Lease Obligation,3836856645.06,922208807.2,1030486083.62,887645372.98
Current Debt,970290563.54,903725824.58,754411335.29,644477714.13
Payables,6627678329.98,7068521563.27,6327110692.85,6410646737.31
Other Payable,258571985.07,251708981.17,192054289.44,209239233.58
Dividends Payable,2156520.0,2124810.0,2089380.0,967752.67
Total Tax Payable,283941389.36,188337537.47,258371714.61,83313465.38
Accounts Payable,6083008435.55,6626350234.63,5874595308.8,6117126285.68
Total Assets,24451332685.01,23759542018.8,22080004432.32,19343811173.9
Total Non Current Assets,10695699250.35,9569809239.38,8294919766.05,7567365119.99
Other Non Current Assets,100306401.75,133816274.14,179797014.62,184133814.91
Non Current Deferred Assets,9570139.09,9091539.95,12135400.77,11828028.89
Non Current Deferred Taxes Assets,382357024.21,247642128.18,152889110.34,120608822.18
Investmentin Financial Assets,375453034.27,334187673.22,368002003.04,277431856.3
Held To Maturity Securities,349906714.95,309067539.96,330000000.0,230000000.0
Available For Sale Securities,25546319.32,25120133.26,38002003.04,47431856.3
Long Term Equity Investment,1945459256.42,1705154073.65,1315589252.91,1102519064.11
Investment Properties,17221421.04,14633307.18,15340747.14,16048187.1
Goodwill And Other Intangible Assets,1500086133.86,1562521137.66,1620786500.15,1587337543.61
Other Intangible Assets,1485935962.41,1548370966.21,1606636328.7,1573187372.16
Goodwill,14150171.45,14150171.45,14150171.45,14150171.45
Net PPE,3356252101.58,2973106510.93,2849898078.83,2531750291.91
Accumulated Depreciation,-971054629.9,-783912674.2,-646097996.46,-499983924.2
Gross PPE,4327306731.48,3757019185.13,3495996075.29,3031734216.11
Construction In Progress,12763380.81,11685152.68,34920575.32,587258381.89
Other Properties,133317746.02,147803602.82,119054769.37,115620708.33
Machinery Furniture Equipment,3420215821.67,2989035272.44,2770870237.98,1811339147.63
Properties,761009782.98,608495157.19,571150492.62,517515978.26
Current Assets,13755633434.66,14189732779.42,13785084666.27,11776446053.91
Other Current Assets,529538282.41,1553409942.45,1244143218.98,910069134.0
Hedging Assets Current,,,69303456.26,
Prepaid Assets,1634841484.58,1867192835.9,1984024327.38,1145768911.62
Inventory,1564263208.2,1362933426.57,937553901.15,991326883.55
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,15201758.29,15310570.35,43500970.34,42589876.35
Finished Goods,1059545291.17,1057338289.49,657370547.95,679296158.73
Work In Process,15525053.18,14560691.53,15525224.19,20880623.35
Raw Materials,473991105.56,275723875.2,221157158.67,248560225.12
Other Receivables,1620069496.98,1657461133.42,937908392.79,838732129.63
Accounts Receivable,3806674574.84,3656230159.48,3631204368.1,3799013589.34
Allowance For Doubtful Accounts Receivable,-1159334543.91,-828317660.07,-581614993.88,-408926871.69
Gross Accounts Receivable,4966009118.75,4484547819.55,4212819361.98,4207940461.03
Cash Cash Equivalents And Short Term Investments,4600246387.65,4092505281.6,4980947001.61,4091535405.77
Other Short Term Investments,,461222.78,,344472184.0
Cash And Cash Equivalents,4600246387.65,4092044058.82,4980947001.61,3747063221.77
Cash Equivalents,1874787835.97,1436459281.74,346010476.44,379273966.22
Cash Financial,2581350400.76,2503131990.83,4634936525.17,3367789255.55
