,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,259655203.0,259655203.0,259655203.0,259655203.0
Share Issued,259655203.0,259655203.0,259655203.0,259655203.0
Net Debt,,,,27673609.04
Total Debt,203908558.92,266397705.34,78335096.77,165131120.2
Tangible Book Value,3183527105.96,3043979053.75,2998085470.82,571965311.58
Invested Capital,3407901156.77,3325452693.62,3146512683.87,781269138.45
Working Capital,1403817210.01,1463852217.88,1775653164.89,108201507.63
Net Tangible Assets,3183527105.96,3043979053.75,2998085470.82,571965311.58
Capital Lease Obligations,15978604.83,17459057.03,13661154.52,3862371.2
Common Stock Equity,3357863073.44,3220365686.71,3090512683.87,646269138.45
Total Capitalization,3357863073.44,3220365686.71,3090512683.87,661269138.45
Total Equity Gross Minority Interest,3422739298.95,3299367544.7,3211407521.94,720958108.55
Minority Interest,64876225.51,79001857.99,120894838.07,74688970.1
Stockholders Equity,3357863073.44,3220365686.71,3090512683.87,646269138.45
Retained Earnings,2338178958.96,2205018240.29,2082103724.44,-249174286.31
Additional Paid In Capital,506102227.57,506102227.57,506102227.57,506102227.57
Capital Stock,259655203.0,259655203.0,259655203.0,259655203.0
Common Stock,259655203.0,259655203.0,259655203.0,259655203.0
Total Liabilities Net Minority Interest,904469296.42,1094515960.53,649051612.93,637414586.53
Total Non Current Liabilities Net Minority Interest,366548014.14,451558361.14,38193312.98,81305659.65
Other Non Current Liabilities,5137493.79,3388145.08,983841.69,1269553.12
Tradeand Other Payables Non Current,266728000.0,400092000.0,,
Non Current Deferred Revenue,48803716.17,5303716.38,7473814.62,51182343.1
Non Current Deferred Taxes Liabilities,29900199.35,25315442.65,16074502.15,9991392.23
Long Term Debt And Capital Lease Obligation,15978604.83,17459057.03,13661154.52,18862371.2
Long Term Capital Lease Obligation,15978604.83,17459057.03,13661154.52,3862371.2
Long Term Debt,,,,15000000.0
Current Liabilities,537921282.28,642957599.39,610858299.95,556108926.88
Other Current Liabilities,679963.61,1714979.9,3937571.38,16226342.62
Current Debt And Capital Lease Obligation,187929954.09,248938648.31,64673942.25,146268749.0
Current Debt,50038083.33,105087006.91,56000000.0,120000000.0
Payables,333389406.2,379111818.08,515720222.6,273149951.73
Other Payable,274627590.92,220662954.96,156837332.08,148178230.29
Dividends Payable,,,0.0,0.0
Total Tax Payable,14210724.76,63441719.28,248548418.63,31306379.67
Accounts Payable,44551090.52,95007143.84,110334471.89,93665341.77
Total Assets,4327208595.37,4393883505.23,3860459134.87,1358372695.08
Total Non Current Assets,2385470103.08,2287073687.96,1473947670.03,694062260.57
Other Non Current Assets,10423378.65,11228507.16,9245329.28,13470927.15
Non Current Deferred Assets,163611305.38,145535093.2,119146622.56,110719583.08
Non Current Deferred Taxes Assets,37881068.95,41668244.62,4333687.25,7632416.12
Investmentin Financial Assets,19550000.0,19550000.0,19550000.0,19550000.0
Available For Sale Securities,19550000.0,19550000.0,19550000.0,19550000.0
Long Term Equity Investment,684521423.7,711490493.57,741473681.99,26474892.06
Goodwill And Other Intangible Assets,174335967.48,176386632.96,92427213.05,74303826.87
Other Intangible Assets,167232004.53,169282670.01,85323250.1,67199863.92
Goodwill,7103962.95,7103962.95,7103962.95,7103962.95
Net PPE,1295146958.92,1181214716.45,487771135.9,441910615.29
Accumulated Depreciation,-268418680.89,-231487668.74,-189663236.24,-161806938.3
Gross PPE,1563565639.81,1412702385.19,677434372.14,603717553.59
Construction In Progress,270656099.82,140979785.07,89872380.13,32167254.21
Other Properties,35092915.87,45575720.92,39370259.24,27376768.06
Machinery Furniture Equipment,81730174.72,78321281.73,77807115.04,81019431.33
Properties,1176086449.4,1147825597.47,470384617.73,463154099.99
Current Assets,1941738492.29,2106809817.27,2386511464.84,664310434.51
Other Current Assets,40438754.95,30268617.98,10292515.49,5757059.35
Prepaid Assets,1965396.71,22649946.49,38161246.98,40343872.68
Inventory,70735088.78,113380310.09,141732060.48,148054825.39
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,25802823.61,44013346.39,31944562.37,12835325.47
Finished Goods,24476789.33,23689475.42,36655599.72,49558978.47
Work In Process,9612820.57,27606889.47,24771375.8,51654189.43
Raw Materials,10842655.27,18070598.81,48360522.59,34006332.02
Other Receivables,72361778.15,189450651.06,188615106.29,27107104.28
Accounts Receivable,97733672.4,227000165.63,259237541.69,335721181.85
Allowance For Doubtful Accounts Receivable,-51735221.94,-44440390.58,-22715415.82,-16440297.34
Gross Accounts Receivable,149468894.34,271440556.21,281952957.51,352161479.19
Cash Cash Equivalents And Short Term Investments,1658503801.3,1524060126.02,1748472993.91,107326390.96
Other Short Term Investments,418164897.67,401818846.0,1050487058.07,
Cash And Cash Equivalents,1240338903.63,1122241280.02,697985935.84,107326390.96
Cash Equivalents,6679267.51,11247685.99,0.0,10.0
Cash Financial,1233659636.12,1110993594.03,697985935.84,107326380.96
