,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,1072404541.87,1394807609.36,2270404460.49,1880076396.67
Repayment Of Debt,-608637229.0,-20000000.0,,
Issuance Of Debt,779068352.08,,400000000.0,
Capital Expenditure,-562898654.23,-578258744.22,-476031559.85,-523705271.53
End Cash Position,1541313438.74,2262292676.51,5207122278.13,4581101152.96
Beginning Cash Position,2262292676.51,5207122278.13,4581101152.96,4275641004.13
Effect Of Exchange Rate Changes,-204641.33,172743.18,110660.12,607872.95
Changes In Cash,-720774596.44,-2945002344.8,625910465.05,304852275.88
Financing Cash Flow,-1657760282.56,-2041042550.47,-1442637590.48,-1975318885.9
Net Other Financing Charges,-1751018376.42,-1825595480.59,-1784028502.54,-1788184038.81
Cash Dividends Paid,-77173029.22,-195063306.66,-58442387.5,-187015640.01
Net Issuance Payments Of Debt,170431123.08,-20000000.0,400000000.0,
Net Long Term Debt Issuance,170431123.08,-20000000.0,400000000.0,
Long Term Debt Payments,-608637229.0,-20000000.0,,
Long Term Debt Issuance,779068352.08,,400000000.0,
Investing Cash Flow,-698317509.98,-2877026147.91,-677887964.81,-123610506.42
Net Other Investing Changes,-162000000.0,-2392994429.23,-307005570.77,
Net Investment Purchase And Sale,24954444.43,92993009.55,103894272.44,116477486.83
Sale Of Investment,24954444.43,96361409.55,103894272.44,116477486.83
Purchase Of Investment,,-3368400.0,,
Net Business Purchase And Sale,,,,283100370.1
Sale Of Business,,,,283100370.1
Net PPE Purchase And Sale,-561271954.41,-577024728.23,-474776666.48,-523188363.35
Sale Of PPE,1626699.82,1234015.99,1254893.37,516908.18
Purchase Of PPE,-562898654.23,-578258744.22,-476031559.85,-523705271.53
Operating Cash Flow,1635303196.1,1973066353.58,2746436020.34,2403781668.2
Change In Working Capital,-465596356.31,-217574282.69,468727186.66,48242849.24
Change In Other Current Assets,7499806.33,-24883729.29,5947545.25,-55517955.55
Change In Payable,-517132689.03,-199733119.08,449247319.5,243875086.88
Change In Inventory,100384129.13,-59594385.91,173333359.41,-126109872.95
Change In Receivables,-56347602.74,66636951.59,-159801037.5,-14004409.14
Other Non Cash Items,599771720.47,595163935.28,731038454.23,811676148.94
Depreciation And Amortization,1528124813.64,1551638699.62,1581764193.14,1761071075.43
Amortization Cash Flow,36005401.64,35262355.72,34290992.69,34156740.65
Depreciation,1492119412.0,1516376343.9,1547473200.45,1726914334.78
Gain Loss On Investment Securities,,-25246859.59,-60987900.77,-365550976.32
Gain Loss On Sale Of PPE,-119075039.29,-25322897.5,-219333100.3,4675293.34
Net Income From Continuing Operations,83637272.44,77301051.93,226801122.29,119517217.3
Cash Flowsfromusedin Operating Activities Direct,1635303196.1,1973066353.58,2746436020.34,2403781668.2
Taxes Refund Paid Direct,-331987089.46,-380476430.83,-494613116.96,-480006961.36
Classesof Cash Payments,-16748746460.91,-16994537178.79,-16911195575.2,-17078242792.45
Other Cash Paymentsfrom Operating Activities,-1948447514.42,-1859726144.76,-1664056454.82,-1498570593.38
Paymentson Behalfof Employees,-1702066200.57,-1812822757.4,-1900255654.93,-1911393933.3
Paymentsto Suppliersfor Goodsand Services,-13098232745.92,-13321988276.63,-13346883465.45,-13668278265.77
Classesof Cash Receiptsfrom Operating Activities,18716036746.47,19348079963.2,20152244712.5,19962031422.01
Other Cash Receiptsfrom Operating Activities,3044476038.33,2708363761.91,2803505264.4,2108094719.57
Receiptsfrom Customers,15671560708.14,16639716201.29,17348739448.1,17853936702.44
