,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-34923677.23,-66079739.73,48745389.39,38870289.85
Repayment Of Debt,-59888000.0,-20000000.0,0.0,-4000000.0
Issuance Of Debt,10070000.0,69818000.0,0.0,
Capital Expenditure,-57303540.43,-108694490.08,-3353172.49,-24325463.54
End Cash Position,249407232.57,550193198.0,92745756.87,111164153.07
Beginning Cash Position,550193198.0,92745756.87,111164153.07,116122326.15
Changes In Cash,-300785965.43,457447441.13,-18418396.2,-4958173.08
Financing Cash Flow,-119347103.28,504416953.76,-36184062.31,15722549.94
Net Other Financing Charges,-13360234.26,455383433.27,-6184062.31,43431887.72
Cash Dividends Paid,-56168869.02,-784479.51,-30000000.0,-23709337.78
Net Issuance Payments Of Debt,-49818000.0,49818000.0,0.0,-4000000.0
Net Long Term Debt Issuance,-49818000.0,49818000.0,0.0,-4000000.0
Long Term Debt Payments,-59888000.0,-20000000.0,0.0,-4000000.0
Long Term Debt Issuance,10070000.0,69818000.0,0.0,
Investing Cash Flow,-203818725.35,-89584262.98,-34332895.77,-83876476.41
Net Other Investing Changes,64482241.67,-64455616.67,,
Net Investment Purchase And Sale,-210999748.04,83565643.77,-30979723.28,-59551232.87
Sale Of Investment,1300050251.96,512565643.77,249020276.72,60448767.13
Purchase Of Investment,-1511050000.0,-429000000.0,-280000000.0,-120000000.0
Net PPE Purchase And Sale,-57301218.98,-108694290.08,-3353172.49,-24325243.54
Sale Of PPE,2321.45,200.0,0.0,220.0
Purchase Of PPE,-57303540.43,-108694490.08,-3353172.49,-24325463.54
Operating Cash Flow,22379863.2,42614750.35,52098561.88,63195753.39
Change In Working Capital,-76367370.93,-81102882.86,-57382470.31,-27781237.69
Change In Other Current Assets,-3763123.38,-2322218.58,-965030.93,223072.02
Change In Payable,-52735781.8,91815689.74,7441963.77,71657616.79
Change In Inventory,-47949101.43,-5563558.33,14849594.56,6495808.14
Change In Receivables,28080635.68,-165032795.69,-78708997.71,-106157734.64
Other Non Cash Items,1026034.01,2209121.03,2525642.79,2328029.95
Depreciation And Amortization,11670501.26,9437287.94,9337853.21,8370769.88
Amortization Cash Flow,1132233.38,1011573.96,959907.99,383108.32
Depreciation,10538267.88,8425713.98,8377945.22,7987661.56
Gain Loss On Investment Securities,-3551307.27,-683570.63,178685.42,-321053.87
Gain Loss On Sale Of PPE,-987962.05,2191.84,3999.2,4907.79
Net Income From Continuing Operations,72489034.77,94698734.04,87540486.46,76534903.04
Cash Flowsfromusedin Operating Activities Direct,22379863.2,42614750.35,52098561.88,63195753.39
Taxes Refund Paid Direct,-41176713.38,-37863003.54,-38566756.44,-26707409.94
Classesof Cash Payments,-505493334.89,-440051954.93,-346887118.63,-350530003.96
Other Cash Paymentsfrom Operating Activities,-43494511.24,-41346251.8,-67874230.1,-56958300.73
Paymentson Behalfof Employees,-145010280.29,-118280134.45,-115826827.8,-91867997.81
Paymentsto Suppliersfor Goodsand Services,-316988543.36,-280425568.68,-163186060.73,-201703705.42
Classesof Cash Receiptsfrom Operating Activities,569049911.47,520529708.82,437552436.95,440433167.29
Other Cash Receiptsfrom Operating Activities,9164467.09,16785460.74,22646123.92,20069570.81
Receiptsfrom Customers,559885444.38,503744248.08,414906313.03,420363596.48
