,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-15538439.209461,-17592204.537246,-1017066.511421,-87557989.995
Tax Rate For Calcs,0.107945,0.113851,0.005003,0.25
Normalized EBITDA,2013566312.09,2432978383.82,1909548911.5,1862748062.78
Total Unusual Items,-143947241.49,-154519909.33,-203299847.89,-350231959.98
Total Unusual Items Excluding Goodwill,-143947241.49,-154519909.33,-203299847.89,-350231959.98
Net Income From Continuing Operation Net Minority Interest,597666576.59,771529452.81,85702841.12,42378101.3
Reconciled Depreciation,953371125.05,1094732753.26,1265094428.58,1191584930.68
Reconciled Cost Of Revenue,15251673632.05,13796568429.29,11009150463.31,12562184617.78
EBITDA,1869619070.6,2278458474.49,1706249063.61,1512516102.8
EBIT,916247945.55,1183725721.23,441154635.03,320931172.12
Net Interest Income,-142446862.59,-209196120.98,-256764848.13,-317786827.65
Interest Expense,165704944.85,235535530.98,289237992.29,301685928.37
Interest Income,32402079.65,38500091.3,41248056.24,17540481.38
Normalized Income,726075378.870539,908457157.602754,287985622.498579,305052071.285
Net Income From Continuing And Discontinued Operation,597666576.59,771529452.81,85702841.12,42378101.3
Total Expenses,17708186329.34,15917763418.6,13112793152.49,14676113182.65
Total Operating Income As Reported,751265693.85,947430108.5,160248261.22,21272653.41
Diluted Average Shares,,1285882421.0,1224326302.0,1059452532.0
Basic Average Shares,,1285882421.0,1224326302.0,1059452532.0
Diluted EPS,,0.6,0.07,0.04
Basic EPS,,0.6,0.07,0.04
Net Income Common Stockholders,597666576.59,771529452.81,85702841.12,42378101.3
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,597666576.59,771529452.81,85702841.12,42378101.3
Minority Interests,-71858777.16,-68708591.73,-65453794.51,-25956311.26
Net Income Including Noncontrolling Interests,669525353.75,840238044.54,151156635.63,68334412.56
Net Income Continuous Operations,669525353.75,840238044.54,151156635.63,68334412.56
Tax Provision,81017646.95,107952145.71,760007.11,-49089168.81
Pretax Income,750543000.7,948190190.25,151916642.74,19245243.75
Other Non Operating Income Expenses,-722693.15,760081.75,-8331618.48,-2027409.66
Special Income Charges,-144035407.52,-154519909.33,-203299847.89,-346047885.76
Other Special Charges,5995849.88,-7510845.32,-14963485.04,-5362108.04
Write Off,-76770790.13,28592922.57,3811558.72,43222584.06
Impairment Of Capital Assets,214810347.77,133437832.08,214451774.21,308187409.74
Net Non Operating Interest Income Expense,-142446862.59,-209196120.98,-256764848.13,-317786827.65
Total Other Finance Cost,9143997.39,12160681.3,8774912.08,33641380.66
Interest Expense Non Operating,165704944.85,235535530.98,289237992.29,301685928.37
Interest Income Non Operating,32402079.65,38500091.3,41248056.24,17540481.38
Operating Income,1110507196.33,1016389696.69,609662041.63,526822335.7
Operating Expense,2456512697.29,2121194989.31,2103642689.18,2113928564.87
Other Operating Expenses,120823985.24,116646045.03,136084383.32,154352063.48
Depreciation And Amortization In Income Statement,50318003.84,49492175.96,57990104.62,50140189.39
Depreciation Income Statement,50318003.84,49492175.96,57990104.62,50140189.39
Research And Development,1393677376.67,1224278515.56,1238548702.02,1215590338.06
Selling General And Administration,449169826.72,408805766.91,345060988.53,386899154.87
Selling And Marketing Expense,74596549.2,72736244.64,66858126.89,86242798.35
General And Administrative Expense,374573277.52,336069522.27,278202861.64,300656356.52
Gross Profit,3567019893.62,3137584686.0,2713304730.81,2640750900.57
Cost Of Revenue,15251673632.05,13796568429.29,11009150463.31,12562184617.78
Total Revenue,18818693525.67,16934153115.29,13722455194.12,15202935518.35
Operating Revenue,18818693525.67,16934153115.29,13722455194.12,15202935518.35
