,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-16810342.684793,-9345059.550375,-6581846.1825,-188167.297364
Tax Rate For Calcs,0.178438,0.194622,0.25,0.015029
Normalized EBITDA,139522622.41,89057664.81,72270249.24,207988092.46
Total Unusual Items,-94208571.48,-48016344.6,-26327384.73,-12520533.21
Total Unusual Items Excluding Goodwill,-94208571.48,-48016344.6,-26327384.73,-12520533.21
Net Income From Continuing Operation Net Minority Interest,-66850002.93,-60393801.75,2142439.37,137525574.76
Reconciled Depreciation,126503036.28,122408423.9,60365555.89,53445728.54
Reconciled Cost Of Revenue,1900894092.33,1510316962.87,1245913725.7,1224758889.43
EBITDA,45314050.93,41041320.21,45942864.51,195467559.25
EBIT,-81188985.35,-81367103.69,-14422691.38,142021830.71
Net Interest Income,8261842.69,19959824.89,32451903.68,40377630.12
Interest Expense,1784609.85,54848.93,1427156.89,2009896.99
Interest Income,10764199.69,20715442.71,34538797.75,42786719.84
Normalized Income,10548225.865207,-21722516.700375,21887977.9175,149857940.672636
Net Income From Continuing And Discontinued Operation,-66850002.93,-60393801.75,2142439.37,137525574.76
Total Expenses,2254371591.91,1761704064.17,1489809506.76,1450540434.93
Total Operating Income As Reported,-77223323.02,-80518002.23,-16465668.16,140466695.89
Diluted Average Shares,230517251.0,232283853.0,238048819.0,229209291.0
Basic Average Shares,230517251.0,232283853.0,238048819.0,229209291.0
Diluted EPS,-0.29,-0.26,0.009,0.6
Basic EPS,-0.29,-0.26,0.009,0.6
Net Income Common Stockholders,-66850002.93,-60393801.75,2142439.37,137525574.76
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-66850002.93,-60393801.75,2142439.37,137525574.76
Minority Interests,1317990.75,5181609.4,511893.54,-382162.06
Net Income Including Noncontrolling Interests,-68167993.68,-65575411.15,1630545.83,137907736.82
Net Income Continuous Operations,-68167993.68,-65575411.15,1630545.83,137907736.82
Tax Provision,-14805601.52,-15846541.47,-17480394.1,2104196.9
Pretax Income,-82973595.2,-81421952.62,-15849848.27,140011933.72
Other Non Operating Income Expenses,-5750272.18,-903950.39,120384.98,-654361.18
Special Income Charges,-96521812.22,-47975039.69,-26744148.19,-13445077.27
Other Special Charges,-345652.21,-352170.17,-25916.12,1087651.56
Write Off,27309512.65,12736197.01,12458690.22,173896.53
Impairment Of Capital Assets,69557951.78,35591012.85,14311374.09,12183529.18
Net Non Operating Interest Income Expense,8261842.69,19959824.89,32451903.68,40377630.12
Total Other Finance Cost,717747.15,700768.89,659737.18,399192.73
Interest Expense Non Operating,1784609.85,54848.93,1427156.89,2009896.99
Interest Income Non Operating,10764199.69,20715442.71,34538797.75,42786719.84
Operating Income,12400835.35,-54635212.24,-19964048.7,112887970.49
Operating Expense,353477499.58,251387101.3,243895781.06,225781545.5
Other Operating Expenses,24734997.64,10742198.51,17786042.5,14733543.72
Depreciation And Amortization In Income Statement,18451669.29,20970872.55,7815987.24,8402536.78
Depreciation Income Statement,18451669.29,20970872.55,7815987.24,8402536.78
Research And Development,156178271.19,119893346.82,104434591.49,106997054.24
Selling General And Administration,72707903.59,32792414.03,61690569.38,47271329.8
Selling And Marketing Expense,27466061.38,18461505.34,28878395.6,9347029.12
General And Administrative Expense,45241842.21,14330908.69,32812173.78,37924300.68
Gross Profit,365878334.93,196751889.06,223931732.36,338669515.99
Cost Of Revenue,1900894092.33,1510316962.87,1245913725.7,1224758889.43
Total Revenue,2266772427.26,1707068851.93,1469845458.06,1563428405.42
Operating Revenue,2266772427.26,1707068851.93,1469845458.06,1563428405.42
