,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-2455046826.398533,-503231129.779675,1295496332.312865,-423496559.865603
Tax Rate For Calcs,0.316654,0.384675,0.35413,0.266487
Normalized EBITDA,45545202309.99,30476640530.8,13694079245.62,18687143545.05
Total Unusual Items,-7753097735.04,-1308197392.58,3658247117.62,-1589181011.4
Total Unusual Items Excluding Goodwill,-7753097735.04,-1308197392.58,3658247117.62,-1589181011.4
Net Income From Continuing Operation Net Minority Interest,20338750797.53,13532035002.94,8249711872.51,6066946564.19
Reconciled Depreciation,,6101101483.67,2813382624.08,4486280835.59
Reconciled Cost Of Revenue,157396478822.32,177961758293.68,168437029901.39,157126679130.5
EBITDA,37792104574.95,29168443138.22,17352326363.24,17097962533.65
EBIT,37792104574.95,29168443138.22,17352326363.24,12611681698.06
Net Interest Income,-1426544405.24,-2714907614.53,-2780033629.93,-1680441277.72
Interest Expense,2630714020.64,4044405907.47,4144363069.98,2807214992.27
Interest Income,1644470637.14,1649638853.86,1643253592.1,1189038307.66
Normalized Income,25636801706.171467,14337001265.740326,5886961087.202865,7232631015.724397
Net Income From Continuing And Discontinued Operation,20338750797.53,13532035002.94,8249711872.51,6066946564.19
Total Expenses,163607065656.69,184150277647.76,173711151560.7,160044551695.64
Rent Expense Supplemental,22387215.85,21184223.55,17076601.08,14156871.52
Total Operating Income As Reported,35327690062.72,25266034420.32,13287978156.38,9889056473.98
Diluted Average Shares,21409211366.0,21386646265.0,21365377868.0,21667666301.0
Basic Average Shares,21409211366.0,21386646265.0,21365377868.0,21667666301.0
Diluted EPS,0.95,0.63,0.38,0.28
Basic EPS,0.95,0.63,0.38,0.28
Diluted NI Availto Com Stockholders,20338750797.53,13532035002.94,8249711872.51,6066946564.19
Net Income Common Stockholders,20338750797.53,13532035002.94,8249711872.51,6066946564.19
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,20338750797.53,13532035002.94,8249711872.51,6066946564.19
Minority Interests,-3688656510.06,-1927407487.01,-280910756.33,-1124754263.18
Net Income Including Noncontrolling Interests,24027407307.59,15459442489.95,8530622628.84,7191700827.37
Net Income Discontinuous Operations,,,,0.0
Net Income Continuous Operations,24027407307.59,15459442489.95,8530622628.84,7191700827.37
Tax Provision,11133983246.72,9664594740.8,4677340664.42,2612765878.42
Pretax Income,35161390554.31,25124037230.75,13207963293.26,9804466705.79
Other Non Operating Income Expenses,-139540120.74,-151575306.35,-60221302.17,-50951276.86
Special Income Charges,-87131406.43,-141757878.3,1982131746.0,5937237.6
Other Special Charges,45175981.64,-76053126.91,-2103761570.54,-47501455.43
Write Off,38987606.51,216867784.61,120939963.06,-13590401.24
Impairment Of Capital Assets,2967818.28,943220.6,689861.48,55154619.07
Net Non Operating Interest Income Expense,-1426544405.24,-2714907614.53,-2780033629.93,-1680441277.72
Total Other Finance Cost,440301021.74,320140560.92,278924152.05,62264593.11
Interest Expense Non Operating,2630714020.64,4044405907.47,4144363069.98,2807214992.27
Interest Income Non Operating,1644470637.14,1649638853.86,1643253592.1,1189038307.66
Operating Income,42835943501.94,28696135742.64,12269509797.97,12638255663.36
Operating Expense,6210586834.37,6188519354.08,5274121659.31,2917872565.14
Other Operating Expenses,3329929998.07,4026511638.41,3019236628.31,1178395197.47
Depreciation And Amortization In Income Statement,,,278832114.45,200430998.83
Depreciation Income Statement,,,278832114.45,200430998.83
Research And Development,431679424.54,353973998.59,327085170.7,388609726.55
Selling General And Administration,854183824.18,774154655.95,858222135.04,740249453.11
Selling And Marketing Expense,34120490.55,22310699.66,25052591.11,19695472.05
General And Administrative Expense,820063333.63,751843956.29,833169543.93,720553981.06
Rent And Landing Fees,22387215.85,21184223.55,17076601.08,14156871.52
Gross Profit,49046530336.31,34884655096.72,17543631457.28,15556128228.5
Cost Of Revenue,157396478822.32,177961758293.68,168437029901.39,157126679130.5
Total Revenue,206443009158.63,212846413390.4,185980661358.67,172682807359.0
Operating Revenue,206443009158.63,212846413390.4,185980661358.67,172682807359.0
