,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-3716582.78743,-8612250.3675,-2684191.225677,-3212004.179621
Tax Rate For Calcs,0.071713,0.25,0.087142,0.12601
Normalized EBITDA,221422007.03,116025583.46,195657003.74,174971658.64
Total Unusual Items,-51825472.03,-34449001.47,-30802448.67,-25490026.03
Total Unusual Items Excluding Goodwill,-51825472.03,-34449001.47,-30802448.67,-25490026.03
Net Income From Continuing Operation Net Minority Interest,92952620.78,26482682.91,113211923.13,105898620.23
Reconciled Depreciation,63367963.57,55650807.07,37947062.82,26863750.26
Reconciled Cost Of Revenue,620599276.27,453242246.49,563595901.58,441228212.2
EBITDA,169596535.0,81576581.99,164854555.07,149481632.61
EBIT,106228571.43,25925774.92,126907492.25,122617882.35
Net Interest Income,-312669.92,4880958.51,-1596227.41,-453912.54
Interest Expense,6095030.12,3255487.12,2888268.87,1450994.0
Interest Income,6274520.61,8506273.16,1731051.08,1374218.75
Normalized Income,141061510.02257,52319434.0125,141330180.574323,128176642.080379
Net Income From Continuing And Discontinued Operation,92952620.78,26482682.91,113211923.13,105898620.23
Total Expenses,759209160.36,558522701.19,681779175.22,549369412.43
Rent Expense Supplemental,1225580.58,945903.41,755686.58,390348.35
Total Operating Income As Reported,94068898.48,22765669.52,124060096.4,121255557.41
Diluted Average Shares,129749610.0,129689926.0,105372229.0,97308447.0
Basic Average Shares,129749610.0,129689926.0,105372229.0,97308447.0
Diluted EPS,0.7164,0.2042,1.0744,1.088278
Basic EPS,0.7164,0.2042,1.0744,1.088278
Net Income Common Stockholders,92952620.78,26482682.91,113211923.13,105898620.23
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,92952620.78,26482682.91,113211923.13,105898620.23
Net Income Including Noncontrolling Interests,92952620.78,26482682.91,113211923.13,105898620.23
Net Income Continuous Operations,92952620.78,26482682.91,113211923.13,105898620.23
Tax Provision,7180920.53,-3812395.11,10807300.25,15268268.12
Pretax Income,100133541.31,22670287.8,124019223.38,121166888.35
Other Non Operating Income Expenses,6064642.83,-95381.72,-40873.02,-88669.06
Special Income Charges,-58231964.48,-41720705.68,-31691990.61,-25490026.03
Other Special Charges,-3644633.83,-9524.55,7143.7,-309.79
Write Off,-6369173.63,-556615.63,-41123.46,2323780.52
Impairment Of Capital Assets,68245771.94,42286845.86,31725970.37,23166555.3
Net Non Operating Interest Income Expense,-312669.92,4880958.51,-1596227.41,-453912.54
Total Other Finance Cost,492160.41,369827.53,439009.62,377137.29
Interest Expense Non Operating,6095030.12,3255487.12,2888268.87,1450994.0
Interest Income Non Operating,6274520.61,8506273.16,1731051.08,1374218.75
Operating Income,131843572.33,47201804.5,142928172.31,149042191.62
Operating Expense,138609884.09,105280454.7,118183273.64,108141200.23
Other Operating Expenses,7025571.98,1598535.21,1096154.77,983559.63
Depreciation And Amortization In Income Statement,12288926.52,6250231.51,4458145.42,4481114.46
Amortization,3008088.09,3096347.89,2765843.44,2721263.79
Depreciation Income Statement,9280838.43,3153883.62,1692301.98,1759850.67
Research And Development,58367031.45,57306163.74,66112744.71,47610693.3
Selling General And Administration,55307940.23,40183230.36,45297292.48,49925158.01
Selling And Marketing Expense,11599798.49,10061971.62,8768902.47,7545919.37
General And Administrative Expense,43708141.74,30121258.74,36528390.01,42379238.64
Rent And Landing Fees,1225580.58,945903.41,755686.58,390348.35
Gross Profit,270453456.42,152482259.2,261111445.95,257183391.85
Cost Of Revenue,620599276.27,453242246.49,563595901.58,441228212.2
Total Revenue,891052732.69,605724505.69,824707347.53,698411604.05
Operating Revenue,891052732.69,605724505.69,824707347.53,698411604.05
