,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-16205383.574604,-4461396.32692,-15811951.065202,-31195761.583904
Tax Rate For Calcs,0.167717,0.038845,0.117507,0.146419
Normalized EBITDA,1013132045.51,924325820.53,1086068997.46,886221766.53
Total Unusual Items,-96623221.32,-114851370.99,-134562215.71,-213057867.51
Total Unusual Items Excluding Goodwill,-96623221.32,-114851370.99,-134562215.71,-213057867.51
Net Income From Continuing Operation Net Minority Interest,237046313.31,236625838.66,400591235.2,336754184.23
Reconciled Depreciation,28172928.88,28681629.51,28139938.38,19739220.2
Reconciled Cost Of Revenue,47167850461.93,33100903709.56,41720476443.2,37036854695.97
EBITDA,916508824.19,809474449.54,951506781.75,673163899.02
EBIT,888335895.31,780792820.03,923366843.37,653424678.82
Net Interest Income,-583639180.99,-499369042.32,-494657189.44,-244246874.34
Interest Expense,603521244.28,534603779.18,469435693.29,258905281.82
Interest Income,45818817.22,60596865.56,32899333.8,45617512.42
Normalized Income,317464151.055396,347015813.32308,519341499.844798,518616290.156096
Net Income From Continuing And Discontinued Operation,237046313.31,236625838.66,400591235.2,336754184.23
Total Expenses,47678073832.9,33584021927.29,42265298701.97,37526513645.85
Rent Expense Supplemental,17176774.55,14301635.44,13186776.55,12411408.37
Total Operating Income As Reported,284174760.83,244488565.52,441917380.44,391263961.05
Diluted Average Shares,760007417.0,712299334.0,569912129.0,569900464.0
Basic Average Shares,760007417.0,712299334.0,569912129.0,569900464.0
Diluted EPS,0.3119,0.3322,0.7029,0.5909
Basic EPS,0.3119,0.3322,0.7029,0.5909
Net Income Common Stockholders,237046313.31,236625838.66,400591235.2,336754184.23
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,237046313.31,236625838.66,400591235.2,336754184.23
Minority Interests,,0.0,0.0,
Net Income Including Noncontrolling Interests,237046313.31,236625838.66,400591235.2,336754184.23
Net Income Continuous Operations,237046313.31,236625838.66,400591235.2,336754184.23
Tax Provision,47768337.72,9563202.19,53339914.88,57765212.77
Pretax Income,284814651.03,246189040.85,453931150.08,394519397.0
Other Non Operating Income Expenses,639890.2,2427975.33,12013769.64,3255435.95
Special Income Charges,-110266978.12,-115563811.55,-144723302.97,-222360084.54
Other Special Charges,-161547.91,-75903.43,-160458.83,-115594.09
Write Off,-5710167.2,84677021.31,59149818.1,15868105.65
Impairment Of Capital Assets,116138693.23,30962693.67,85733943.7,206607572.98
Net Non Operating Interest Income Expense,-583639180.99,-499369042.32,-494657189.44,-244246874.34
Total Other Finance Cost,25936753.93,25362128.7,58120829.95,30959104.94
Interest Expense Non Operating,603521244.28,534603779.18,469435693.29,258905281.82
Interest Income Non Operating,45818817.22,60596865.56,32899333.8,45617512.42
Operating Income,960831771.67,919683057.69,1037693735.95,864489567.57
Operating Expense,510223370.97,483118217.73,544822258.77,489658949.88
Other Operating Expenses,36791867.39,32264189.43,27784614.97,24854910.52
Depreciation And Amortization In Income Statement,9303056.82,8986425.13,8655119.34,7824751.47
Amortization,2725216.89,2510022.03,2350578.96,2163089.42
Depreciation Income Statement,6577839.93,6476403.1,6304540.38,5661662.05
Research And Development,79354323.82,87548508.11,97698943.85,70653772.94
Selling General And Administration,61083255.29,74528952.78,76118157.81,72067796.38
Selling And Marketing Expense,36932643.42,47508513.46,41169204.73,42635143.31
General And Administrative Expense,24150611.87,27020439.32,34948953.08,29432653.07
Rent And Landing Fees,17176774.55,14301635.44,13186776.55,12411408.37
Gross Profit,1471055142.64,1402801275.42,1582515994.72,1354148517.45
Cost Of Revenue,47167850461.93,33100903709.56,41720476443.2,37036854695.97
Total Revenue,48638905604.57,34503704984.98,43302992437.92,38391003213.42
Operating Revenue,48638905604.57,34503704984.98,43302992437.92,38391003213.42
