,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,9027302281.0,9074663335.0,9075589027.0,9076650000.0
Share Issued,9027302281.0,9074663335.0,9075589027.0,9076650000.0
Total Debt,178803011223.54,238421819908.25,201390577668.95,211401467686.24
Tangible Book Value,189586660839.06,168173775590.29,154303066535.78,138795706958.49
Invested Capital,369462298645.26,416062026174.53,364967093873.29,358593721868.97
Net Tangible Assets,189586660839.06,168173775590.29,154303066535.78,138795706958.49
Common Stock Equity,191673901895.57,179108366855.48,165095101823.43,148422809917.17
Total Capitalization,369462298645.26,416062026174.53,364967093873.29,358593721868.97
Total Equity Gross Minority Interest,191893920715.03,182217431968.81,167856609992.97,152035783951.67
Minority Interest,220018819.46,3109065113.33,2761508169.54,3612974034.5
Stockholders Equity,191673901895.57,179108366855.48,165095101823.43,148422809917.17
Other Equity Interest,28300000000.0,25700000000.0,19200000000.0,9996424528.28
Treasury Stock,100544846.38,1064172886.7,1202324401.85,1231547029.1
Retained Earnings,48694124013.85,42430730519.76,37929085711.28,35559778869.62
Additional Paid In Capital,68747525667.17,69445455567.11,69334231536.29,69524876573.74
Capital Stock,9027302281.0,9074663335.0,9075589027.0,9076650000.0
Common Stock,9027302281.0,9074663335.0,9075589027.0,9076650000.0
Preferred Stock,,,,0.0
Total Liabilities Net Minority Interest,622376572865.76,723290956625.83,678714379592.03,654615048739.17
Derivative Product Liabilities,10943785469.29,16881641313.58,9638125064.39,10643222088.77
Long Term Debt And Capital Lease Obligation,178803011223.54,238421819908.25,201390577668.95,211401467686.24
Payables,83526554608.61,121532051197.26,118189724801.54,118487669828.75
Other Payable,10705934525.9,10583219102.35,11892625022.61,12814936611.77
Total Tax Payable,524924504.99,661931229.32,999459547.41,2035820163.42
Accounts Payable,72295695577.72,110286900865.59,105297640231.52,103636913053.56
Total Assets,814270493580.79,905508388594.64,846570989585.0,806650832690.84
Investments And Advances,392030045625.41,516638015072.44,445874008355.97,432424854402.89
Investmentin Financial Assets,369792786938.73,496223196431.66,426632845626.71,413229619175.1
Trading Securities,301746527264.7,413459996784.64,351546008749.87,356082460293.03
Long Term Equity Investment,22237258686.68,20414818640.78,19241162729.26,19195235227.79
Investment Properties,182131297.14,136283750.86,217585767.44,294008001.87
Goodwill And Other Intangible Assets,2087241056.51,10934591265.19,10792035287.65,9627102958.68
Other Intangible Assets,2035899489.21,7515259736.89,7439816303.97,6790673483.49
Goodwill,51341567.3,3419331528.3,3352218983.68,2836429475.19
Net PPE,6489411641.11,6519710004.83,6287382702.25,5178222417.42
Accumulated Depreciation,-3367342958.8,-3026510677.56,-2511348846.97,-2171482036.37
Gross PPE,9856754599.91,9546220682.39,8798731549.22,7349704453.79
Construction In Progress,1275113965.76,565790169.19,195750312.31,96059397.58
Other Properties,3730621375.91,4131860888.14,3913367507.51,3343196644.04
Properties,4851019258.24,4848569625.06,4689613729.4,3910448412.17
Receivables,5587233036.26,9743761158.76,7804340649.41,10287173834.91
Cash And Cash Equivalents,387536087089.85,345521299801.07,337712748150.62,334028378252.38
Cash Equivalents,132545639046.53,112340581474.02,100647542095.95,116941087474.89
Cash Financial,177613353160.24,150319414194.27,155612487980.17,147861121630.88
Cash Cash Equivalents And Federal Funds Sold,402764487834.18,357981531302.55,372536969542.26,345780348268.73
