,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,45572.348994,-152844394.0575,-166448655.58,-28729601.181664
Tax Rate For Calcs,0.021944,0.25,0.25,0.02986
Normalized EBITDA,11835807807.4,16734133751.01,979174292.6,13756497009.29
Total Unusual Items,2076770.53,-611377576.23,-665794622.32,-962130832.78
Total Unusual Items Excluding Goodwill,2076770.53,-611377576.23,-665794622.32,-962130832.78
Net Income From Continuing Operation Net Minority Interest,5266415817.82,9279937440.45,-6389662358.5,5289005087.07
Reconciled Depreciation,5447941955.43,5352311605.59,5382609672.22,5349496045.12
Reconciled Cost Of Revenue,92213288214.12,87179185848.01,89146814526.97,70696857742.45
EBITDA,11837884577.93,16122756174.78,313379670.28,12794366176.51
EBIT,6389942622.5,10770444569.19,-5069230001.94,7444870131.39
Net Interest Income,-734072195.66,-1001976767.88,-1179136369.62,-1505052853.57
Interest Expense,792096746.88,1116119260.99,1301447487.26,1629831751.5
Interest Income,80180533.73,146231397.19,212536261.85,223955528.18
Normalized Income,5264384619.638994,9738470622.6225,-5890316391.76,6222406318.668336
Net Income From Continuing And Discontinued Operation,5266415817.82,9279937440.45,-6389662358.5,5289005087.07
Total Expenses,97528753805.44,93900539742.88,94974966199.8,76300039004.2
Rent Expense Supplemental,41252469.63,43591396.17,55735089.55,49059259.41
Total Operating Income As Reported,5831423803.68,10042454405.29,-6137071021.49,6118049242.77
Diluted Average Shares,6713941634.0,6890360440.0,6582530502.0,6557972830.0
Basic Average Shares,6628591338.0,6629000243.0,6582530502.0,6445290138.0
Diluted EPS,0.7844,1.3468,-0.9707,0.8065
Basic EPS,0.7945,1.3999,-0.9707,0.8206
Net Income Common Stockholders,5266415817.82,9279937440.45,-6389662358.5,5289005087.07
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,5266415817.82,9279937440.45,-6389662358.5,5289005087.07
Minority Interests,-208591746.02,-403600325.3,-804624.42,-352393983.26
Net Income Including Noncontrolling Interests,5475007563.84,9683537765.75,-6388857734.08,5641399070.33
Net Income Continuous Operations,5475007563.84,9683537765.75,-6388857734.08,5641399070.33
Tax Provision,122838311.78,-29212457.55,18180244.88,173639309.56
Pretax Income,5597845875.62,9654325308.2,-6370677489.2,5815038379.89
Other Non Operating Income Expenses,-233577928.06,-392837493.71,-295135642.71,-303099749.03
Special Income Charges,-308853149.47,-380916348.7,-215752961.49,-188431105.16
Other Special Charges,18336549.92,34600352.79,-33716311.82,-149721448.23
Write Off,82917794.02,69923341.87,4961070.4,60685624.67
Impairment Of Capital Assets,207598805.53,276392654.04,244508202.91,277466928.72
Net Non Operating Interest Income Expense,-734072195.66,-1001976767.88,-1179136369.62,-1505052853.57
Total Other Finance Cost,22155982.51,32088904.08,90225144.21,99176630.25
Interest Expense Non Operating,792096746.88,1116119260.99,1301447487.26,1629831751.5
Interest Income Non Operating,80180533.73,146231397.19,212536261.85,223955528.18
Operating Income,6333434694.28,11744644014.93,-5053866653.95,7425072921.52
Operating Expense,5315465591.32,6721353894.87,5828151672.83,5603181261.75
Other Operating Expenses,242507313.62,375317155.34,253301837.55,221240873.08
Depreciation And Amortization In Income Statement,924209898.02,1258452720.71,1245935210.48,1285713039.52
Depreciation Income Statement,924209898.02,1258452720.71,1245935210.48,1285713039.52
Research And Development,815006478.4,721042346.16,593712762.94,533441307.41
Selling General And Administration,1198592443.18,1596706301.38,1819536689.77,1396183699.03
Selling And Marketing Expense,344041294.63,323206769.07,285021441.46,261521311.37
General And Administrative Expense,854551148.55,1273499532.31,1534515248.31,1134662387.66
Rent And Landing Fees,41252469.63,43591396.17,55735089.55,49059259.41
Gross Profit,11648900285.6,18465997909.8,774285018.88,13028254183.27
Cost Of Revenue,92213288214.12,87179185848.01,89146814526.97,70696857742.45
Total Revenue,103862188499.72,105645183757.81,89921099545.85,83725111925.72
Operating Revenue,103862188499.72,105645183757.81,89921099545.85,83725111925.72
