,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,316920479.0,316920479.0,316920479.0,316920479.0
Share Issued,316920479.0,316920479.0,316920479.0,316920479.0
Net Debt,741160064.16,456159962.67,295340379.12,
Total Debt,988843967.8,739384772.16,492091012.98,20235467.24
Tangible Book Value,607809589.75,599268803.88,695619599.1,752851225.13
Invested Capital,1535093545.52,1180507748.75,1132967348.31,978262503.37
Working Capital,-329356292.9,-413412041.17,-182982224.55,365720047.34
Net Tangible Assets,607809589.75,599268803.88,695619599.1,752851225.13
Common Stock Equity,641049436.36,641628122.71,786197474.99,958236225.59
Total Capitalization,1174775942.69,805379236.73,917805081.19,958236225.59
Total Equity Gross Minority Interest,641049436.36,730744206.35,877729357.06,1054214482.99
Minority Interest,,89116083.64,91531882.07,95978257.4
Stockholders Equity,641049436.36,641628122.71,786197474.99,958236225.59
Treasury Stock,,,,0.0
Retained Earnings,-29444743.87,-34849489.36,109719862.92,279871811.25
Additional Paid In Capital,322590719.9,331094294.12,331094294.12,331525894.91
Capital Stock,316920479.0,316920479.0,316920479.0,316920479.0
Common Stock,316920479.0,316920479.0,316920479.0,316920479.0
Total Liabilities Net Minority Interest,1396090653.21,1419557908.39,1231368923.84,214733553.24
Total Non Current Liabilities Net Minority Interest,549893227.31,498186307.95,561931237.61,9716012.8
Other Non Current Liabilities,11748049.16,9411565.5,6759073.91,
Tradeand Other Payables Non Current,,313194452.44,404679575.94,
Non Current Deferred Revenue,4418671.82,5216743.49,6332531.02,4336290.87
Non Current Deferred Taxes Liabilities,,6612432.5,12552450.54,5379721.93
Long Term Debt And Capital Lease Obligation,533726506.33,163751114.02,131607606.2,0.0
Long Term Debt,533726506.33,163751114.02,131607606.2,0.0
Current Liabilities,846197425.9,921371600.44,669437686.23,205017540.44
Other Current Liabilities,3010594.19,2243.26,9870.8,200345.13
Current Debt And Capital Lease Obligation,455117461.47,575633658.14,360483406.78,20235467.24
Current Debt,360317602.83,375128512.02,215162267.12,20026277.78
Payables,381769216.63,337612611.26,305271207.57,182889651.08
Other Payable,59359654.01,12355551.58,10268595.78,7280796.52
Dividends Payable,,,,0.0
Total Tax Payable,1736711.29,1580947.05,13359499.37,13175695.74
Accounts Payable,320672851.33,323676112.63,281643112.42,162433158.82
Total Assets,2037140089.57,2150302114.74,2109098280.9,1268948036.23
Total Non Current Assets,1520298956.57,1642342555.47,1622642819.22,698210448.45
Other Non Current Assets,,,9728196.4,137736458.0
Non Current Deferred Assets,7555535.63,2743703.67,1920702.62,1380397.76
Non Current Deferred Taxes Assets,105690889.54,67895562.1,44772770.72,7110413.28
Investmentin Financial Assets,128851098.18,198495407.9,174119529.15,10000000.0
Held To Maturity Securities,,,,0.0
Available For Sale Securities,128851098.18,198495407.9,174119529.15,10000000.0
Long Term Equity Investment,1644598.95,1746879.27,1784292.55,49454025.99
Investment Properties,0.0,26375391.62,24641834.91,0.0
Goodwill And Other Intangible Assets,33239846.61,42359318.83,90577875.89,205385000.46
Other Intangible Assets,33239846.61,42359318.83,45183139.09,50626320.72
Goodwill,,,45394736.8,154758679.74
Net PPE,1243316987.66,1302726292.08,1275097616.98,287144152.96
Accumulated Depreciation,-217616726.96,-156697039.43,-86970601.34,-38176769.62
Gross PPE,1460933714.62,1459423331.51,1362068218.32,325320922.58
Construction In Progress,83022818.38,51405558.55,228519268.36,26432281.69
Other Properties,85825945.08,83405565.74,876904343.26,11600281.07
Machinery Furniture Equipment,1104833127.38,1109392249.35,42745409.25,46752295.48
Properties,187251823.78,215219957.87,213899197.45,240536064.34
Current Assets,516841133.0,507959559.27,486455461.68,570737587.78
Other Current Assets,33295596.31,39668706.72,19532131.32,6005248.51
Hedging Assets Current,,,,0.0
Assets Held For Sale Current,,,,0.0
Restricted Cash,,,,0.0
Prepaid Assets,5706203.32,4154823.22,2303609.72,1834552.72
Inventory,38657588.6,56254872.41,57364354.35,45224419.36
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Finished Goods,27062197.25,32470084.87,33936508.5,11207141.11
Work In Process,4212889.69,9013000.0,4335655.08,6936473.57
Raw Materials,7382501.66,14771787.54,19092190.77,27080804.68
Other Receivables,77462523.34,67276571.52,37916642.1,12517895.91
Accounts Receivable,208835176.43,257882850.91,288409877.11,334678565.86
Allowance For Doubtful Accounts Receivable,-24535707.94,-37828797.56,-34428316.05,-22305878.1
Gross Accounts Receivable,233370884.37,295711648.47,322838193.16,356984443.96
Cash Cash Equivalents And Short Term Investments,152884045.0,82721734.49,80928847.08,170476905.42
Other Short Term Investments,,2071.12,29499352.88,79019985.87
Cash And Cash Equivalents,152884045.0,82719663.37,51429494.2,91456919.55
Cash Equivalents,41511172.31,36838917.51,25036349.52,22081109.11
Cash Financial,111372872.69,45880745.86,26393144.68,69375810.44
