,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,17448421000.0,17448421000.0,16200792838.0,14524815185.0
Share Issued,17448421000.0,17448421000.0,16200792838.0,14524815185.0
Net Debt,94611085000.0,81256200000.0,95709313000.0,88578535000.0
Total Debt,217947072000.0,233564573000.0,215615864000.0,214176292000.0
Tangible Book Value,32742709000.0,35111618000.0,27314876000.0,18206733000.0
Invested Capital,153021984000.0,148871512000.0,148567771000.0,123623546000.0
Working Capital,-82488786000.0,-96922852000.0,-77982553000.0,-70237477000.0
Net Tangible Assets,32742709000.0,35111618000.0,27314876000.0,18206733000.0
Capital Lease Obligations,61452171000.0,59134187000.0,64053967000.0,76897347000.0
Common Stock Equity,42551575000.0,45147411000.0,37229962000.0,23609134000.0
Total Capitalization,135409632000.0,128984371000.0,127204593000.0,101671250000.0
Total Equity Gross Minority Interest,39231513000.0,40945209000.0,35287996000.0,21560186000.0
Minority Interest,-3320062000.0,-4202202000.0,-1941966000.0,-2048948000.0
Stockholders Equity,42551575000.0,45147411000.0,37229962000.0,23609134000.0
Retained Earnings,-32486631000.0,-30744120000.0,-30495138000.0,-29309022000.0
Additional Paid In Capital,,43632569000.0,37069353000.0,23325142000.0
Capital Stock,17448421000.0,17448421000.0,16200793000.0,14524815000.0
Common Stock,17448421000.0,17448421000.0,16200793000.0,14524815000.0
Total Liabilities Net Minority Interest,303815731000.0,304824203000.0,300014685000.0,273451149000.0
Total Non Current Liabilities Net Minority Interest,186523636000.0,167214148000.0,189697411000.0,180968541000.0
Other Non Current Liabilities,7211267000.0,6736123000.0,5976647000.0,4513808000.0
Tradeand Other Payables Non Current,24462600000.0,16971919000.0,28940153000.0,20753773000.0
Non Current Deferred Revenue,401549000.0,406943000.0,404103000.0,418200000.0
Non Current Deferred Taxes Liabilities,137992000.0,128016000.0,347910000.0,323297000.0
Long Term Debt And Capital Lease Obligation,154310228000.0,142971147000.0,154028598000.0,154959463000.0
Long Term Capital Lease Obligation,61452171000.0,59134187000.0,64053967000.0,76897347000.0
Long Term Debt,92858057000.0,83836960000.0,89974631000.0,78062116000.0
Current Liabilities,117292095000.0,137610055000.0,110317274000.0,92482608000.0
Other Current Liabilities,11295541000.0,11135010000.0,8366222000.0,2816571000.0
Current Debt And Capital Lease Obligation,63636844000.0,90593426000.0,61587266000.0,59216829000.0
Current Debt,17612352000.0,19887141000.0,21363178000.0,21952296000.0
Payables,40638966000.0,34710447000.0,38841294000.0,29354023000.0
Other Payable,17495328000.0,14418328000.0,19076221000.0,17351482000.0
Dividends Payable,103367000.0,98000000.0,98000000.0,98000000.0
Total Tax Payable,683576000.0,655407000.0,571838000.0,275930000.0
Accounts Payable,22356695000.0,19538712000.0,19095235000.0,11628611000.0
Total Assets,343047244000.0,345769412000.0,335302681000.0,295011335000.0
Total Non Current Assets,308243935000.0,305082209000.0,302967960000.0,272766204000.0
Other Non Current Assets,733553000.0,5054000.0,88628000.0,2128000.0
Non Current Deferred Assets,325628000.0,314274000.0,286247000.0,249268000.0
Non Current Deferred Taxes Assets,11310161000.0,12908130000.0,13703962000.0,10417452000.0
Investmentin Financial Assets,3020051000.0,3220167000.0,2947339000.0,1604742000.0
Held To Maturity Securities,1093435000.0,1426851000.0,1397310000.0,1360982000.0
Available For Sale Securities,1926616000.0,1793316000.0,1550029000.0,243760000.0
Long Term Equity Investment,18292560000.0,16916857000.0,15136903000.0,12574373000.0
Investment Properties,291001000.0,305917000.0,320827000.0,106118000.0
Goodwill And Other Intangible Assets,9808866000.0,10035793000.0,9915086000.0,5402401000.0
Other Intangible Assets,6194476000.0,5937851000.0,5817144000.0,4300216000.0
Goodwill,3614390000.0,4097942000.0,4097942000.0,1102185000.0
Net PPE,263726915000.0,260465145000.0,259721695000.0,241870098000.0
Accumulated Depreciation,-136018150000.0,-119854087000.0,-110224600000.0,-101039393000.0
Gross PPE,399745065000.0,380319232000.0,369946295000.0,342909491000.0
Construction In Progress,34331014000.0,36767279000.0,38407989000.0,32908551000.0
Other Properties,344893753000.0,323219621000.0,312235509000.0,294798119000.0
Properties,20520298000.0,20332332000.0,19302797000.0,15202821000.0
Current Assets,34803309000.0,40687203000.0,32334721000.0,22245131000.0
Other Current Assets,5623629000.0,4960628000.0,3873629000.0,3413474000.0
Assets Held For Sale Current,,94829000.0,108527000.0,1302000.0
Prepaid Assets,590827000.0,462245000.0,414431000.0,368692000.0
Inventory,4809698000.0,4224992000.0,3682821000.0,2557823000.0
Inventories Adjustments Allowances,,0.0,0.0,0.0
Other Inventories,,2520483000.0,2385754000.0,2557823000.0
Work In Process,,1704509000.0,1297067000.0,
Raw Materials,,,2184056000.0,1136602000.0
Other Receivables,4288041000.0,4768797000.0,5441515000.0,2815209000.0
Accounts Receivable,3480157000.0,3670252000.0,3182797000.0,1649356000.0
Allowance For Doubtful Accounts Receivable,,-164731000.0,-175119000.0,-145108000.0
Gross Accounts Receivable,,3834983000.0,3357916000.0,1794464000.0
Cash Cash Equivalents And Short Term Investments,16010957000.0,22505460000.0,15631001000.0,11439275000.0
Other Short Term Investments,151633000.0,37559000.0,2505000.0,3398000.0
Cash And Cash Equivalents,15859324000.0,22467901000.0,15628496000.0,11435877000.0
Cash Equivalents,,66279000.0,90932000.0,51921000.0
Cash Financial,,22401622000.0,15537564000.0,11383956000.0
