,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-10229120.372936,-20317398.713619,-9528830.8716,-4986861.650025
Tax Rate For Calcs,0.16176,0.133148,0.135278,0.115946
Normalized EBITDA,3050119966.02,2788163962.64,2209074492.16,1550392260.63
Total Unusual Items,-63236586.45,-152592558.11,-70439139.25,-43010110.63
Total Unusual Items Excluding Goodwill,-63236586.45,-152592558.11,-70439139.25,-43010110.63
Net Income From Continuing Operation Net Minority Interest,1123381869.26,1019246632.25,786593065.97,464431322.67
Reconciled Depreciation,404006590.04,348439992.82,298039564.2,370701215.38
Reconciled Cost Of Revenue,13855937941.06,14132647231.2,11627296275.95,9341523382.5
EBITDA,2986883379.57,2635571404.53,2138635352.91,1507382150.0
EBIT,2582876789.53,2287131411.71,1840595788.71,1136680934.62
Net Interest Income,20758421.73,13917798.28,-315928.83,-16812834.3
Interest Expense,36090923.52,48402243.66,62311979.39,51760974.44
Interest Income,76816422.92,82418792.26,76165709.73,44416085.67
Normalized Income,1176389335.337064,1151521791.646381,847503374.3484,502454571.649975
Net Income From Continuing And Discontinued Operation,1123381869.26,1019246632.25,786593065.97,464431322.67
Total Expenses,15990802141.23,16184745206.96,13403400288.2,10738251245.27
Rent Expense Supplemental,145625523.62,149434142.98,111716548.7,82104964.07
Total Operating Income As Reported,2574402976.45,2245642112.51,1787053005.03,1110345133.18
Diluted Average Shares,1080174874.0,1084304928.0,1077524748.0,1080072843.0
Basic Average Shares,1080174874.0,1084304928.0,1077524748.0,1080072843.0
Diluted EPS,1.04,0.94,0.73,0.43
Basic EPS,1.04,0.94,0.73,0.43
Net Income Common Stockholders,1123381869.26,1019246632.25,786593065.97,464431322.67
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1123381869.26,1019246632.25,786593065.97,464431322.67
Minority Interests,-1011437117.29,-921400154.31,-751128949.99,-494696221.18
Net Income Including Noncontrolling Interests,2134818986.55,1940646786.56,1537722015.96,959127543.85
Net Income Continuous Operations,2134818986.55,1940646786.56,1537722015.96,959127543.85
Tax Provision,411966879.46,298082381.49,240561793.36,125792416.33
Pretax Income,2546785866.01,2238729168.05,1778283809.32,1084919960.18
Other Non Operating Income Expenses,-27617110.44,-6912944.46,-8769195.71,-8203779.68
Special Income Charges,-74503979.68,-159786247.73,-82040574.38,-39133759.97
Other Special Charges,-226013.33,-190369.01,-18221.34,-2477209.91
Write Off,13676030.72,92482934.58,20432790.95,-14913248.46
Impairment Of Capital Assets,61053962.29,67493682.16,61626004.77,56524218.34
Net Non Operating Interest Income Expense,20758421.73,13917798.28,-315928.83,-16812834.3
Total Other Finance Cost,19967077.67,20098750.32,14169659.17,9467945.53
Interest Expense Non Operating,36090923.52,48402243.66,62311979.39,51760974.44
Interest Income Non Operating,76816422.92,82418792.26,76165709.73,44416085.67
Operating Income,2540191800.22,2176057624.63,1776247546.54,924983947.94
Operating Expense,2134864200.17,2052097975.76,1776104012.25,1396727862.77
Other Operating Expenses,87817527.17,93619118.58,34937007.68,262437492.23
Depreciation And Amortization In Income Statement,29723548.97,24909331.3,21517322.19,10708543.88
Depreciation Income Statement,29723548.97,24909331.3,21517322.19,10708543.88
Research And Development,680297950.13,642660750.49,542053043.0,470959744.66
Selling General And Administration,572466072.8,589022826.78,575130774.54,281207125.74
Selling And Marketing Expense,440815216.64,421402154.71,428709432.71,210667986.44
General And Administrative Expense,131650856.16,167620672.07,146421341.83,70539139.3
Rent And Landing Fees,145625523.62,149434142.98,111716548.7,82104964.07
Gross Profit,4675056000.39,4228155600.39,3552351558.79,2321711810.71
Cost Of Revenue,13855937941.06,14132647231.2,11627296275.95,9341523382.5
Total Revenue,18530993941.45,18360802831.59,15179647834.74,11663235193.21
Operating Revenue,18530993941.45,18360802831.59,15179647834.74,11663235193.21
