,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-117082807.310091,-111067899.444724,-552695511.507455,-35351543.25
Tax Rate For Calcs,0.317422,0.285092,0.326958,0.25
Normalized EBITDA,10757999488.0,11164864552.0,11868477426.0,3057433054.0
Total Unusual Items,-368855830.0,-389585989.0,-1690417783.0,-141406173.0
Total Unusual Items Excluding Goodwill,-368855830.0,-389585989.0,-1690417783.0,-141406173.0
Net Income From Continuing Operation Net Minority Interest,599942339.0,964242757.0,974660299.0,-2980434050.0
Reconciled Depreciation,6629930457.0,5890422026.0,5366714105.0,5039413912.0
Reconciled Cost Of Revenue,45713513995.0,49520897046.0,50970997678.0,52852310181.0
EBITDA,10389143658.0,10775278563.0,10178059643.0,2916026881.0
EBIT,3759213201.0,4884856537.0,4811345538.0,-2123387031.0
Net Interest Income,-2185992801.0,-2284951345.0,-2285203570.0,-2136871967.0
Interest Expense,2247806946.0,2430228046.0,2395532582.0,2257705843.0
Interest Income,89069206.0,162430466.0,124290218.0,132632800.0
Normalized Income,851715361.689909,1242760846.555276,2112382570.492545,-2874379420.25
Net Income From Continuing And Discontinued Operation,599942339.0,964242757.0,974660299.0,-2980434050.0
Total Expenses,48369222496.0,52832411478.0,54039014872.0,55508339252.0
Rent Expense Supplemental,12870325.0,19479426.0,18012568.0,16814722.0
Total Operating Income As Reported,1408796662.0,2462266889.0,2675007645.0,-4062680605.0
Diluted Average Shares,5454021264.0,5356904206.0,5129791047.0,5228831667.0
Basic Average Shares,5454021264.0,5356904206.0,5129791047.0,5228831667.0
Diluted EPS,0.11,0.18,0.19,-0.57
Basic EPS,0.11,0.18,0.19,-0.57
Net Income Common Stockholders,599942339.0,964242757.0,974660299.0,-2980434050.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,599942339.0,964242757.0,974660299.0,-2980434050.0
Minority Interests,-431710926.0,-790590469.0,-651283436.0,1507691922.0
Net Income Including Noncontrolling Interests,1031653265.0,1754833226.0,1625943735.0,-4488125972.0
Net Income Continuous Operations,1031653265.0,1754833226.0,1625943735.0,-4488125972.0
Tax Provision,479752990.0,699795265.0,789869221.0,107033098.0
Pretax Income,1511406255.0,2454628491.0,2415812956.0,-4381092874.0
Other Non Operating Income Expenses,102609593.0,-7638398.0,-259194689.0,-318412269.0
Special Income Charges,-368855830.0,-389585989.0,-1690417783.0,-141406173.0
Other Special Charges,-20344472.0,-98655.0,-9198759.0,-30802837.0
Write Off,17411129.0,33253676.0,24778506.0,-1563130.0
Impairment Of Capital Assets,371789173.0,356430968.0,1674838036.0,173772140.0
Net Non Operating Interest Income Expense,-2185992801.0,-2284951345.0,-2285203570.0,-2136871967.0
Total Other Finance Cost,27255061.0,17153765.0,13961206.0,11798924.0
Interest Expense Non Operating,2247806946.0,2430228046.0,2395532582.0,2257705843.0
Interest Income Non Operating,89069206.0,162430466.0,124290218.0,132632800.0
Operating Income,3171956134.0,4326655755.0,5669382866.0,-2847250816.0
Operating Expense,2655708501.0,3311514432.0,3068017194.0,2656029071.0
Other Operating Expenses,393620826.0,385029128.0,345450297.0,254986154.0
Depreciation And Amortization In Income Statement,209323604.0,193860525.0,189522431.0,159440018.0
Amortization,102671122.0,102208295.0,88959541.0,71440393.0
Depreciation Income Statement,106652482.0,91652230.0,100562890.0,87999625.0
Research And Development,567198811.0,1286783600.0,1116555274.0,1229311572.0
Selling General And Administration,414913618.0,489115806.0,399976687.0,296255991.0
Selling And Marketing Expense,19778056.0,41939709.0,20633187.0,11196689.0
General And Administrative Expense,395135562.0,447176097.0,379343500.0,285059302.0
Rent And Landing Fees,12870325.0,19479426.0,18012568.0,16814722.0
Gross Profit,5827664635.0,7638170187.0,8737400060.0,-191221745.0
Cost Of Revenue,45713513995.0,49520897046.0,50970997678.0,52852310181.0
Total Revenue,51541178630.0,57159067233.0,59708397738.0,52661088436.0
Operating Revenue,51541178630.0,57159067233.0,59708397738.0,52661088436.0
