,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,12250684240.51,-223357067.69,-5573756222.64,-4982659976.9
Repayment Of Debt,-14137949524.48,-12361057250.89,-11538352093.31,-8449126399.7
Issuance Of Debt,13033148804.52,12549461362.27,15534063799.95,14026088989.79
Capital Expenditure,-2951303421.61,-4363713068.3,-10670207352.23,-12104654132.12
End Cash Position,11434588002.0,11324586109.97,11663323520.56,6335228920.06
Beginning Cash Position,11324586109.97,11663323520.56,6335228920.06,5483581340.2
Effect Of Exchange Rate Changes,-200985938.23,20701794.68,22821520.68,-16188527.19
Changes In Cash,310987830.26,-359439205.27,5305273079.82,867836107.05
Financing Cash Flow,-11067767148.24,-1732211285.89,4184952017.84,2704818425.52
Net Other Financing Charges,-7639482749.91,-181303885.79,2188997611.11,-646202714.68
Cash Dividends Paid,-2142304254.77,-1614000802.64,-1852005147.06,-2055919827.08
Net Issuance Payments Of Debt,-1104800719.96,188404111.38,3995711706.64,5576962590.09
Net Long Term Debt Issuance,-1104800719.96,188404111.38,3995711706.64,5576962590.09
Long Term Debt Payments,-14137949524.48,-12361057250.89,-11538352093.31,-8449126399.7
Long Term Debt Issuance,13033148804.52,12549461362.27,15534063799.95,14026088989.79
Investing Cash Flow,-3823232683.62,-2767583919.99,-3976130067.61,-8958976473.69
Net Other Investing Changes,670002070.17,1296996495.85,2231931399.14,706787199.36
Net Investment Purchase And Sale,-1807549592.55,-1336370892.67,1233597917.64,1510891751.04
Sale Of Investment,782310932.62,1393893840.96,2828330417.59,2108025461.34
Purchase Of Investment,-2589860525.17,-2730264733.63,-1594732499.95,-597133710.3
Net Business Purchase And Sale,195315972.31,1589852689.39,3106020594.34,855942024.7
Sale Of Business,195315972.31,1626852060.09,3145741645.92,1061654275.75
Purchase Of Business,,-36999370.7,-39721051.58,-205712251.05
Net PPE Purchase And Sale,-2881001133.55,-4318062212.56,-10547679978.73,-12032597448.79
Sale Of PPE,70302288.06,45650855.74,122527373.5,72056683.33
Purchase Of PPE,-2951303421.61,-4363713068.3,-10670207352.23,-12104654132.12
Operating Cash Flow,15201987662.12,4140356000.61,5096451129.59,7121994155.22
Change In Working Capital,5159896982.47,-4132560873.48,-1823410668.04,43083604.14
Change In Other Current Assets,-507430684.85,195091257.12,-121267898.24,-112253504.45
Change In Payable,15945185607.63,10526326915.23,9705153920.01,13832606380.63
Change In Inventory,-6817993348.45,-15621547298.81,-8561881881.23,-8970649842.22
Change In Receivables,-3459864591.86,767568252.98,-2845414808.58,-4706619429.82
Other Non Cash Items,2070655975.77,1445793247.94,1349758027.06,1437552347.72
Depreciation And Amortization,2329311371.71,2165584460.63,2032877450.6,2024238752.32
Amortization Cash Flow,89998238.66,68424063.89,53707515.35,48722862.91
Depreciation,2239313133.05,2097160396.74,1979169935.25,1975515889.41
Gain Loss On Investment Securities,-839445888.71,-816792394.13,-2101609325.86,-718953261.12
Gain Loss On Sale Of PPE,41447390.27,61468035.55,63363022.28,252025319.77
Net Income From Continuing Operations,5209205392.17,4948847757.37,4715000374.58,3731237928.72
Cash Flowsfromusedin Operating Activities Direct,15201987662.12,4140356000.61,5096451129.59,7121994155.22
Taxes Refund Paid Direct,-5363789498.77,-2740386417.06,-1433591994.63,-529669499.47
Classesof Cash Payments,-45238652825.55,-47769568549.86,-54143892968.03,-35222427270.19
Other Cash Paymentsfrom Operating Activities,-4246706828.67,-4355484609.22,-6594444061.48,-4007474922.37
Paymentson Behalfof Employees,-5311594664.24,-4726661750.81,-4568704510.38,-4131170820.75
Paymentsto Suppliersfor Goodsand Services,-35680351332.64,-38687422189.83,-42980744396.17,-27083781527.07
Classesof Cash Receiptsfrom Operating Activities,65804429986.44,54650310967.53,60673936092.25,42874090924.88
Other Cash Receiptsfrom Operating Activities,2063302112.44,3361783713.09,4214665570.12,2062643229.16
Receiptsfrom Customers,63741127874.0,51288527254.44,56459270522.13,40811447695.72
