,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,545758376.0,546082499.0,545325566.0,468610349.0
Share Issued,545758376.0,546082499.0,545325566.0,468610349.0
Total Debt,245228992.63,283387147.82,227518606.46,296362451.5
Tangible Book Value,2738402134.26,3109601937.28,3362308473.99,1889071782.89
Invested Capital,3235798246.12,3622724825.79,3639091587.03,2235098273.31
Working Capital,1215869048.89,1540852559.44,1932962015.43,755287065.67
Net Tangible Assets,2738402134.26,3109601937.28,3362308473.99,1889071782.89
Capital Lease Obligations,47370011.21,78829685.29,91138306.21,49996348.09
Common Stock Equity,3068574853.06,3455605019.67,3539691587.03,2019999602.53
Total Capitalization,3068574853.06,3455605019.67,3539691587.03,2019999602.53
Total Equity Gross Minority Interest,3081426353.38,3467426261.85,3552411170.19,2019999602.53
Minority Interest,12851500.32,11821242.18,12719583.16,
Stockholders Equity,3068574853.06,3455605019.67,3539691587.03,2019999602.53
Treasury Stock,730345.27,5951832.52,8502487.5,8026542.3
Retained Earnings,892882044.67,1281940516.94,1378245581.3,1126941383.83
Additional Paid In Capital,1520975245.18,1523985620.05,1775404061.48,697218722.29
Capital Stock,545758376.0,546082499.0,287013456.0,137020570.0
Common Stock,545758376.0,546082499.0,287013456.0,137020570.0
Total Liabilities Net Minority Interest,762185610.03,870630239.33,1003159707.68,760684362.07
Total Non Current Liabilities Net Minority Interest,55433452.79,104043326.25,116642369.94,81824043.53
Non Current Deferred Revenue,5643258.73,11175757.33,15817656.29,19339518.67
Non Current Deferred Taxes Liabilities,2420182.85,14037883.63,9686407.44,12488176.77
Long Term Debt And Capital Lease Obligation,47370011.21,78829685.29,91138306.21,49996348.09
Long Term Capital Lease Obligation,47370011.21,78829685.29,91138306.21,49996348.09
Current Liabilities,706752157.24,766586913.08,886517337.74,678860318.54
Other Current Liabilities,59892651.84,30087228.47,11098329.1,30800758.37
Current Debt And Capital Lease Obligation,197858981.42,204557462.53,136380300.25,246366103.41
Current Debt,167223393.06,167119806.12,99400000.0,215098670.78
Payables,331121441.45,407319712.65,548636608.31,295524067.82
Other Payable,130879770.07,172785847.25,217706513.94,107852112.86
Dividends Payable,,,0.0,
Total Tax Payable,35545563.35,58501302.27,65973393.64,47016280.22
Accounts Payable,164696108.03,176032563.13,264956700.73,140655674.74
Total Assets,3843611963.41,4338056501.18,4555570877.87,2780683964.6
Total Non Current Assets,1920990757.28,2030617028.66,1736091524.7,1346536580.39
Other Non Current Assets,14560328.72,118179777.38,88004839.42,68292791.96
Non Current Deferred Assets,89126031.43,108430110.49,52704333.21,43379075.07
Non Current Deferred Taxes Assets,90730004.25,64328129.19,17050739.29,21200726.61
Goodwill And Other Intangible Assets,330172718.8,346003082.39,177383113.04,130927819.64
Other Intangible Assets,257066508.76,266729308.94,117453501.66,101706535.64
Goodwill,73106210.04,79273773.45,59929611.38,29221284.0
Net PPE,1396401674.08,1393675929.21,1400948499.74,1082736167.11
Accumulated Depreciation,-1193238940.47,-1035438047.09,-877901042.23,-677804895.29
Gross PPE,2589640614.55,2429113976.3,2278849541.97,1760541062.4
Construction In Progress,73253688.01,221068543.22,192012419.4,55862223.27
Other Properties,1773764583.19,205727503.0,229118220.77,1290773367.34
Machinery Furniture Equipment,11181985.39,1561549316.31,1445828376.81,8251602.22
Properties,731440357.96,440768613.77,411890524.99,405653869.57
Current Assets,1922621206.13,2307439472.52,2819479353.17,1434147384.21
Other Current Assets,50498291.03,36161604.43,28067963.41,35084104.73
Prepaid Assets,13375970.2,17852574.78,21903923.14,37361226.44
Inventory,25560379.43,27725593.33,42094786.94,25100395.35
Inventories Adjustments Allowances,0.0,0.0,0.0,
Other Inventories,5988468.0,2400870.0,,
Finished Goods,2867547.52,2562009.68,1263443.53,758924.06
Work In Process,,0.0,106309.76,1635277.87
Raw Materials,16704363.91,22762713.65,40725033.65,22706193.42
Other Receivables,34839941.04,68445176.97,61132204.4,42610626.66
Accounts Receivable,823143973.56,972449689.21,1086707485.55,780939163.15
Allowance For Doubtful Accounts Receivable,-335109014.72,-248456119.98,-164662681.87,-96963294.35
Gross Accounts Receivable,1158252988.28,1220905809.19,1251370167.42,877902457.5
Cash Cash Equivalents And Short Term Investments,975202650.87,1184804833.8,1579572989.73,513051867.88
Other Short Term Investments,275000000.0,565036981.91,825074660.2,
Cash And Cash Equivalents,700202650.87,619767851.89,754498329.53,513051867.88
Cash Equivalents,5373171.07,27961715.38,11144646.21,12278316.95
Cash Financial,694829479.8,591806136.51,743353683.32,500773550.93
