,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1465710722.0,1465710722.0,1465710722.0,1465710722.0
Share Issued,1465710722.0,1465710722.0,1465710722.0,1465710722.0
Net Debt,8877793506.08,7462613256.98,6097026925.33,7102681266.06
Total Debt,13078452415.35,11135755124.3,11349525946.52,11546202634.62
Tangible Book Value,2261959630.86,2220605237.98,2458245801.61,2299483901.3
Invested Capital,13978290789.71,12107185628.54,12155031385.31,12951363580.11
Working Capital,-5147408740.23,-3805131793.02,-2565957513.79,-2521936747.18
Net Tangible Assets,2261959630.86,2220605237.98,2458245801.61,2299483901.3
Capital Lease Obligations,99306717.44,94569778.65,327422127.84,127670138.05
Common Stock Equity,2994831409.07,2982463160.93,3241069355.91,3138920407.46
Total Capitalization,10369088298.59,9044748695.54,9145419513.93,9998481296.47
Total Equity Gross Minority Interest,5006028127.9,4534096312.97,4729620767.53,4436028979.39
Minority Interest,2011196718.83,1551633152.04,1488551411.62,1297108571.93
Stockholders Equity,2994831409.07,2982463160.93,3241069355.91,3138920407.46
Retained Earnings,621936180.15,609783553.51,623116876.93,870687162.21
Additional Paid In Capital,610093433.76,617859157.08,738332950.62,769606579.1
Capital Stock,1465710722.0,1465710722.0,1465710722.0,1221425602.0
Common Stock,1465710722.0,1465710722.0,1465710722.0,1221425602.0
Total Liabilities Net Minority Interest,18283966350.99,13878752183.92,17017058644.74,17352558829.31
Total Non Current Liabilities Net Minority Interest,9249071359.74,7216731183.71,7652788455.11,8433858259.28
Other Non Current Liabilities,101931666.67,931423826.31,1298812597.02,1253013921.15
Tradeand Other Payables Non Current,1510003114.39,932520938.54,1298870092.34,1253013921.15
Non Current Deferred Revenue,34324961.67,26313173.83,17682083.96,18962920.72
Non Current Deferred Taxes Liabilities,129248010.05,101041758.08,104463992.95,174650390.35
Long Term Debt And Capital Lease Obligation,7473563606.96,6156855313.26,6231772285.86,6987231027.06
Long Term Capital Lease Obligation,99306717.44,94569778.65,327422127.84,127670138.05
Long Term Debt,7374256889.52,6062285534.61,5904350158.02,6859560889.01
Current Liabilities,9034894991.25,6662021000.21,9364270189.63,8918700570.03
Other Current Liabilities,322610631.04,17762557.34,136839770.78,631863852.71
Current Debt And Capital Lease Obligation,5604888808.39,4978899811.04,5117753660.66,4558971607.56
Current Debt,3609202491.12,3062436933.0,3009611871.38,2952882283.64
Payables,3082144012.34,1655649207.73,3138985690.36,3150760268.84
Other Payable,375829910.59,492553851.87,661187397.34,679558301.12
Dividends Payable,2205000.0,2205000.0,0.0,0.0
Total Tax Payable,62826253.3,82601221.22,218845992.73,307686209.24
Accounts Payable,2641282848.45,1078289134.64,2258952300.29,2163515758.48
Total Assets,23289994478.89,18412848496.89,21746679412.27,21788587808.7
Total Non Current Assets,19402508227.87,15555959289.7,14948366736.43,15391823985.85
Other Non Current Assets,304368943.89,621924293.62,196938731.16,163653666.05
Non Current Deferred Assets,54602154.12,39915684.26,36902211.83,13482617.58
Non Current Deferred Taxes Assets,206157809.34,284846662.92,275827183.75,219995903.37
Investmentin Financial Assets,1314341567.1,1134497831.12,1156409175.57,1733635963.73
Available For Sale Securities,1314341567.1,1134497831.12,1156409175.57,1733635963.73
Long Term Equity Investment,357415119.49,647999881.9,377433724.91,391695233.48
Investment Properties,130954389.19,134464986.31,548434781.46,141953124.54
Goodwill And Other Intangible Assets,732871778.21,761857922.95,782823554.3,839436506.16
Other Intangible Assets,458562125.73,462293653.93,465555984.21,491827268.7
Goodwill,274309652.48,299564269.02,317267570.09,347609237.46
Net PPE,16299796466.53,11930452026.62,11561610855.66,11887970970.94
Accumulated Depreciation,-7081578564.6,-6550293954.35,-6292233739.62,-5771095547.25
Gross PPE,23381375031.13,18480745980.97,17853844595.28,17659066518.19
Construction In Progress,1799050167.93,1895358981.11,1394718719.06,1587665361.52
Other Properties,5729157824.42,5563386176.33,4248605482.92,3622604668.51
Machinery Furniture Equipment,10493080859.82,5817328593.5,7094446737.63,7210683892.53
Properties,5360086178.96,5204672230.03,5116073655.67,5238112595.63
Current Assets,3887486251.02,2856889207.19,6798312675.84,6396763822.85
Other Current Assets,613594787.32,174200492.31,277019819.59,514597791.14
Prepaid Assets,12908785.97,7314292.75,571113010.03,656217007.23
Inventory,203657901.83,215292066.65,1790660724.45,1521387968.56
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,53098949.68,71376282.19,124978127.49,416281168.37
Finished Goods,1628973.07,3529289.91,1085833310.15,693891795.05
Work In Process,2240395.15,4180107.91,5494600.81,6142950.82
Raw Materials,146689583.93,136206386.64,574354686.0,405072054.32
Other Receivables,423973581.43,201838998.36,602967811.89,318431240.49
Accounts Receivable,527685319.91,596134146.49,739493194.71,656161626.29
Allowance For Doubtful Accounts Receivable,-93711279.26,-72009505.97,-97309074.88,-135932650.78
Gross Accounts Receivable,621396599.17,668143652.46,836802269.59,792094277.07
Cash Cash Equivalents And Short Term Investments,2105665874.56,1662109210.63,2817058115.17,2729968189.14
Other Short Term Investments,,,123011.1,20206282.55
Cash And Cash Equivalents,2105665874.56,1662109210.63,2816935104.07,2709761906.59
Cash Equivalents,513492537.68,236535186.7,614091366.92,766367562.03
Cash Financial,1592173336.88,1425574023.93,2036215337.49,1943394344.56
