,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-38965655.162726,12473434.707655,-16403223.213812,16812914.574366
Tax Rate For Calcs,0.149415,0.150863,0.162356,0.164385
Normalized EBITDA,3430990336.23,2568182764.71,1584304983.06,1037508404.74
Total Unusual Items,-260788687.66,82680311.68,-101032494.58,102277439.23
Total Unusual Items Excluding Goodwill,-260788687.66,82680311.68,-101032494.58,102277439.23
Net Income From Continuing Operation Net Minority Interest,2259517910.58,1903702022.52,948115535.82,690042564.52
Reconciled Depreciation,402644468.53,336044654.84,269896719.5,209719515.75
Reconciled Cost Of Revenue,9530646989.31,7575015435.52,6470477251.25,5241356676.75
EBITDA,3170201648.57,2650863076.39,1483272488.48,1139785843.97
EBIT,2767557180.04,2314818421.55,1213375768.98,930066328.22
Net Interest Income,-46685869.3,-32082942.46,-40150679.44,-55330367.05
Interest Expense,95000557.44,52751297.12,61329179.99,83253223.98
Interest Income,75791055.47,46438687.31,38708394.05,35273103.48
Normalized Income,2481340943.077274,1833495145.547655,1032744807.186188,604578039.864366
Net Income From Continuing And Discontinued Operation,2259517910.58,1903702022.52,948115535.82,690042564.52
Total Expenses,11825117254.99,9589281701.7,7939986651.57,6385052973.91
Total Operating Income As Reported,2585133167.2,2270451511.49,1152349110.2,851227273.91
Diluted Average Shares,1412198694.0,1410149646.0,1415097815.0,1380085129.0
Basic Average Shares,1412198694.0,1410149646.0,1415097815.0,1380085129.0
Diluted EPS,1.6,1.35,0.67,0.5
Basic EPS,1.6,1.35,0.67,0.5
Net Income Common Stockholders,2259517910.58,1903702022.52,948115535.82,690042564.52
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2259517910.58,1903702022.52,948115535.82,690042564.52
Minority Interests,-13719551.77,-17101915.94,-16889473.82,-17566855.22
Net Income Including Noncontrolling Interests,2273237462.35,1920803938.46,965005009.64,707609419.74
Net Income Continuous Operations,2273237462.35,1920803938.46,965005009.64,707609419.74
Tax Provision,399319160.25,341263185.97,187041579.35,139203684.5
Pretax Income,2672556622.6,2262067124.43,1152046588.99,846813104.24
Other Non Operating Income Expenses,87423455.4,1185280.44,-4940089.21,-9346269.17
Special Income Charges,-88019653.27,-24725005.82,1810628.97,-6351918.27
Other Special Charges,35698.18,98954.19,-188961.9,291200.94
Write Off,31489568.08,11638995.15,-13160917.07,-7005560.92
Impairment Of Capital Assets,56494387.01,12987056.48,11539250.0,13066278.25
Net Non Operating Interest Income Expense,-46685869.3,-32082942.46,-40150679.44,-55330367.05
Total Other Finance Cost,27476367.33,25770332.65,17529893.5,7350246.55
Interest Expense Non Operating,95000557.44,52751297.12,61329179.99,83253223.98
Interest Income Non Operating,75791055.47,46438687.31,38708394.05,35273103.48
Operating Income,2775360951.13,1873226655.69,1158215909.83,637849494.79
Operating Expense,2294470265.68,2014266266.18,1469509400.32,1143696297.16
Other Operating Expenses,111274542.08,94007422.95,76736471.65,55829335.62
Depreciation And Amortization In Income Statement,155477008.07,112636437.93,65560428.56,36715848.78
Depreciation Income Statement,155477008.07,112636437.93,65560428.56,36715848.78
Research And Development,523326835.38,470826747.37,327023160.08,294029247.93
Selling General And Administration,995123772.66,845180044.07,663309697.99,495419954.23
Selling And Marketing Expense,781326783.91,630384949.2,477468043.75,403811092.62
General And Administrative Expense,213796988.75,214795094.87,185841654.24,91608861.61
Gross Profit,5069831216.81,3887492921.87,2627725310.15,1781545791.95
Cost Of Revenue,9530646989.31,7575015435.52,6470477251.25,5241356676.75
Total Revenue,14600478206.12,11462508357.39,9098202561.4,7022902468.7
Operating Revenue,14600478206.12,11462508357.39,9098202561.4,7022902468.7
