,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,167594838.92,96594214.77,-198503424.08,-606629921.09
Repayment Of Debt,-378760000.0,-635125738.28,-623034261.72,-371000000.0
Issuance Of Debt,196916312.5,505000000.0,569860000.0,535000000.0
Capital Expenditure,-62890.0,-34079.0,-833324.13,-2130410.04
End Cash Position,36949252.94,44803131.67,103420767.77,375070961.22
Beginning Cash Position,44803131.67,103420767.77,375070961.22,838145740.56
Changes In Cash,-7853878.73,-58617636.1,-271650193.45,-463074779.34
Financing Cash Flow,-191903717.65,-155863850.87,-73837060.93,142397797.2
Net Other Financing Charges,29626432.5,10633468.77,19676647.42,26758854.45
Cash Dividends Paid,-39686462.65,-36371581.36,-40339446.63,-48361057.25
Net Issuance Payments Of Debt,-181843687.5,-130125738.28,-53174261.72,164000000.0
Net Long Term Debt Issuance,-181843687.5,-130125738.28,-53174261.72,164000000.0
Long Term Debt Payments,-378760000.0,-635125738.28,-623034261.72,-371000000.0
Long Term Debt Issuance,196916312.5,505000000.0,569860000.0,535000000.0
Investing Cash Flow,16392110.0,617921.0,-143032.57,-973065.49
Net Other Investing Changes,,,,
Net Investment Purchase And Sale,16400000.0,-58495.09,690291.56,1149344.55
Sale Of Investment,16600000.0,-58495.09,690291.56,1714269.15
Purchase Of Investment,-200000.0,,,-564924.6
Net Business Purchase And Sale,,708495.09,,
Sale Of Business,,708495.09,,
Net PPE Purchase And Sale,-7890.0,-32079.0,-833324.13,-2122410.04
Sale Of PPE,55000.0,2000.0,,8000.0
Purchase Of PPE,-62890.0,-34079.0,-833324.13,-2130410.04
Operating Cash Flow,167657728.92,96628293.77,-197670099.95,-604499511.05
Change In Working Capital,201195306.99,159972405.27,-360494972.64,-820154343.71
Change In Other Current Assets,33831.85,-17288.49,-55984405.88,-13901365.31
Change In Payable,-431373765.85,-617717606.71,-93266765.52,-296185068.44
Change In Inventory,488776.8,-230365.7,-695923739.82,-402511300.29
Change In Receivables,632046464.19,777937666.17,484679938.58,-107556609.67
Other Non Cash Items,52726609.6,33618537.65,38162886.29,28717276.7
Depreciation And Amortization,15610205.74,16353747.38,20761894.74,22878974.86
Amortization Cash Flow,13017612.31,13041274.04,16948599.36,17323587.63
Depreciation,2592593.43,3312473.34,3813295.38,5555387.23
Gain Loss On Investment Securities,4599322.73,29325441.45,55010.28,-631405.06
Gain Loss On Sale Of PPE,3185.84,31500.0,,75021.44
Net Income From Continuing Operations,-1084262770.92,-635335163.42,-325671205.67,27208212.21
Cash Flowsfromusedin Operating Activities Direct,167657728.92,96628293.77,-197670099.95,-604499511.05
Taxes Refund Paid Direct,-9159064.24,-26220702.63,-26465836.0,-109991563.13
Classesof Cash Payments,-506963212.55,-811971578.16,-1192327129.55,-1691292894.9
Other Cash Paymentsfrom Operating Activities,-158521688.52,-217977706.68,-328849473.59,-419021412.7
Paymentson Behalfof Employees,-39549721.58,-45832194.24,-56317975.26,-64524984.89
Paymentsto Suppliersfor Goodsand Services,-308891802.45,-548161677.24,-807159680.7,-1207746497.31
Classesof Cash Receiptsfrom Operating Activities,683780005.71,934820574.56,1021122865.6,1196784946.98
Other Cash Receiptsfrom Operating Activities,327438554.71,271232838.26,189670464.69,141611187.51
Receiptsfrom Customers,356341451.0,663587736.3,831452400.91,1055173759.47
