,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-5715570.12,-39627602.2175,-22724670.52,-12931822.8275
Tax Rate For Calcs,0.25,0.25,0.25,0.25
Normalized EBITDA,419443264.06,508450798.93,590044976.36,754796655.51
Total Unusual Items,-22862280.48,-158510408.87,-90898682.08,-51727291.31
Total Unusual Items Excluding Goodwill,-22862280.48,-158510408.87,-90898682.08,-51727291.31
Net Income From Continuing Operation Net Minority Interest,35556687.85,27913994.95,157535184.46,285242406.35
Reconciled Depreciation,358725702.37,390970763.07,311884691.87,353477765.6
Reconciled Cost Of Revenue,5563449130.08,4549375328.85,6063038148.09,7366536516.91
EBITDA,396580983.58,349940390.06,499146294.28,703069364.2
EBIT,37855281.21,-41030373.01,187261602.41,349591598.6
Net Interest Income,-1260488.76,5036015.24,31343696.33,44837595.55
Interest Expense,21014115.2,19086277.87,21588559.8,12151361.54
Interest Income,20194276.7,24537074.36,53441622.76,57271700.46
Normalized Income,52703398.21,146796801.6025,225709196.02,324037874.8325
Net Income From Continuing And Discontinued Operation,35556687.85,27913994.95,157535184.46,285242406.35
Total Expenses,6073218717.75,5080005422.35,6661451952.55,7979815265.5
Rent Expense Supplemental,36733055.9,35012094.9,45522597.12,43091308.08
Total Operating Income As Reported,17187480.96,-59995168.01,166968208.91,338700089.98
Diluted Average Shares,1185222928.0,1395699748.0,1211809111.0,1188510026.0
Basic Average Shares,1185222928.0,1395699748.0,1211809111.0,1188510026.0
Diluted EPS,0.03,0.02,0.13,0.24
Basic EPS,0.03,0.02,0.13,0.24
Net Income Common Stockholders,35556687.85,27913994.95,157535184.46,285242406.35
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,35556687.85,27913994.95,157535184.46,285242406.35
Minority Interests,11504639.95,58495077.03,-11957938.06,-73230704.2
Net Income Including Noncontrolling Interests,24052047.9,-30581082.08,169493122.52,358473110.55
Net Income Continuous Operations,24052047.9,-30581082.08,169493122.52,358473110.55
Tax Provision,-7210881.89,-29535568.8,-3820079.91,-21032873.49
Pretax Income,16841166.01,-60116650.88,165673042.61,337440237.06
Other Non Operating Income Expenses,-346314.95,-121482.87,-1295166.3,-1259852.92
Special Income Charges,-22862280.48,-158510408.87,-90898682.08,-51727291.31
Other Special Charges,-6093.86,-11349.12,-161168.2,-7697.78
Write Off,-29733144.6,60583384.19,71784369.08,21680546.21
Impairment Of Capital Assets,52601518.94,97938373.8,19275481.2,30054442.88
Net Non Operating Interest Income Expense,-1260488.76,5036015.24,31343696.33,44837595.55
Total Other Finance Cost,440650.26,414781.25,509366.63,282743.37
Interest Expense Non Operating,21014115.2,19086277.87,21588559.8,12151361.54
Interest Income Non Operating,20194276.7,24537074.36,53441622.76,57271700.46
Operating Income,29726208.25,76487512.09,219711313.17,262514610.23
Operating Expense,509769587.67,530630093.5,598413804.46,613278748.59
Other Operating Expenses,33041279.58,19538631.92,21273542.89,21042630.13
Depreciation And Amortization In Income Statement,26560568.0,39465737.51,50037898.41,47646283.67
Depreciation Income Statement,26560568.0,39465737.51,50037898.41,47646283.67
Research And Development,103753126.47,113756256.12,155143092.31,195988983.58
Selling General And Administration,58466754.17,56912014.29,53191962.64,52353954.72
Selling And Marketing Expense,13419837.15,20934000.63,27516140.83,30602840.55
General And Administrative Expense,45046917.02,35978013.66,25675821.81,21751114.17
Rent And Landing Fees,36733055.9,35012094.9,45522597.12,43091308.08
Gross Profit,539495795.92,607117605.59,818125117.63,875793358.82
Cost Of Revenue,5563449130.08,4549375328.85,6063038148.09,7366536516.91
Total Revenue,6102944926.0,5156492934.44,6881163265.72,8242329875.73
Operating Revenue,6102944926.0,5156492934.44,6881163265.72,8242329875.73
