,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,81047.507499,78786.538512,-83923.583836,-29502.81527
Tax Rate For Calcs,0.110603,0.072097,0.065625,0.081804
Normalized EBITDA,3555056403.8,2040611183.2,1575385650.36,1895794034.36
Total Unusual Items,732780.08,1092789.27,-1278833.81,-360651.25
Total Unusual Items Excluding Goodwill,732780.08,1092789.27,-1278833.81,-360651.25
Net Income From Continuing Operation Net Minority Interest,3205082002.69,1823266690.03,1402468555.23,1691066996.78
Reconciled Depreciation,77282653.76,76738122.18,73075224.13,53652121.34
Reconciled Cost Of Revenue,509784224.57,443397835.91,389002785.1,369626159.97
EBITDA,3555789183.88,2041703972.47,1574106816.55,1895433383.11
EBIT,3478506530.12,1964965850.29,1501031592.42,1841781261.77
Net Interest Income,128943070.92,205295529.85,196663516.14,176119521.84
Interest Expense,,21590.11,53014.61,53014.68
Interest Income,129314173.18,205681102.71,196998386.18,176355094.29
Normalized Income,3204430270.117499,1822252687.298512,1403663465.456164,1691398145.21473
Net Income From Continuing And Discontinued Operation,3205082002.69,1823266690.03,1402468555.23,1691066996.78
Total Expenses,2550479436.36,2447891616.38,2255188516.15,1902245420.2
Rent Expense Supplemental,15433215.53,14380673.56,15079583.06,11820380.69
Total Operating Income As Reported,3612165083.71,1966893954.82,1511818501.19,1841084867.02
Diluted Average Shares,752871611.0,752971494.0,752281984.0,751585332.0
Basic Average Shares,752871611.0,752971494.0,752281984.0,751585332.0
Diluted EPS,4.257143,2.421429,1.864286,2.25
Basic EPS,4.257143,2.421429,1.864286,2.25
Net Income Common Stockholders,3205082002.69,1823266690.03,1402468555.23,1691066996.78
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3205082002.69,1823266690.03,1402468555.23,1691066996.78
Minority Interests,-20611.38,-11504.35,-8168.37,
Net Income Including Noncontrolling Interests,3205102614.07,1823278194.38,1402476723.6,1691066996.78
Net Income Extraordinary,,,,
Net Income Continuous Operations,3205102614.07,1823278194.38,1402476723.6,1691066996.78
Tax Provision,398576945.68,141666065.8,98501854.21,150661250.31
Pretax Income,3603679559.75,1964944260.18,1500978577.81,1841728247.09
Other Non Operating Income Expenses,-8485523.96,-1949694.64,-10839923.38,643380.07
Special Income Charges,732780.08,1092789.27,-1278833.81,-360651.25
Other Special Charges,,,,
Write Off,-732780.08,-1092789.27,1278833.81,360651.25
Net Non Operating Interest Income Expense,128943070.92,205295529.85,196663516.14,176119521.84
Total Other Finance Cost,371102.26,363982.75,281855.43,182557.77
Interest Expense Non Operating,,21590.11,53014.61,53014.68
Interest Income Non Operating,129314173.18,205681102.71,196998386.18,176355094.29
Operating Income,3478506530.12,1738903033.68,1309071702.9,1656892034.01
Operating Expense,2040695211.79,2004493780.47,1866185731.05,1532619260.23
Other Operating Expenses,83400470.01,74144530.31,58380147.27,47161557.85
Depreciation And Amortization In Income Statement,51441374.7,51830840.99,51469338.07,36078852.45
Depreciation Income Statement,51441374.7,51830840.99,51469338.07,36078852.45
Research And Development,1145077195.39,1193243542.03,1179239106.34,1067071449.13
Selling General And Administration,420929624.02,280438480.21,189081252.22,115101797.94
Selling And Marketing Expense,358177433.93,229004375.01,137050302.22,77010322.86
General And Administrative Expense,62752190.09,51434105.2,52030950.0,38091475.08
Rent And Landing Fees,15433215.53,14380673.56,15079583.06,11820380.69
Gross Profit,5519201741.91,3743396814.15,3175257433.95,3189511294.24
Cost Of Revenue,509784224.57,443397835.91,389002785.1,369626159.97
Total Revenue,6028985966.48,4186794650.06,3564260219.05,3559137454.21
Operating Revenue,6028985966.48,4186794650.06,3564260219.05,3559137454.21
