,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,158759759.14,175212311.9,163770858.65,141701020.25
Repayment Of Debt,,-76000000.0,-169800000.0,-29900000.0
Issuance Of Debt,,6000000.0,184900000.0,54900000.0
Capital Expenditure,-56558734.94,-38381207.41,-53322526.22,-26563698.59
End Cash Position,2147236231.77,2084892941.62,671495202.76,409269906.09
Beginning Cash Position,2084892941.62,671495202.76,409269906.09,410344843.84
Effect Of Exchange Rate Changes,479754.96,704961.53,4314252.05,-772898.57
Changes In Cash,61863535.19,1412692777.33,257911044.62,-302039.18
Financing Cash Flow,-102971625.08,1255680387.85,14850445.24,-84824396.32
Net Other Financing Charges,12264842.52,1428293191.4,2852676.53,-78526385.68
Cash Dividends Paid,-115236467.6,-102612803.55,-3102231.29,-31298010.64
Net Issuance Payments Of Debt,,-70000000.0,15100000.0,25000000.0
Net Long Term Debt Issuance,,-70000000.0,15100000.0,25000000.0
Long Term Debt Payments,,-76000000.0,-169800000.0,-29900000.0
Long Term Debt Issuance,,6000000.0,184900000.0,54900000.0
Investing Cash Flow,-50483333.81,-56581129.83,25967214.51,-83742361.7
Net Other Investing Changes,5846989.95,1747776.7,4631795.97,3740259.76
Net Investment Purchase And Sale,-236138.35,-19950000.0,60000000.0,-54810000.0
Sale Of Investment,2130000000.0,170051000.0,220000000.0,59190000.0
Purchase Of Investment,-2130236138.35,-190001000.0,-160000000.0,-114000000.0
Net Business Purchase And Sale,,,-1100000.0,-7445026.47
Purchase Of Business,,,-1100000.0,-7445026.47
Net PPE Purchase And Sale,-56094185.41,-38378906.53,-37564581.46,-25227594.99
Sale Of PPE,464549.53,2300.88,15757944.76,1336103.6
Purchase Of PPE,-56558734.94,-38381207.41,-53322526.22,-26563698.59
Operating Cash Flow,215318494.08,213593519.31,217093384.87,168264718.84
Change In Working Capital,-79461189.61,-76822340.94,-5503058.79,-33120101.93
Change In Other Current Assets,-14464289.6,-16204443.06,6951427.93,-5924795.92
Change In Payable,447316129.21,770998238.33,152747909.86,288607378.04
Change In Inventory,14098745.25,-58162974.61,-39572632.52,-42514806.31
Change In Receivables,-526411774.47,-773453161.6,-125629764.06,-273287877.74
Other Non Cash Items,601861.09,661216.01,-2834513.63,-956422.09
Depreciation And Amortization,16768399.46,8428963.3,7846989.0,7631681.16
Amortization Cash Flow,669193.16,991416.3,988635.78,976215.87
Depreciation,16099206.3,7437547.0,6858353.22,6655465.29
Gain Loss On Investment Securities,-5877993.67,-1747776.7,-1030896.73,-273139.68
Gain Loss On Sale Of PPE,-353148.64,94092.7,-13269594.14,-435426.23
Net Income From Continuing Operations,212323720.54,213973470.76,250848831.61,151860126.34
Cash Flowsfromusedin Operating Activities Direct,215318494.08,213593519.31,217093384.87,168264718.84
Taxes Refund Paid Direct,-159485274.59,-123504805.08,-128873106.0,-105018646.71
Classesof Cash Payments,-4378902602.68,-3160999164.26,-2495107568.91,-2417825581.89
Other Cash Paymentsfrom Operating Activities,-53967642.39,-45432579.97,-21733447.83,-23753757.5
Paymentson Behalfof Employees,-286148394.54,-230935764.56,-187645592.94,-146085726.37
Paymentsto Suppliersfor Goodsand Services,-4038786565.75,-2884630819.73,-2285728528.14,-2247986098.02
Classesof Cash Receiptsfrom Operating Activities,4753706371.35,3498097488.65,2841074059.78,2691108947.44
Other Cash Receiptsfrom Operating Activities,28874635.18,34229126.74,9514658.33,6280423.96
Receiptsfrom Customers,4724831736.17,3463868361.91,2831559401.45,2684828523.48
