,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,474031825.11,-194331712.41,-116173628.86,-38828082.85
Repayment Of Debt,-1024990000.0,-490310000.0,-507297855.18,-737034242.97
Issuance Of Debt,632500000.0,849840000.0,613107928.24,687253887.21
Capital Expenditure,-102120558.71,-226760134.47,-166232980.97,-128322987.91
End Cash Position,110819408.89,87657619.03,51131463.95,106052866.65
Beginning Cash Position,87657619.03,51131463.95,106052866.65,79807392.78
Effect Of Exchange Rate Changes,-3925836.98,-1606484.56,-3417638.64,7891405.94
Changes In Cash,27087626.84,38132639.64,-51503764.06,18354067.93
Financing Cash Flow,-329090026.57,241623112.13,63792965.21,52130120.89
Net Other Financing Charges,86190476.17,-94976614.98,-22049325.45,123231397.01
Cash Dividends Paid,-22790502.74,-22930272.89,-19967782.4,-21320920.36
Net Issuance Payments Of Debt,-392490000.0,359530000.0,105810073.06,-49780355.76
Net Long Term Debt Issuance,-392490000.0,359530000.0,105810073.06,-49780355.76
Long Term Debt Payments,-1024990000.0,-490310000.0,-507297855.18,-737034242.97
Long Term Debt Issuance,632500000.0,849840000.0,613107928.24,687253887.21
Investing Cash Flow,-219974730.41,-235918894.55,-165356081.38,-123270958.02
Net Investment Purchase And Sale,-118900537.7,-9266878.5,479630.89,4976104.76
Sale Of Investment,171099462.3,1293121.5,479630.89,4976104.76
Purchase Of Investment,-290000000.0,-10560000.0,,
Net PPE Purchase And Sale,-101074192.71,-226652016.05,-165835712.27,-128247062.78
Sale Of PPE,1046366.0,108118.42,397268.7,75925.13
Purchase Of PPE,-102120558.71,-226760134.47,-166232980.97,-128322987.91
Operating Cash Flow,576152383.82,32428422.06,50059352.11,89494905.06
Change In Working Capital,291478179.45,-153040594.83,-118412097.28,27300903.7
Change In Other Current Assets,13780452.5,-2907540.1,-2602644.74,-4380993.05
Change In Payable,463792769.54,507647630.09,155366305.82,5090359.69
Change In Inventory,110092269.29,-92210631.09,-82804701.06,45267761.67
Change In Receivables,-296187311.88,-565570053.73,-188371057.3,-18676224.61
Other Non Cash Items,26523777.11,28411969.24,22341639.78,26024286.82
Depreciation And Amortization,151227842.75,128583993.8,118704702.27,118338988.28
Amortization Cash Flow,12495558.75,11733781.87,11384113.92,18910174.97
Depreciation,138732284.0,116850211.93,107320588.35,99428813.31
Gain Loss On Investment Securities,-2319108.3,1199808.28,1827953.79,1459465.74
Gain Loss On Sale Of PPE,517122.81,36660.91,-322879.07,1025585.09
Net Income From Continuing Operations,84897784.11,-16481338.8,14171466.41,-273242759.63
Cash Flowsfromusedin Operating Activities Direct,576152383.82,32428422.06,50059352.11,89494905.06
Taxes Refund Paid Direct,-96754844.51,-41522719.61,-15121006.4,27975689.88
Classesof Cash Payments,-1501150033.94,-1550638068.16,-1266801799.32,-1240047349.86
Other Cash Paymentsfrom Operating Activities,-103024032.02,-185999130.52,-104033545.48,-67604711.13
Paymentson Behalfof Employees,-618643878.49,-556139685.42,-406710205.25,-347091207.88
Paymentsto Suppliersfor Goodsand Services,-779482123.43,-808499252.22,-756058048.59,-825351430.85
Classesof Cash Receiptsfrom Operating Activities,2174057262.27,1624589209.83,1331982157.83,1301566565.04
Other Cash Receiptsfrom Operating Activities,141540097.75,22741874.99,9832164.63,16679402.3
Receiptsfrom Customers,2032517164.52,1601847334.84,1322149993.2,1284887162.74
