,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,1559179.899971,-2659167.7,-1598014.851622,-1933184.384184
Tax Rate For Calcs,0.235028,0.25,0.134706,0.134217
Normalized EBITDA,1090682500.34,426173982.16,167933643.91,188640296.41
Total Unusual Items,6634023.4,-10636670.8,-11863016.34,-14403393.92
Total Unusual Items Excluding Goodwill,6634023.4,-10636670.8,-11863016.34,-14403393.92
Net Income From Continuing Operation Net Minority Interest,292589095.99,24616404.4,40202342.48,65916492.05
Reconciled Depreciation,632221864.7,298018113.38,93479803.63,81114959.43
Reconciled Cost Of Revenue,2487286459.29,1834941752.62,1593118315.7,1694692767.19
EBITDA,1097316523.74,415537311.36,156070627.57,174236902.49
EBIT,465094659.04,117519197.98,62590823.94,93121943.06
Net Interest Income,-79392386.21,-53981705.68,-14465133.1,-16427784.28
Interest Expense,80708533.69,57427385.12,17496615.96,17555105.65
Interest Income,3614448.23,6991543.67,4257478.96,1617505.2
Normalized Income,287514252.489971,32593907.5,50467343.968378,78386701.585816
Net Income From Continuing And Discontinued Operation,292589095.99,24616404.4,40202342.48,65916492.05
Total Expenses,2840618765.61,2117170680.15,1822970335.09,1927567766.47
Rent Expense Supplemental,2889501.97,2389166.77,1455942.36,655246.49
Total Operating Income As Reported,384834527.94,61345336.39,44345437.3,76148009.83
Diluted Average Shares,263593780.0,246164044.0,251264640.0,253524969.0
Basic Average Shares,261240264.0,246164044.0,251264640.0,253524969.0
Diluted EPS,1.11,0.1,0.16,0.26
Basic EPS,1.12,0.1,0.16,0.26
Net Income Common Stockholders,292589095.99,24616404.4,40202342.48,65916492.05
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,292589095.99,24616404.4,40202342.48,65916492.05
Minority Interests,-1455605.41,-2013307.32,1182577.29,492030.17
Net Income Including Noncontrolling Interests,294044701.4,26629711.72,39019765.19,65424461.88
Net Income Continuous Operations,294044701.4,26629711.72,39019765.19,65424461.88
Tax Provision,90341423.95,33462101.14,6074442.79,10142375.53
Pretax Income,384386125.35,60091812.86,45094207.98,75566837.41
Other Non Operating Income Expenses,-448402.59,-1253523.53,742416.52,-581172.42
Special Income Charges,-57067838.88,-23762844.01,-11863016.34,-17876541.53
Other Special Charges,-675089.7,-3375185.52,-3603409.97,-6437284.97
Write Off,26681208.36,5181093.49,-1416815.47,7299431.14
Impairment Of Capital Assets,31061720.22,21956936.04,16883241.78,17014395.36
Net Non Operating Interest Income Expense,-79392386.21,-53981705.68,-14465133.1,-16427784.28
Total Other Finance Cost,2298300.75,3545864.23,1225996.1,490183.83
Interest Expense Non Operating,80708533.69,57427385.12,17496615.96,17555105.65
Interest Income Non Operating,3614448.23,6991543.67,4257478.96,1617505.2
Operating Income,466781005.19,130389110.55,70149124.66,97857451.09
Operating Expense,353332306.32,282228927.53,229852019.39,232874999.28
Other Operating Expenses,21654930.39,15045845.67,8219454.69,12033233.07
Depreciation And Amortization In Income Statement,19148468.53,14906186.5,14317578.19,14090377.03
Depreciation Income Statement,19148468.53,14906186.5,14317578.19,14090377.03
Research And Development,95235835.35,84258399.74,77461369.03,86604184.48
Selling General And Administration,112524008.6,99738481.77,70561127.81,62342904.91
Selling And Marketing Expense,28355098.54,13642031.76,16281696.52,22712701.42
General And Administrative Expense,84168910.06,86096450.01,54279431.29,39630203.49
Rent And Landing Fees,2889501.97,2389166.77,1455942.36,655246.49
Gross Profit,820113311.51,412618038.08,300001144.05,330732450.37
Cost Of Revenue,2487286459.29,1834941752.62,1593118315.7,1694692767.19
Total Revenue,3307399770.8,2247559790.7,1893119459.75,2025425217.56
Operating Revenue,3307399770.8,2247559790.7,1893119459.75,2025425217.56
