,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,4680344678.0,4801856148.0,4852783848.0,4852783848.0
Share Issued,4680344678.0,4801856148.0,4852783848.0,4852783848.0
Net Debt,,,,
Total Debt,697294764.24,1260933550.73,1931743546.48,2334381288.85
Tangible Book Value,11622398446.5,10814792841.44,8993034512.79,7387902359.92
Invested Capital,12062842178.21,11736801485.38,10250569659.39,8466371814.97
Working Capital,4700362082.47,4550469104.33,3369178241.19,2078124888.27
Net Tangible Assets,11622398446.5,10814792841.44,8993034512.79,7387902359.92
Capital Lease Obligations,,,378033594.58,517232736.19
Common Stock Equity,11636848524.87,10824521965.38,9001899979.39,7396712739.52
Total Capitalization,12062842178.21,11736801485.38,10250569659.39,8466371814.97
Total Equity Gross Minority Interest,11792249213.31,10977241170.08,9149433612.27,7532824784.4
Minority Interest,155400688.44,152719204.7,147533632.88,136112044.88
Stockholders Equity,11636848524.87,10824521965.38,9001899979.39,7396712739.52
Retained Earnings,4361316750.04,1830223960.74,-90854839.57,-1648533611.84
Capital Stock,4680344678.0,4801856148.0,4852783848.0,4852783848.0
Common Stock,4680344678.0,4801856148.0,4852783848.0,4852783848.0
Total Liabilities Net Minority Interest,1538996449.82,1949747894.26,2498112086.23,2985889333.26
Total Non Current Liabilities Net Minority Interest,447481462.12,935679199.85,1653172678.78,1620826211.57
Tradeand Other Payables Non Current,21487808.78,23399679.85,26469404.2,31634399.93
Non Current Deferred Revenue,,,,2300000.0
Long Term Debt And Capital Lease Obligation,425993653.34,912279520.0,1626703274.58,1586891811.64
Long Term Capital Lease Obligation,,,378033594.58,517232736.19
Long Term Debt,425993653.34,912279520.0,1248669680.0,1069659075.45
Current Liabilities,1091514987.7,1014068694.41,844939407.45,1365063121.69
Other Current Liabilities,5792823.97,1104021.32,850517.05,3580.18
Current Debt And Capital Lease Obligation,271301110.9,348654030.73,305040271.9,747489477.21
Current Debt,,,,
Payables,813413052.83,656886305.43,525140419.65,603640678.76
Other Payable,286477873.21,249341938.41,166959589.66,136696139.1
Dividends Payable,143826.35,9143826.35,143826.35,143826.35
Total Tax Payable,68898229.63,48933897.48,58285334.07,70233191.62
Accounts Payable,457893123.64,349466643.19,299751669.57,396567521.69
Total Assets,13331245663.13,12926989064.34,11647545698.5,10518714117.66
Total Non Current Assets,7539368592.96,7362451265.6,7433428049.86,7075526107.7
Other Non Current Assets,1136718735.02,619656722.34,1964676.84,2358479.52
Non Current Deferred Assets,245939995.59,221477873.48,228777105.84,215095577.56
Non Current Deferred Taxes Assets,15480013.61,10704971.41,15541561.56,18608486.3
Goodwill And Other Intangible Assets,14450078.37,9729123.94,8865466.6,8810379.6
Other Intangible Assets,14450078.37,9729123.94,8865466.6,8810379.6
Net PPE,6126779770.37,6500882574.43,7178279239.02,6830653184.72
Accumulated Depreciation,-7845192800.1,-7519513949.33,-6684693331.97,-6453767438.84
Gross PPE,13971972570.47,14020396523.76,13862972570.99,13284420623.56
Construction In Progress,214104554.6,46836351.91,20619779.58,275471249.66
Other Properties,,5902397.76,661050284.44,797652835.47
Machinery Furniture Equipment,13757868015.87,13967657774.09,13181302506.97,12211296538.43
Current Assets,5791877070.17,5564537798.74,4214117648.64,3443188009.96
Other Current Assets,15440850.12,47816380.81,20518581.66,23457583.5
Prepaid Assets,17698234.47,5554329.32,4420170.48,4406291.73
Inventory,345435140.45,326736289.71,335552635.05,349561942.86
Finished Goods,,,0.0,98370.53
Raw Materials,345435140.45,326736289.71,335552635.05,349463572.33
Other Receivables,625510843.14,561693949.08,608806884.62,798694111.99
Accounts Receivable,222871253.76,232025127.45,173485619.22,173865697.91
Allowance For Doubtful Accounts Receivable,-10516834.67,-10800598.56,-10624134.57,-10391310.95
Gross Accounts Receivable,233388088.43,242825726.01,184109753.79,184257008.86
Cash Cash Equivalents And Short Term Investments,4564920748.23,4390711722.37,3071333757.61,2093202381.97
Cash And Cash Equivalents,4564920748.23,4390711722.37,3071333757.61,2093202381.97
Cash Equivalents,690942582.01,473227381.22,717420016.26,3000000.0
Cash Financial,3873978166.22,3917484341.15,2353913741.35,2090202381.97
