,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-3908979.773424,-9717852.7425,-2486216.476572,-968569.234921
Tax Rate For Calcs,0.107317,0.25,0.134273,0.064474
Normalized EBITDA,118311543.45,95492944.33,219683693.57,258661699.76
Total Unusual Items,-36424529.16,-38871410.97,-18516154.61,-15022544.34
Total Unusual Items Excluding Goodwill,-36424529.16,-38871410.97,-18516154.61,-15022544.34
Net Income From Continuing Operation Net Minority Interest,29654902.78,17798024.34,133517137.26,189225796.36
Reconciled Depreciation,47605585.19,44836013.38,44519593.72,33557175.03
Reconciled Cost Of Revenue,540619707.51,619208964.74,625215023.71,616520980.05
EBITDA,81887014.29,56621533.36,201167538.96,243639155.42
EBIT,34281429.1,11785519.98,156647945.24,210081980.39
Net Interest Income,-1019605.74,-1358953.52,-593617.03,-7193582.6
Interest Expense,1061450.0,2628949.85,2422524.28,7943622.87
Interest Income,398829.85,1385765.75,2085277.09,1595968.0
Normalized Income,62170452.166576,46951582.5675,149547075.393428,203279771.465079
Net Income From Continuing And Discontinued Operation,29654902.78,17798024.34,133517137.26,189225796.36
Total Expenses,767607171.3,859954352.37,861309602.81,865425639.95
Rent Expense Supplemental,777219.35,932080.1,1224324.44,1707165.1
Total Operating Income As Reported,33886711.05,7900618.86,153767987.01,202198737.03
Diluted Average Shares,309227349.0,311154272.0,311446553.0,310970906.0
Basic Average Shares,309227349.0,311154272.0,311301323.0,310002943.0
Diluted EPS,0.0959,0.0572,0.4287,0.6085
Basic EPS,0.0959,0.0572,0.4289,0.6104
Net Income Common Stockholders,29654902.78,17798024.34,133517137.26,189225796.36
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,29654902.78,17798024.34,133517137.26,189225796.36
Minority Interests,,,,120184.15
Net Income Including Noncontrolling Interests,29654902.78,17798024.34,133517137.26,189105612.21
Net Income Continuous Operations,29654902.78,17798024.34,133517137.26,189105612.21
Tax Provision,3565076.32,-8641454.21,20708283.7,13032745.31
Pretax Income,33219979.1,9156570.13,154225420.96,202138357.52
Other Non Operating Income Expenses,-666731.95,1255951.27,457433.95,-60379.51
Special Income Charges,-36424529.16,-38871410.97,-18516154.61,-15022544.34
Other Special Charges,-223018.73,-347296.71,-185431.73,-6730.1
Write Off,17791406.06,23931470.57,15714608.84,11830315.07
Impairment Of Capital Assets,18856141.83,15287237.11,2986977.5,3198959.37
Net Non Operating Interest Income Expense,-1019605.74,-1358953.52,-593617.03,-7193582.6
Total Other Finance Cost,356985.59,115769.42,256369.84,845927.73
Interest Expense Non Operating,1061450.0,2628949.85,2422524.28,7943622.87
Interest Income Non Operating,398829.85,1385765.75,2085277.09,1595968.0
Operating Income,70951829.8,50469358.63,175199615.62,226232866.41
Operating Expense,226987463.79,240745387.63,236094579.1,248904659.9
Other Operating Expenses,9673585.71,9230519.0,9551667.67,7857569.59
Depreciation And Amortization In Income Statement,15965747.85,15949964.32,14903743.71,10026248.78
Amortization,1567842.76,1468059.96,858045.68,729353.58
Depreciation Income Statement,14397905.09,14481904.36,14045698.03,9296895.2
Research And Development,83111296.39,91365289.24,88990140.01,90470911.55
Selling General And Administration,46156516.08,44306715.41,52170889.63,42894263.6
Selling And Marketing Expense,15515128.2,15257866.45,16909676.4,15084687.86
General And Administrative Expense,30641387.88,29048848.96,35261213.23,27809575.74
Rent And Landing Fees,777219.35,932080.1,1224324.44,1707165.1
Gross Profit,297939293.59,291214746.26,411294194.72,475137526.31
Cost Of Revenue,540619707.51,619208964.74,625215023.71,616520980.05
Total Revenue,838559001.1,910423711.0,1036509218.43,1091658506.36
Operating Revenue,838559001.1,910423711.0,1036509218.43,1091658506.36
