,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,104000000.0,104000000.0,104000000.0,104000000.0
Share Issued,104000000.0,104000000.0,104000000.0,104000000.0
Total Debt,463639.05,631910.11,787952.91,930791.27
Tangible Book Value,1051518414.21,1042251737.22,1022814093.62,993977607.71
Invested Capital,1077614917.53,1068059556.89,1049267877.68,1020258720.79
Working Capital,658144541.18,623129975.46,573742166.18,623501515.68
Net Tangible Assets,1051518414.21,1042251737.22,1022814093.62,993977607.71
Capital Lease Obligations,280894.24,463639.05,631910.1,787952.92
Common Stock Equity,1077614917.53,1068059556.89,1049267877.68,1020258720.79
Total Capitalization,1077614917.53,1068059556.89,1049267877.68,1020258720.79
Total Equity Gross Minority Interest,1077614917.53,1068059556.89,1049267877.68,1020258720.79
Stockholders Equity,1077614917.53,1068059556.89,1049267877.68,1020258720.79
Retained Earnings,307676829.35,308267379.91,289475700.7,260466543.81
Additional Paid In Capital,615502846.67,639502846.67,639502846.67,639502846.67
Capital Stock,104000000.0,80000000.0,80000000.0,80000000.0
Common Stock,104000000.0,80000000.0,80000000.0,80000000.0
Total Liabilities Net Minority Interest,79029008.83,87779927.68,90517187.92,58326561.87
Total Non Current Liabilities Net Minority Interest,1779685.85,2784373.18,2873937.89,2774233.85
Non Current Deferred Revenue,1009195.4,1348148.16,1687100.92,1986280.93
Non Current Deferred Taxes Liabilities,489596.21,972585.97,554926.87,
Long Term Debt And Capital Lease Obligation,280894.24,463639.05,631910.1,787952.92
Long Term Capital Lease Obligation,280894.24,463639.05,631910.1,787952.92
Current Liabilities,77249322.98,84995554.5,87643250.03,55552328.02
Other Current Liabilities,533328.19,622086.65,568480.2,286974.92
Current Debt And Capital Lease Obligation,182744.81,168271.06,156042.81,142838.35
Payables,59298024.25,65602872.44,70087742.26,45524991.11
Other Payable,15809217.88,14021792.9,12668764.97,10334081.78
Dividends Payable,15600000.0,0.0,,
Total Tax Payable,1846227.75,14676231.43,2383812.04,1650573.48
Accounts Payable,26042578.62,36904848.11,55035165.25,33540335.85
Total Assets,1156643926.36,1155839484.57,1139785065.6,1078585282.66
Total Non Current Assets,421250062.2,447713954.61,478399649.39,399531438.96
Other Non Current Assets,2387140.75,1864330.15,1904156.34,16399199.7
Non Current Deferred Assets,456250.72,645044.2,833837.68,
Non Current Deferred Taxes Assets,580065.39,1152155.59,824664.27,605674.0
Long Term Equity Investment,935994.22,826605.11,2160609.97,1763270.19
Investment Properties,5504833.71,5867470.71,4753835.84,5030179.58
Goodwill And Other Intangible Assets,26096503.32,25807819.67,26453784.06,26281113.08
Other Intangible Assets,26096503.32,25807819.67,26453784.06,26281113.08
Net PPE,385289274.09,411550529.18,441468761.23,349452002.41
Accumulated Depreciation,-259012227.38,-212138210.04,-160481323.56,-124239616.28
Gross PPE,644301501.47,623688739.22,601950084.79,473691618.69
Construction In Progress,89400.0,373440.37,7505831.13,142963318.63
Other Properties,12914718.46,11829144.25,9579397.4,7643600.94
Machinery Furniture Equipment,288491643.22,274966238.42,252431251.59,160384573.57
Buildings And Improvements,,,,
Properties,342805739.79,336519916.18,332433604.67,162700125.55
Current Assets,735393864.16,708125529.96,661385416.21,679053843.7
Other Current Assets,9280373.71,10745416.32,7919010.52,12207495.48
Prepaid Assets,623574.5,303233.35,657207.0,229893.79
Inventory,2667236.79,3103396.01,2798009.44,1815741.12
Finished Goods,195215.27,289661.4,130082.12,502035.71
Work In Process,,,,0.0
Raw Materials,2472021.52,2813734.61,2667927.32,1313705.41
Other Receivables,5604359.35,1906515.0,2241895.5,1749584.05
Accounts Receivable,22916715.31,23738806.82,13244927.53,10772217.05
Allowance For Doubtful Accounts Receivable,-867347.74,-1365289.73,-496250.38,-436418.46
Gross Accounts Receivable,23784063.05,25104096.55,13741177.91,11208635.51
Cash Cash Equivalents And Short Term Investments,694301604.5,668328162.46,634524366.22,652278912.21
Other Short Term Investments,600656109.58,586120986.29,450821917.8,506249981.8
Cash And Cash Equivalents,93645494.92,82207176.17,183702448.42,146028930.41
Cash Equivalents,26500.0,0.0,10000.0,178475.0
Cash Financial,93618994.92,82207176.17,183692448.42,145850455.41
