,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-18958184.880826,-15015736.04,2739325.3875,-7926270.925
Tax Rate For Calcs,0.19634,0.25,0.25,0.25
Normalized EBITDA,67238844.14,286390631.56,306590611.2,342533914.88
Total Unusual Items,-96558157.49,-60062944.16,10957301.55,-31705083.7
Total Unusual Items Excluding Goodwill,-96558157.49,-60062944.16,10957301.55,-31705083.7
Net Income From Continuing Operation Net Minority Interest,-107180460.54,139378011.21,254403464.63,249465153.15
Reconciled Depreciation,100594453.01,67592567.6,57529760.01,45265166.75
Reconciled Cost Of Revenue,1561513688.17,1665850263.77,1452584331.51,1460682454.66
EBITDA,-29319313.35,226327687.4,317547912.75,310828831.18
EBIT,-129913766.36,158735119.8,260018152.74,265563664.43
Net Interest Income,-13498967.4,-14424803.39,-8005390.21,-1548267.71
Interest Expense,13730612.73,17638952.58,14421393.09,12700726.45
Interest Income,1084967.76,4352291.86,7153499.56,11514724.63
Normalized Income,-29580487.930826,184425219.33,246185488.4675,273243965.925
Net Income From Continuing And Discontinued Operation,-107180460.54,139378011.21,254403464.63,249465153.15
Total Expenses,2123790808.04,2190780987.81,2023324519.48,1997640592.03
Rent Expense Supplemental,2420131.02,2575250.58,1936480.52,1138957.85
Total Operating Income As Reported,-140682148.9,143251897.29,246657122.71,252666477.29
Diluted Average Shares,412232541.0,405994789.0,409074553.0,403926738.0
Basic Average Shares,412232541.0,405994789.0,404585663.0,397427359.0
Diluted EPS,-0.26,0.3433,0.6219,0.6176
Basic EPS,-0.26,0.3433,0.6288,0.6277
Net Income Common Stockholders,-107180460.54,139378011.21,254403464.63,249465153.15
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-107180460.54,139378011.21,254403464.63,249465153.15
Minority Interests,8260846.26,-3730958.01,-3413157.71,-5096678.83
Net Income Including Noncontrolling Interests,-115441306.8,143108969.22,257816622.34,254561831.98
Net Income Continuous Operations,-115441306.8,143108969.22,257816622.34,254561831.98
Tax Provision,-28203072.29,-2012802.0,-12219862.69,-1698894.0
Pretax Income,-143644379.09,141096167.22,245596759.65,252862937.98
Other Non Operating Income Expenses,-2962230.19,-2155730.07,-1060363.06,196460.69
Special Income Charges,-97357872.73,-65605620.46,-30840057.53,-31778084.42
Other Special Charges,3067913.07,-2412818.91,47612.63,36225.95
Write Off,51829133.21,63622887.24,31349300.71,31701220.61
Impairment Of Capital Assets,42460826.45,4395552.13,-556855.81,40637.86
Net Non Operating Interest Income Expense,-13498967.4,-14424803.39,-8005390.21,-1548267.71
Total Other Finance Cost,853322.43,1138142.67,737496.68,362265.89
Interest Expense Non Operating,13730612.73,17638952.58,14421393.09,12700726.45
Interest Income Non Operating,1084967.76,4352291.86,7153499.56,11514724.63
Operating Income,-50556278.17,204670677.66,230698632.83,273474524.2
Operating Expense,562277119.87,524930724.04,570740187.97,536958137.37
Other Operating Expenses,16109204.1,17627425.81,13515975.73,15308935.29
Depreciation And Amortization In Income Statement,23663102.47,20721481.29,20043584.71,18685981.78
Depreciation Income Statement,23663102.47,20721481.29,20043584.71,18685981.78
Research And Development,271787202.97,262773844.42,321362546.49,268936770.62
Selling General And Administration,88944463.07,70384102.92,74265743.3,91991045.39
Selling And Marketing Expense,52383411.53,38751216.3,43282539.9,29073886.74
General And Administrative Expense,36561051.54,31632886.62,30983203.4,62917158.65
Rent And Landing Fees,2420131.02,2575250.58,1936480.52,1138957.85
Gross Profit,511720841.7,729601401.7,801438820.8,810432661.57
Cost Of Revenue,1561513688.17,1665850263.77,1452584331.51,1460682454.66
Total Revenue,2073234529.87,2395451665.47,2254023152.31,2271115116.23
Operating Revenue,2073234529.87,2395451665.47,2254023152.31,2271115116.23
