,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-487778.342016,-1356651.466097,-1371273.583701,-3038184.319913
Tax Rate For Calcs,0.072861,0.095967,0.114024,0.142542
Normalized EBITDA,172619190.41,215502638.42,238184262.66,367885171.57
Total Unusual Items,-6694644.26,-14136593.28,-12026201.54,-21314331.14
Total Unusual Items Excluding Goodwill,-6694644.26,-14136593.28,-12026201.54,-21314331.14
Net Income From Continuing Operation Net Minority Interest,52224376.27,87580933.21,101303647.37,188518338.68
Reconciled Depreciation,108760511.27,104877925.88,109071015.56,120809750.59
Reconciled Cost Of Revenue,767898227.2,626610094.49,585400156.58,564671923.96
EBITDA,165924546.15,201366045.14,226158061.12,346570840.43
EBIT,57164034.88,96488119.26,117087045.56,225761089.84
Net Interest Income,10684794.92,13286905.94,14947250.31,4633195.36
Interest Expense,124273.05,223267.76,1683182.42,4157590.08
Interest Income,11067378.45,13773226.34,17027602.33,8995529.5
Normalized Income,58431242.187984,100360875.023903,111958575.326299,206794485.500087
Net Income From Continuing And Discontinued Operation,52224376.27,87580933.21,101303647.37,188518338.68
Total Expenses,885976689.15,728660184.1,678799566.43,686899109.03
Rent Expense Supplemental,70500.0,177273.66,548686.75,1233199.56
Total Operating Income As Reported,59918233.45,92732736.34,118097172.95,222471063.09
Diluted Average Shares,373031259.0,380786666.0,389629413.0,384731303.0
Basic Average Shares,373031259.0,380786666.0,389629413.0,384731303.0
Diluted EPS,0.14,0.23,0.26,0.49
Basic EPS,0.14,0.23,0.26,0.49
Net Income Common Stockholders,52224376.27,87580933.21,101303647.37,188518338.68
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,52224376.27,87580933.21,101303647.37,188518338.68
Minority Interests,-659412.61,554364.89,-941425.07,-1497386.93
Net Income Including Noncontrolling Interests,52883788.88,87026568.32,102245072.44,190015725.61
Net Income Continuous Operations,52883788.88,87026568.32,102245072.44,190015725.61
Tax Provision,4155972.95,9238283.18,13158790.7,31587774.15
Pretax Income,57039761.83,96264851.5,115403863.14,221603499.76
Other Non Operating Income Expenses,-2878471.62,3532115.16,-2693309.81,-867563.33
Special Income Charges,-7737038.99,-14136593.28,-12026201.54,-21314331.14
Other Special Charges,997351.74,-25606.42,-195604.55,-3017122.12
Write Off,-1135195.2,2051554.14,190258.78,-1527564.6
Impairment Of Capital Assets,7874882.45,12110645.56,12031547.31,25859017.86
Net Non Operating Interest Income Expense,10684794.92,13286905.94,14947250.31,4633195.36
Total Other Finance Cost,258310.48,263052.64,397169.6,204744.06
Interest Expense Non Operating,124273.05,223267.76,1683182.42,4157590.08
Interest Income Non Operating,11067378.45,13773226.34,17027602.33,8995529.5
Operating Income,57759420.0,92382292.01,114060643.35,229462908.05
Operating Expense,118078461.95,102050089.61,93399409.85,122227185.07
Other Operating Expenses,5815330.68,5664844.66,8107979.44,6718864.49
Depreciation And Amortization In Income Statement,8354987.52,7798177.77,6935226.27,6169740.11
Depreciation Income Statement,8354987.52,7798177.77,6935226.27,6169740.11
Research And Development,43914061.02,48683869.6,36590600.82,50564013.53
Selling General And Administration,48018956.83,31450517.76,33631006.48,42046556.61
Selling And Marketing Expense,9447816.72,7157436.95,4857678.85,6575807.48
General And Administrative Expense,38571140.11,24293080.81,28773327.63,35470749.13
Rent And Landing Fees,70500.0,177273.66,548686.75,1233199.56
Gross Profit,175837881.95,194432381.62,207460053.2,351690093.12
Cost Of Revenue,767898227.2,626610094.49,585400156.58,564671923.96
Total Revenue,943736109.15,821042476.11,792860209.78,916362017.08
Operating Revenue,943736109.15,821042476.11,792860209.78,916362017.08
