,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-2675585.489947,-86766.605,1509083.447331,-1556.303949
Tax Rate For Calcs,0.257249,0.25,0.03976,0.0154
Normalized EBITDA,20402835.14,32224880.79,9486276.71,21662276.24
Total Unusual Items,-10400774.14,-347066.42,37954391.84,-101060.96
Total Unusual Items Excluding Goodwill,-10400774.14,-347066.42,37954391.84,-101060.96
Net Income From Continuing Operation Net Minority Interest,-4384751.45,7827252.98,21747861.4,-1138673.69
Reconciled Depreciation,15365404.42,17558258.01,17983930.08,16493449.55
Reconciled Cost Of Revenue,214747578.53,255739553.85,254484397.66,239574478.85
EBITDA,10002061.0,31877814.37,47440668.55,21561215.28
EBIT,-5363343.42,14319556.36,29456738.47,5067765.73
Net Interest Income,9747042.13,15343257.17,9769507.82,6617307.19
Interest Expense,9160.0,1742361.31,4560652.91,441505.04
Interest Income,9966817.32,17315791.92,15105123.84,7504511.35
Normalized Income,3340437.200053,8087552.795,-14697446.992669,-1039169.033949
Net Income From Continuing And Discontinued Operation,-4384751.45,7827252.98,21747861.4,-1138673.69
Total Expenses,277520774.26,335475713.96,361600432.41,337687330.35
Rent Expense Supplemental,,,,339085.72
Total Operating Income As Reported,-4661211.79,12354383.15,26016879.18,5913279.44
Diluted Average Shares,1461583817.0,1304542163.0,1279285965.0,1138673690.0
Basic Average Shares,1461583817.0,1304542163.0,1279285965.0,1138673690.0
Diluted EPS,-0.003,0.006,0.017,-0.001
Basic EPS,-0.003,0.006,0.017,-0.001
Net Income Common Stockholders,-4384751.45,7827252.98,21747861.4,-1138673.69
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-4384751.45,7827252.98,21747861.4,-1138673.69
Minority Interests,-394317.48,-5533882.16,-2158344.76,-5693691.56
Net Income Including Noncontrolling Interests,-3990433.97,13361135.14,23906206.16,4555017.87
Net Income Continuous Operations,-3990433.97,13361135.14,23906206.16,4555017.87
Tax Provision,-1382069.45,-783940.09,989879.4,71242.82
Pretax Income,-5372503.42,12577195.05,24896085.56,4626260.69
Other Non Operating Income Expenses,-711291.63,222811.9,-1120793.62,-1287018.75
Special Income Charges,-10400774.14,-347066.42,37954391.84,-101060.96
Other Special Charges,1748074.28,,,364.46
Write Off,563427.39,-54969.42,-38293239.72,-8944.64
Impairment Of Capital Assets,8089272.47,402035.84,338847.88,109641.14
Net Non Operating Interest Income Expense,9747042.13,15343257.17,9769507.82,6617307.19
Total Other Finance Cost,210615.19,230173.44,774963.11,445699.12
Interest Expense Non Operating,9160.0,1742361.31,4560652.91,441505.04
Interest Income Non Operating,9966817.32,17315791.92,15105123.84,7504511.35
Operating Income,-5986107.09,-5107001.79,-23181181.34,-1828686.74
Operating Expense,62773195.73,79736160.11,107116034.75,98112851.5
Other Operating Expenses,2810263.08,2581500.82,3405070.48,1132137.35
Depreciation And Amortization In Income Statement,5814951.87,6606322.69,6408401.86,8229915.27
Amortization,,,,1851037.32
Depreciation Income Statement,5814951.87,6606322.69,6408401.86,6378877.95
Research And Development,10825436.38,19092222.92,19106671.48,14193070.42
Selling General And Administration,23501523.73,31813950.05,55902951.97,53249950.46
Selling And Marketing Expense,4496366.33,5490355.28,4156407.66,1343745.43
General And Administrative Expense,19005157.4,26323594.77,51746544.31,51906205.03
Rent And Landing Fees,,,,339085.72
Gross Profit,56787088.64,74629158.32,83934853.41,96284164.76
Cost Of Revenue,214747578.53,255739553.85,254484397.66,239574478.85
Total Revenue,271534667.17,330368712.17,338419251.07,335858643.61
Operating Revenue,271534667.17,330368712.17,338419251.07,335858643.61
