,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,2403616120.18,2020582199.86,1891698704.09,1426962927.96
Capital Expenditure,-97886974.77,-174991782.07,-165848375.21,-175961847.84
End Cash Position,691314784.3,894685293.08,3473922854.52,7012857828.61
Beginning Cash Position,894685293.08,3473922854.52,7012857828.61,1251354840.0
Effect Of Exchange Rate Changes,-2698841.74,-148559.52,-2027475.58,11054588.77
Changes In Cash,-200671667.04,-2579089001.92,-3536907498.51,5750448399.84
Financing Cash Flow,-735360093.17,-500577844.21,-384536202.69,-354349444.45
Net Other Financing Charges,-252951425.94,-94287492.54,-47809907.92,-31649444.45
Cash Dividends Paid,-431377976.65,-406290351.67,-336726294.77,-322700000.0
Investing Cash Flow,-1966814668.82,-4274085139.64,-5209918375.12,4501873068.49
Net Other Investing Changes,-212692.39,,,5227628.12
Net Investment Purchase And Sale,-1868856698.08,-4099464343.74,-5044382398.53,4672537841.07
Sale Of Investment,10256221911.76,13110754470.24,9649495045.18,19840454924.85
Purchase Of Investment,-12125078609.84,-17210218813.98,-14693877443.71,-15167917083.78
Net PPE Purchase And Sale,-97745278.35,-174620795.9,-165535976.59,-175892400.7
Sale Of PPE,141696.42,370986.17,312398.62,69447.14
Purchase Of PPE,-97886974.77,-174991782.07,-165848375.21,-175961847.84
Operating Cash Flow,2501503094.95,2195573981.93,2057547079.3,1602924775.8
Change In Working Capital,759147714.78,541594519.52,595154210.7,447350673.55
Change In Other Current Assets,32491995.4,12422926.27,748336.77,8833999.78
Change In Payable,890066794.33,512789559.1,698893712.89,545369188.34
Change In Inventory,279597.1,610750.98,-233407.07,1138738.25
Change In Receivables,-163690672.05,15771283.17,-104254431.89,-107991252.82
Other Non Cash Items,22993590.04,17153809.6,17937589.63,17324137.94
Depreciation And Amortization,107277409.68,106362265.09,115858293.62,123351168.79
Amortization Cash Flow,20852952.44,19446866.25,24971096.3,25979496.93
Depreciation,86424457.24,86915398.84,90887197.32,97371671.86
Gain Loss On Investment Securities,-452994593.68,-351545768.24,-216535514.07,-309533361.02
Gain Loss On Sale Of PPE,-569037.74,-181735.73,-5333930.09,-181459.98
Net Income From Continuing Operations,1821869488.91,1655284064.88,1314461671.28,1130924467.28
Cash Flowsfromusedin Operating Activities Direct,2501503094.95,2195573981.93,2057547079.3,1602924775.8
Taxes Refund Paid Direct,-458682445.39,-387222993.33,-290315635.35,-251676704.68
Classesof Cash Payments,-3990816315.01,-3436771002.14,-2943201942.11,-2638970698.57
Other Cash Paymentsfrom Operating Activities,-202470795.15,-164185681.01,-153448934.4,-98104963.37
Paymentson Behalfof Employees,-2618699312.9,-2209411391.63,-1966182148.36,-1835023534.31
Paymentsto Suppliersfor Goodsand Services,-1169646206.96,-1063173929.5,-823570859.35,-705842200.89
Classesof Cash Receiptsfrom Operating Activities,6951001855.35,6019567977.4,5291064656.76,4493572179.05
Other Cash Receiptsfrom Operating Activities,65991384.07,71943939.62,147101938.93,71711813.47
Receiptsfrom Customers,6885010471.28,5947624037.78,5143962717.83,4421860365.58
