,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-376807644.33,-498819766.61,-1000997824.93,-515500427.14
Repayment Of Debt,-3995246953.98,-3555923999.98,-2824415879.98,-2277355937.98
Issuance Of Debt,4215473837.97,3569078467.44,3586438310.18,2954054915.75
Capital Expenditure,-304776360.24,-387950756.25,-671871240.93,-739182653.51
End Cash Position,107646796.26,213923592.02,551577688.1,438109059.07
Beginning Cash Position,213923592.02,551577688.1,438109059.07,366794196.1
Effect Of Exchange Rate Changes,-3011415.44,16916413.7,-4216630.06,34105421.38
Changes In Cash,-103265380.32,-354570509.78,117685259.09,37209441.59
Financing Cash Flow,265936667.53,100235742.73,952403418.03,411646655.85
Net Other Financing Charges,198247901.58,246793893.22,431103793.8,-52217287.56
Cash Dividends Paid,-152538118.04,-159712617.95,-240722805.97,-212835034.36
Net Issuance Payments Of Debt,220226883.99,13154467.46,762022430.2,676698977.77
Net Long Term Debt Issuance,220226883.99,13154467.46,762022430.2,676698977.77
Long Term Debt Payments,-3995246953.98,-3555923999.98,-2824415879.98,-2277355937.98
Long Term Debt Issuance,4215473837.97,3569078467.44,3586438310.18,2954054915.75
Investing Cash Flow,-297170763.76,-343937242.15,-505591574.94,-598119440.63
Net Other Investing Changes,-11311824.94,,,21256435.92
Net Investment Purchase And Sale,15159111.18,35546556.17,-2105065.79,63495311.54
Sale Of Investment,30419060.99,124123134.98,87020619.72,193915010.44
Purchase Of Investment,-15259949.81,-88576578.81,-89125685.51,-130419698.9
Net PPE Purchase And Sale,-301018050.0,-379483798.32,-503486509.15,-682871188.09
Sale Of PPE,3758310.24,8466957.93,168384731.78,56311465.42
Purchase Of PPE,-304776360.24,-387950756.25,-671871240.93,-739182653.51
Operating Cash Flow,-72031284.09,-110869010.36,-329126584.0,223682226.37
Change In Working Capital,-843928445.61,-398174301.16,-311481405.66,-967735843.03
Change In Other Current Assets,-153229117.05,-61161774.55,-147752307.24,-30619343.85
Change In Payable,-327718467.78,-17115045.19,-192956603.03,738675833.29
Change In Inventory,-119661915.71,83893757.03,452117335.4,-445456008.12
Change In Receivables,-243318945.07,-403791238.45,-422889830.79,-1230336324.35
Other Non Cash Items,200838124.14,158716409.96,161911611.79,58157433.44
Depreciation And Amortization,528861177.72,506121592.73,406989220.91,361666813.45
Amortization Cash Flow,46672914.69,44034820.32,33773850.12,29960295.07
Depreciation,482188263.03,462086772.41,373215370.79,331706518.38
Gain Loss On Investment Securities,24321353.63,12678268.71,12446613.41,-13915905.04
Gain Loss On Sale Of PPE,2176864.47,8066415.83,-63429166.11,51757207.25
Net Income From Continuing Operations,-19246338.15,-522911181.83,-723524249.94,659787317.84
Cash Flowsfromusedin Operating Activities Direct,-72031284.09,-110869010.36,-329126584.0,223682226.37
Taxes Refund Paid Direct,73211239.51,62914474.87,112272125.45,-88244327.57
Classesof Cash Payments,-3489678989.63,-3032103414.17,-3577339160.04,-4476583204.91
Other Cash Paymentsfrom Operating Activities,-508184223.57,-383158767.57,-669980425.94,-502405188.65
Paymentson Behalfof Employees,-462082475.23,-488223248.69,-478684759.45,-468043764.22
Paymentsto Suppliersfor Goodsand Services,-2519412290.83,-2160721397.91,-2428673974.65,-3506134252.04
Classesof Cash Receiptsfrom Operating Activities,3344436466.03,2858319928.94,3135940450.59,4788509758.85
Other Cash Receiptsfrom Operating Activities,282196374.36,105132024.46,117688780.65,84841264.42
Receiptsfrom Customers,3062240091.67,2753187904.48,3018251669.94,4703668494.43
