,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-830318.499287,-1111355.710395,-92379.059007,-283247.156723
Tax Rate For Calcs,0.190432,0.196777,0.148078,0.171765
Normalized EBITDA,118901381.19,101424942.53,136780351.74,114566499.35
Total Unusual Items,-4360188.32,-5647801.89,-623854.57,-1649035.72
Total Unusual Items Excluding Goodwill,-4360188.32,-5647801.89,-623854.57,-1649035.72
Net Income From Continuing Operation Net Minority Interest,51944936.65,37497544.35,86312275.21,67801276.37
Reconciled Depreciation,47816233.63,46478811.96,34829836.98,30907328.43
Reconciled Cost Of Revenue,454778491.76,399443939.66,382740660.83,344428569.3
EBITDA,114541192.87,95777140.64,136156497.17,112917463.63
EBIT,66724959.24,49298328.68,101326660.19,82010135.2
Net Interest Income,387059.67,1271643.45,6410877.72,1338889.11
Interest Expense,2561203.19,2614494.36,11912.43,147737.46
Interest Income,3143438.4,4090693.9,6561772.8,1397716.02
Normalized Income,55474806.470713,42033990.529605,86843750.720993,69167064.933277
Net Income From Continuing And Discontinued Operation,51944936.65,37497544.35,86312275.21,67801276.37
Total Expenses,839638915.75,761559177.97,692994468.13,609958619.62
Rent Expense Supplemental,1501967.33,2001343.84,2849323.52,2605586.36
Total Operating Income As Reported,62359043.7,49686515.99,101726862.9,81895713.68
Diluted Average Shares,103044905.0,100962693.0,102838407.0,84338451.0
Basic Average Shares,102902014.0,100583542.0,102826156.0,84338451.0
Diluted EPS,0.5041,0.3714,0.8393,0.803919
Basic EPS,0.5048,0.3728,0.8394,0.803919
Net Income Common Stockholders,51944936.65,37497544.35,86312275.21,67801276.37
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,51944936.65,37497544.35,86312275.21,67801276.37
Minority Interests,0.0,0.0,,
Net Income Including Noncontrolling Interests,51944936.65,37497544.35,86312275.21,67801276.37
Net Income Continuous Operations,51944936.65,37497544.35,86312275.21,67801276.37
Tax Provision,12218819.4,9186289.97,15002472.55,14061121.37
Pretax Income,64163756.05,46683834.32,101314747.76,81862397.74
Other Non Operating Income Expenses,1804712.35,-3002681.67,-412115.14,-33315.94
Special Income Charges,-44498.93,-5647801.89,-623854.57,-1649035.72
Other Special Charges,138008.49,263488.07,40980.6,
Write Off,1884835.73,1506376.82,403351.04,1686607.84
Impairment Of Capital Assets,-1978345.29,3877937.0,179522.93,-37572.12
Net Non Operating Interest Income Expense,387059.67,1271643.45,6410877.72,1338889.11
Total Other Finance Cost,195175.54,204556.09,138982.65,-88910.55
Interest Expense Non Operating,2561203.19,2614494.36,11912.43,147737.46
Interest Income Non Operating,3143438.4,4090693.9,6561772.8,1397716.02
Operating Income,61132171.37,50568253.16,92196821.69,81615384.23
Operating Expense,384860423.99,362115238.31,310253807.3,265530050.32
Other Operating Expenses,11837861.01,13402839.42,12335228.33,11701951.12
Depreciation And Amortization In Income Statement,28611949.98,28240553.99,17603098.34,15015648.64
Depreciation Income Statement,28611949.98,28240553.99,17603098.34,15015648.64
Research And Development,5522560.06,9073915.83,16816103.7,7516973.88
Selling General And Administration,201965779.35,161213247.35,120214928.83,85939324.71
Selling And Marketing Expense,185591389.47,131096962.18,103691390.16,69161807.55
General And Administrative Expense,16374389.88,30116285.17,16523538.67,16777517.16
Rent And Landing Fees,1501967.33,2001343.84,2849323.52,2605586.36
Gross Profit,445992595.36,412683491.47,402450628.99,347145434.55
Cost Of Revenue,454778491.76,399443939.66,382740660.83,344428569.3
Total Revenue,900771087.12,812127431.13,785191289.82,691574003.85
Operating Revenue,900771087.12,812127431.13,785191289.82,691574003.85
