,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-9440062.599647,-5456183.530876,1807295.168338,-38948518.74793
Tax Rate For Calcs,0.146664,0.150675,0.148968,0.151221
Normalized EBITDA,4740196665.17,4471043731.11,4646255824.89,2672380417.35
Total Unusual Items,-64365132.9,-36211699.7,12132097.69,-257559930.74
Total Unusual Items Excluding Goodwill,-64365132.9,-36211699.7,12132097.69,-257559930.74
Net Income From Continuing Operation Net Minority Interest,3154805423.48,2982577897.11,3099157016.2,1334743880.82
Reconciled Depreciation,549855081.95,527029355.38,527057662.2,532637723.73
Reconciled Cost Of Revenue,8144346858.5,8047778028.0,6000872443.62,6216832147.66
EBITDA,4675831532.27,4434832031.41,4658387922.58,2414820486.61
EBIT,4125976450.32,3907802676.03,4131330260.38,1882182762.88
Net Interest Income,47202275.3,41110328.25,19329106.32,15888750.11
Interest Expense,14432310.99,6409635.26,9462513.09,13027787.93
Interest Income,69586546.43,65029695.5,41639992.63,42003738.21
Normalized Income,3209730493.780353,3013333413.279124,3088832213.678338,1553355292.81207
Net Income From Continuing And Discontinued Operation,3154805423.48,2982577897.11,3099157016.2,1334743880.82
Total Expenses,9873872939.05,9696458597.01,7507454962.11,7427151757.66
Rent Expense Supplemental,,,,
Total Operating Income As Reported,4119521829.26,4023068319.06,4127239691.63,1875205393.04
Diluted Average Shares,3219189208.0,3241932497.0,3228288559.0,3255472880.0
Basic Average Shares,3219189208.0,3241932497.0,3228288559.0,3255472880.0
Diluted EPS,0.98,0.92,0.96,0.41
Basic EPS,0.98,0.92,0.96,0.41
Net Income Common Stockholders,3154805423.48,2982577897.11,3099157016.2,1334743880.82
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3154805423.48,2982577897.11,3099157016.2,1334743880.82
Minority Interests,-353722264.12,-330974290.21,-408684051.24,-251755257.97
Net Income Including Noncontrolling Interests,3508527687.6,3313552187.32,3507841067.44,1586499138.79
Net Income Continuous Operations,3508527687.6,3313552187.32,3507841067.44,1586499138.79
Tax Provision,603016451.73,587840853.45,614026679.85,282655836.16
Pretax Income,4111544139.33,3901393040.77,4121867747.29,1869154974.95
Other Non Operating Income Expenses,-7977689.93,-121675278.29,-5371944.34,-6050418.09
Special Income Charges,-64365132.9,-36211699.7,12132097.69,-257559930.74
Other Special Charges,-2536.76,-934921.64,-53097.84,-4355301.18
Write Off,22633502.45,11744166.93,-30098238.4,145446391.7
Impairment Of Capital Assets,41734167.21,25402454.41,18019238.55,116468840.22
Net Non Operating Interest Income Expense,47202275.3,41110328.25,19329106.32,15888750.11
Total Other Finance Cost,7951960.14,17509731.99,12848373.22,13087200.17
Interest Expense Non Operating,14432310.99,6409635.26,9462513.09,13027787.93
Interest Income Non Operating,69586546.43,65029695.5,41639992.63,42003738.21
Operating Income,3960402579.69,3874239483.86,4024021036.8,2104129879.51
Operating Expense,1729526080.55,1648680569.01,1506582518.49,1210319610.0
Other Operating Expenses,804577118.88,771951967.91,784719869.84,556833935.74
Depreciation And Amortization In Income Statement,117037240.45,120383850.25,114911108.06,128822773.43
Depreciation Income Statement,117037240.45,120383850.25,114911108.06,128822773.43
Research And Development,421881193.32,350860219.84,335593705.71,200979433.86
Selling General And Administration,137893864.73,129734081.65,116280033.68,123802980.31
Selling And Marketing Expense,12644007.06,8312800.89,11732333.13,10494292.63
General And Administrative Expense,125249857.67,121421280.76,104547700.55,113308687.68
Rent And Landing Fees,,,,
Gross Profit,5689928660.24,5522920052.87,5530603555.29,3314449489.51
Cost Of Revenue,8144346858.5,8047778028.0,6000872443.62,6216832147.66
Total Revenue,13834275518.74,13570698080.87,11531475998.91,9531281637.17
Operating Revenue,13834275518.74,13570698080.87,11531475998.91,9531281637.17
