,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,3226604400.0,3226604400.0,3226604400.0,3226604400.0
Share Issued,3226604400.0,3226604400.0,3226604400.0,3226604400.0
Total Debt,130078058.34,59867701.4,93249669.7,127796220.34
Tangible Book Value,17122651140.44,15198926873.59,13457021260.75,11403145545.63
Invested Capital,18890110977.1,17012676098.01,15314610192.21,13154698805.2
Working Capital,11032382136.98,9014921977.5,7031177333.65,4557816303.47
Net Tangible Assets,17122651140.44,15198926873.59,13457021260.75,11403145545.63
Capital Lease Obligations,105709086.93,22107408.01,57989095.43,93803084.81
Common Stock Equity,18890110977.1,17012676098.01,15314610192.21,13154698805.2
Total Capitalization,18890110977.1,17012676098.01,15314610192.21,13154698805.2
Total Equity Gross Minority Interest,20156148921.54,18103426406.69,16242032492.82,13665515189.45
Minority Interest,1266037944.44,1090750308.68,927422300.61,510816384.25
Stockholders Equity,18890110977.1,17012676098.01,15314610192.21,13154698805.2
Retained Earnings,6858543933.83,5276408135.38,3845473761.78,1951813444.38
Additional Paid In Capital,6744164784.95,6744164784.95,6744164784.95,6744164784.95
Capital Stock,3226604400.0,3226604400.0,3226604400.0,3226604400.0
Common Stock,3226604400.0,3226604400.0,3226604400.0,3226604400.0
Total Liabilities Net Minority Interest,2619646202.34,2534198585.21,2050360595.52,2139993029.15
Total Non Current Liabilities Net Minority Interest,785606592.48,754508029.08,680468273.25,655598281.95
Other Non Current Liabilities,498560483.56,553557126.28,455220888.31,340213994.63
Non Current Deferred Revenue,70149550.92,73513016.2,88501042.39,190706463.84
Non Current Deferred Taxes Liabilities,111187471.07,105330478.59,78757247.12,30874738.67
Long Term Debt And Capital Lease Obligation,105709086.93,22107408.01,57989095.43,93803084.81
Long Term Capital Lease Obligation,105709086.93,22107408.01,57989095.43,93803084.81
Current Liabilities,1834039609.86,1779690556.13,1369892322.27,1484394747.2
Other Current Liabilities,15552592.05,12089101.03,11657546.73,17398008.94
Current Debt And Capital Lease Obligation,24368971.41,37760293.39,35260574.27,33993135.53
Payables,1662522424.72,1637392743.28,1235293822.52,1307906446.31
Other Payable,160518978.57,213612862.24,149785972.02,167336480.02
Dividends Payable,503862506.8,429821891.2,,105000000.0
Total Tax Payable,254393036.11,234429027.77,244885220.06,225646481.82
Accounts Payable,743747903.24,759528962.07,840622630.44,809923484.47
Total Assets,22775795123.88,20637624991.9,18292393088.34,15805508218.6
Total Non Current Assets,9909373377.04,9843012458.27,9891323432.42,9763297167.93
Other Non Current Assets,120706306.05,64868389.97,83635526.62,71978671.67
Non Current Deferred Assets,1455704430.86,1425424858.44,1299482241.8,1047888825.4
Non Current Deferred Taxes Assets,278728838.61,276528525.54,300001441.37,281225780.25
Investmentin Financial Assets,19244117.41,,,
Available For Sale Securities,19244117.41,,,
Long Term Equity Investment,1240012960.5,1124715320.92,1024790565.43,1004244937.13
Investment Properties,168750.19,176479.51,493447.52,516901.52
Goodwill And Other Intangible Assets,1767459836.66,1813749224.42,1857588931.46,1751553259.57
Other Intangible Assets,1767459836.66,1813749224.42,1857588931.46,1751553259.57
Net PPE,5027348136.76,5137549659.47,5325331278.22,5605888792.39
Accumulated Depreciation,-6934577263.75,-6473638878.93,-6192775979.22,-5888866928.38
Gross PPE,11961925400.51,11611188538.4,11518107257.44,11494755720.77
Construction In Progress,512701822.96,514248096.98,599205709.17,630666231.68
Other Properties,587334976.6,484400820.9,488689411.59,520429881.97
Machinery Furniture Equipment,4277715427.34,4072294095.54,4091997760.95,4116378010.6
Properties,6584173173.61,6540245524.98,6338214375.73,6227281596.52
Current Assets,12866421746.84,10794612533.63,8401069655.92,6042211050.67
Other Current Assets,2819259945.76,3477543412.98,2787111103.88,1296007013.39
Prepaid Assets,81440339.91,43333306.59,38637368.15,41987791.02
Inventory,501201078.79,395763823.98,423561856.95,504288073.6
Inventories Adjustments Allowances,0.0,0.0,0.0,0.0
Other Inventories,,4389361.07,4584683.5,28583254.67
Finished Goods,139339981.85,132985161.11,184366518.46,226509728.3
Work In Process,157026731.34,163615845.33,102655752.59,96448599.41
Raw Materials,204834365.6,94773456.47,131954902.4,152746491.22
Other Receivables,2774423557.04,1065395680.74,1298680851.67,1023077852.94
Accounts Receivable,112760706.57,119417937.68,97474843.72,140122803.21
Allowance For Doubtful Accounts Receivable,-90897733.77,-91961574.65,-90634478.64,-122312671.82
Gross Accounts Receivable,203658440.34,211379512.33,188109322.36,262435475.03
Cash Cash Equivalents And Short Term Investments,6577336118.77,5693158371.66,3755603631.55,3036727516.51
Cash And Cash Equivalents,6577336118.77,5693158371.66,3755603631.55,3036727516.51
Cash Equivalents,50047876.71,15711108.15,9646303.08,32184006.44
Cash Financial,6527288242.06,5677447263.51,3745957328.47,3004543510.07
